"word","mean_percentile","n_sources","sources","mean_raw_concreteness","gloss_english","tier","selected"
"姓名",1,1,"Yee2017",4.78,"full name","core",TRUE
"桃",0.999304589707928,1,"Liu2007",7,NA,"core",TRUE
"猫",0.999304589707928,1,"Liu2007",7,NA,"core",TRUE
"鼠",0.999304589707928,1,"Liu2007",7,NA,"core",TRUE
"美食",0.998405103668262,1,"Yao2017",8.09,"cuisine","core",TRUE
"猪",0.997913769123783,1,"Liu2007",6.97,NA,"core",TRUE
"伞",0.996175243393602,1,"Liu2007",6.95,NA,"core",TRUE
"唇",0.996175243393602,1,"Liu2007",6.95,NA,"core",TRUE
"窗",0.996175243393602,1,"Liu2007",6.95,NA,"core",TRUE
"纸",0.996175243393602,1,"Liu2007",6.95,NA,"core",TRUE
"爷",0.994089012517385,1,"Liu2007",6.94,NA,"core",TRUE
"鱼",0.994089012517385,1,"Liu2007",6.94,NA,"core",TRUE
"医生",0.993620414673046,1,"Yao2017",7.72,"doctor","core",TRUE
"凳",0.992350486787204,1,"Liu2007",6.92,NA,"core",TRUE
"弟",0.992350486787204,1,"Liu2007",6.92,NA,"core",TRUE
"蚕",0.992350486787204,1,"Liu2007",6.92,NA,"core",TRUE
"通讯",0.992025518341308,1,"Yao2017",7.71,"communication","core",TRUE
"事态",0.990430622009569,1,"Yao2017",7.61,"situation","core",TRUE
"成人",0.990291262135922,1,"Yee2017",4.7,"adult","core",TRUE
"花朵",0.98949796636921,2,"Liu2025;Yao2017",4.28905,"flowers","core",TRUE
"头",0.989221140472879,1,"Liu2007",6.9,NA,"core",TRUE
"床",0.989221140472879,1,"Liu2007",6.9,NA,"core",TRUE
"手",0.989221140472879,1,"Liu2007",6.9,NA,"core",TRUE
"狼",0.989221140472879,1,"Liu2007",6.9,NA,"core",TRUE
"鸟",0.989221140472879,1,"Liu2007",6.9,NA,"core",TRUE
"鸡",0.989221140472879,1,"Liu2007",6.9,NA,"core",TRUE
"绿茶",0.988835725677831,1,"Yao2017",7.6,"green tea","core",TRUE
"纪律",0.987240829346092,1,"Yao2017",7.56,"rules","core",TRUE
"城市",0.987024221453287,1,"Liu2025",1.2963,NA,"core",TRUE
"嘴",0.985048678720445,1,"Liu2007",6.89,NA,"core",TRUE
"屎",0.985048678720445,1,"Liu2007",6.89,NA,"core",TRUE
"岛",0.985048678720445,1,"Liu2007",6.89,NA,"core",TRUE
"舌",0.985048678720445,1,"Liu2007",6.89,NA,"core",TRUE
"鸭",0.985048678720445,1,"Liu2007",6.89,NA,"core",TRUE
"鼻",0.985048678720445,1,"Liu2007",6.89,NA,"core",TRUE
"牵手",0.984051036682616,1,"Yao2017",7.44,"hold hands","core",TRUE
"村民",0.98356401384083,1,"Liu2025",1.3214,NA,"core",TRUE
"老鼠",0.98356401384083,1,"Liu2025",1.3214,NA,"core",TRUE
"枣",0.982267037552156,1,"Liu2007",6.88,NA,"core",TRUE
"鞋",0.982267037552156,1,"Liu2007",6.88,NA,"core",TRUE
"蔬菜",0.981577291766693,2,"Liu2025;Yao2017",4.4502,"vegetables","core",TRUE
"女子",0.980861244019139,1,"Yao2017",7.42,"female","core",TRUE
"短发",0.980103806228374,1,"Liu2025",1.3333,NA,"core",TRUE
"火",0.979833101529903,1,"Liu2007",6.87,NA,"core",TRUE
"羊",0.979833101529903,1,"Liu2007",6.87,NA,"core",TRUE
"蝇",0.979833101529903,1,"Liu2007",6.87,NA,"core",TRUE
"驴",0.979833101529903,1,"Liu2007",6.87,NA,"core",TRUE
"鹰",0.979833101529903,1,"Liu2007",6.87,NA,"core",TRUE
"书",0.977051460361613,1,"Liu2007",6.86,NA,"core",TRUE
"兔",0.977051460361613,1,"Liu2007",6.86,NA,"core",TRUE
"箭",0.977051460361613,1,"Liu2007",6.86,NA,"core",TRUE
"佛像",0.976874003189793,1,"Yao2017",7.39,"buddha statue","core",TRUE
"国王",0.975778546712803,1,"Liu2025",1.4074,NA,"core",TRUE
"椅",0.974965229485396,1,"Liu2007",6.85,NA,"core",TRUE
"鹅",0.974965229485396,1,"Liu2007",6.85,NA,"core",TRUE
"鹿",0.974965229485396,1,"Liu2007",6.85,NA,"core",TRUE
"兄弟",0.974481658692185,1,"Yao2017",7.32,"brothers","core",TRUE
"心脏",0.97318339100346,1,"Liu2025",1.4286,NA,"core",TRUE
"幼儿",0.972089314194577,1,"Yao2017",7.3,"infant","core",TRUE
"风景",0.972089314194577,1,"Yao2017",7.3,"scenery","core",TRUE
"灯",0.971835883171071,1,"Liu2007",6.84,NA,"core",TRUE
"砖",0.971835883171071,1,"Liu2007",6.84,NA,"core",TRUE
"船",0.971835883171071,1,"Liu2007",6.84,NA,"core",TRUE
"茶",0.971835883171071,1,"Liu2007",6.84,NA,"core",TRUE
"蛙",0.971835883171071,1,"Liu2007",6.84,NA,"core",TRUE
"车",0.971835883171071,1,"Liu2007",6.84,NA,"core",TRUE
"疫苗",0.970873786407767,1,"Yee2017",4.66,"vaccine","core",TRUE
"武器",0.970588235294118,1,"Liu2025",1.4444,NA,"core",TRUE
"狗",0.968706536856745,1,"Liu2007",6.83,NA,"core",TRUE
"舟",0.968706536856745,1,"Liu2007",6.83,NA,"core",TRUE
"辫",0.968706536856745,1,"Liu2007",6.83,NA,"core",TRUE
"丝绸",0.967993079584775,1,"Liu2025",1.4643,NA,"core",TRUE
"激励",0.967304625199362,1,"Yao2017",7.23,"stimulate","core",TRUE
"刀",0.965924895688456,1,"Liu2007",6.82,NA,"core",TRUE
"墙",0.965924895688456,1,"Liu2007",6.82,NA,"core",TRUE
"腿",0.965924895688456,1,"Liu2007",6.82,NA,"core",TRUE
"酒",0.965924895688456,1,"Liu2007",6.82,NA,"core",TRUE
"镜",0.965924895688456,1,"Liu2007",6.82,NA,"core",TRUE
"奖品",0.964912280701754,1,"Yao2017",7.18,"rewards","core",TRUE
"明星",0.964532871972318,1,"Liu2025",1.4815,NA,"core",TRUE
"水",0.963143254520167,1,"Liu2007",6.81,NA,"core",TRUE
"湖",0.963143254520167,1,"Liu2007",6.81,NA,"core",TRUE
"葱",0.963143254520167,1,"Liu2007",6.81,NA,"core",TRUE
"烹饪",0.961722488038278,1,"Yao2017",7.14,"cook","core",TRUE
"外表",0.961165048543689,1,"Yee2017",4.65,"appearance","core",TRUE
"乐团",0.961072664359862,1,"Liu2025",1.5,NA,"core",TRUE
"军队",0.961072664359862,1,"Liu2025",1.5,NA,"core",TRUE
"铁路",0.960255900840494,2,"Liu2025;Yao2017",4.09,"rail road","core",TRUE
"亲人",0.960127591706539,1,"Yao2017",7.13,"relatives","core",TRUE
"匾",0.960013908205841,1,"Liu2007",6.79,NA,"core",TRUE
"筷",0.960013908205841,1,"Liu2007",6.79,NA,"core",TRUE
"肚",0.960013908205841,1,"Liu2007",6.79,NA,"core",TRUE
"蛋",0.960013908205841,1,"Liu2007",6.79,NA,"core",TRUE
"血",0.960013908205841,1,"Liu2007",6.79,NA,"core",TRUE
"铜",0.960013908205841,1,"Liu2007",6.79,NA,"core",TRUE
"情侣",0.959167342704039,2,"Liu2025;Yao2017",4.34425,"lovers","core",TRUE
"宾馆",0.957735247208931,1,"Yao2017",7.11,"hotel","core",TRUE
"餐厅",0.957735247208931,1,"Yao2017",7.11,"restaurant","core",TRUE
