word,mean_percentile,n_sources,sources,mean_raw_concreteness,gloss_english,tier,selected,gloss_source
豬,1,1,Su2023,6.9474,pig,core,TRUE,hack_llm_translation
糞,0.999641962047977,1,Su2023,6.8889,feces,core,TRUE,hack_llm_translation
貓,0.999283924095954,1,Su2023,6.8421,cat,core,TRUE,hack_llm_translation
眼,0.998925886143931,1,Su2023,6.8333,eye,core,TRUE,hack_llm_translation
蛋,0.998388829215897,1,Su2023,6.7895,egg,core,TRUE,hack_llm_translation
龜,0.998388829215897,1,Su2023,6.7895,turtle,core,TRUE,hack_llm_translation
兔,0.996777658431794,1,Su2023,6.7368,rabbit,core,TRUE,hack_llm_translation
手,0.996777658431794,1,Su2023,6.7368,hand,core,TRUE,hack_llm_translation
橙,0.996777658431794,1,Su2023,6.7368,orange,core,TRUE,hack_llm_translation
水,0.996777658431794,1,Su2023,6.7368,water,core,TRUE,hack_llm_translation
粥,0.996777658431794,1,Su2023,6.7368,porridge,core,TRUE,hack_llm_translation
蛇,0.996777658431794,1,Su2023,6.7368,snake,core,TRUE,hack_llm_translation
鹿,0.996777658431794,1,Su2023,6.7368,deer,core,TRUE,hack_llm_translation
狗,0.994271392767633,1,Su2023,6.6842,dog,core,TRUE,hack_llm_translation
船,0.994271392767633,1,Su2023,6.6842,boat,core,TRUE,hack_llm_translation
蟹,0.994271392767633,1,Su2023,6.6842,crab,core,TRUE,hack_llm_translation
裙,0.994271392767633,1,Su2023,6.6842,skirt,core,TRUE,hack_llm_translation
雨,0.994271392767633,1,Su2023,6.6842,rain,core,TRUE,hack_llm_translation
驢,0.994271392767633,1,Su2023,6.6842,donkey,core,TRUE,hack_llm_translation
鴨,0.994271392767633,1,Su2023,6.6842,duck,core,TRUE,hack_llm_translation
唇,0.992839240959542,1,Su2023,6.65,lip,core,TRUE,hack_llm_translation
杯,0.991765127103473,1,Su2023,6.6316,cup,core,TRUE,hack_llm_translation
猴,0.991765127103473,1,Su2023,6.6316,monkey,core,TRUE,hack_llm_translation
羊,0.991765127103473,1,Su2023,6.6316,sheep,core,TRUE,hack_llm_translation
雞,0.991765127103473,1,Su2023,6.6316,chicken,core,TRUE,hack_llm_translation
鼠,0.991765127103473,1,Su2023,6.6316,mouse,core,TRUE,hack_llm_translation
草,0.99015395631937,1,Su2023,6.5789,grass,core,TRUE,hack_llm_translation
鞋,0.99015395631937,1,Su2023,6.5789,shoe,core,TRUE,hack_llm_translation
飯,0.99015395631937,1,Su2023,6.5789,rice,core,TRUE,hack_llm_translation
魚,0.99015395631937,1,Su2023,6.5789,fish,core,TRUE,hack_llm_translation
床,0.988542785535267,1,Su2023,6.5263,bed,core,TRUE,hack_llm_translation
狼,0.988542785535267,1,Su2023,6.5263,wolf,core,TRUE,hack_llm_translation
蚊,0.988542785535267,1,Su2023,6.5263,mosquito,core,TRUE,hack_llm_translation
頭,0.988542785535267,1,Su2023,6.5263,head,core,TRUE,hack_llm_translation
鼻,0.988542785535267,1,Su2023,6.5263,nose,core,TRUE,hack_llm_translation
刀,0.986573576799141,1,Su2023,6.4737,knife,core,TRUE,hack_llm_translation
熊,0.986573576799141,1,Su2023,6.4737,bear,core,TRUE,hack_llm_translation
腳,0.986573576799141,1,Su2023,6.4737,foot,core,TRUE,hack_llm_translation
蝦,0.986573576799141,1,Su2023,6.4737,shrimp,core,TRUE,hack_llm_translation
車,0.986573576799141,1,Su2023,6.4737,car,core,TRUE,hack_llm_translation
齒,0.986573576799141,1,Su2023,6.4737,tooth,core,TRUE,hack_llm_translation
錢,0.98532044396706,1,Su2023,6.45,money,core,TRUE,hack_llm_translation
劍,0.982993197278912,1,Su2023,6.4211,sword,core,TRUE,hack_llm_translation
嘴,0.982993197278912,1,Su2023,6.4211,mouth,core,TRUE,hack_llm_translation
屎,0.982993197278912,1,Su2023,6.4211,poop,core,TRUE,hack_llm_translation
書,0.982993197278912,1,Su2023,6.4211,book,core,TRUE,hack_llm_translation
碗,0.982993197278912,1,Su2023,6.4211,bowl,core,TRUE,hack_llm_translation
肝,0.982993197278912,1,Su2023,6.4211,liver,core,TRUE,hack_llm_translation
