word,mean_percentile,n_sources,sources,mean_raw_concreteness,gloss_english,tier,selected,gloss_source
aardbei,0.997955789619569,1,Brysbaert2014a,5,strawberry,core,TRUE,hack_llm_translation
aubade,0.997955789619569,1,Brysbaert2014a,5,morning serenade,core,TRUE,hack_llm_translation
bal,0.997955789619569,1,Brysbaert2014a,5,ball,core,TRUE,hack_llm_translation
banaan,0.997955789619569,1,Brysbaert2014a,5,banana,core,TRUE,hack_llm_translation
been,0.997955789619569,1,Brysbaert2014a,5,leg,core,TRUE,hack_llm_translation
beo,0.997955789619569,1,Brysbaert2014a,5,myna bird,core,TRUE,hack_llm_translation
bes,0.997955789619569,1,Brysbaert2014a,5,berry,core,TRUE,hack_llm_translation
brasem,0.997955789619569,1,Brysbaert2014a,5,bream,core,TRUE,hack_llm_translation
broek,0.997955789619569,1,Brysbaert2014a,5,pants,core,TRUE,hack_llm_translation
brood,0.997955789619569,1,Brysbaert2014a,5,bread,core,TRUE,hack_llm_translation
camee,0.997955789619569,1,Brysbaert2014a,5,cameo,core,TRUE,hack_llm_translation
dolfijn,0.997955789619569,1,Brysbaert2014a,5,dolphin,core,TRUE,hack_llm_translation
duim,0.997955789619569,1,Brysbaert2014a,5,thumb,core,TRUE,hack_llm_translation
ei,0.997955789619569,1,Brysbaert2014a,5,egg,core,TRUE,hack_llm_translation
erwten,0.997955789619569,1,Brysbaert2014a,5,peas,core,TRUE,hack_llm_translation
haarband,0.997955789619569,1,Brysbaert2014a,5,hairband,core,TRUE,hack_llm_translation
handdoek,0.997955789619569,1,Brysbaert2014a,5,towel,core,TRUE,hack_llm_translation
helikopter,0.997955789619569,1,Brysbaert2014a,5,helicopter,core,TRUE,hack_llm_translation
kaars,0.997955789619569,1,Brysbaert2014a,5,candle,core,TRUE,hack_llm_translation
kano,0.997955789619569,1,Brysbaert2014a,5,canoe,core,TRUE,hack_llm_translation
karwats,0.997955789619569,1,Brysbaert2014a,5,horsewhip,core,TRUE,hack_llm_translation
kashba,0.997955789619569,1,Brysbaert2014a,5,kasbah,core,TRUE,hack_llm_translation
klewang,0.997955789619569,1,Brysbaert2014a,5,machete,core,TRUE,hack_llm_translation
kotter,0.997955789619569,1,Brysbaert2014a,5,cutter boat,core,TRUE,hack_llm_translation
krekel,0.997955789619569,1,Brysbaert2014a,5,cricket,core,TRUE,hack_llm_translation
kuras,0.997955789619569,1,Brysbaert2014a,5,cuirass,core,TRUE,hack_llm_translation
messing,0.997955789619569,1,Brysbaert2014a,5,brass,core,TRUE,hack_llm_translation
mink,0.997955789619569,1,Brysbaert2014a,5,mink,core,TRUE,hack_llm_translation
muis,0.997955789619569,1,Brysbaert2014a,5,mouse,core,TRUE,hack_llm_translation
muts,0.997955789619569,1,Brysbaert2014a,5,beanie,core,TRUE,hack_llm_translation
ogen,0.997955789619569,1,Brysbaert2014a,5,eyes,core,TRUE,hack_llm_translation
oog,0.997955789619569,1,Brysbaert2014a,5,eye,core,TRUE,hack_llm_translation
pais,0.997955789619569,1,Brysbaert2014a,5,peace,core,TRUE,hack_llm_translation
pen,0.997955789619569,1,Brysbaert2014a,5,pen,core,TRUE,hack_llm_translation
perzik,0.997955789619569,1,Brysbaert2014a,5,peach,core,TRUE,hack_llm_translation
piel,0.997955789619569,1,Brysbaert2014a,5,penis,core,TRUE,hack_llm_translation
ranonkel,0.997955789619569,1,Brysbaert2014a,5,buttercup,core,TRUE,hack_llm_translation
rietje,0.997955789619569,1,Brysbaert2014a,5,straw,core,TRUE,hack_llm_translation
rups,0.997955789619569,1,Brysbaert2014a,5,caterpillar,core,TRUE,hack_llm_translation
schaap,0.997955789619569,1,Brysbaert2014a,5,sheep,core,TRUE,hack_llm_translation
schelp,0.997955789619569,1,Brysbaert2014a,5,shell,core,TRUE,hack_llm_translation
sinaasappel,0.997955789619569,1,Brysbaert2014a,5,orange,core,TRUE,hack_llm_translation
sisal,0.997955789619569,1,Brysbaert2014a,5,sisal,core,TRUE,hack_llm_translation
