cues,con,type,n_previous,needs_norming
abdomen,4.7,Old,33,No
absinthe,4.3,Old,26,Yes
accessory,4.1,Old,32,No
accordion,4.86,Old,27,Yes
accountant,4.41,Old,28,Yes
acne,4.89,Old,29,Yes
acorn,4.96,Old,38,No
acrobat,4.46,Old,26,Yes
actor,4.57,Old,28,Yes
actress,4.54,Old,32,No
acupuncture,3.83,Old,35,No
adapter,3.82,Old,30,No
addict,3.14,Old,31,No
adult,4.4,Old,28,Yes
advisor,4.15,Old,35,No
afro,4.52,Old,30,No
aftershave,4.56,Old,28,Yes
aircraft,4.4,Old,26,Yes
airman,4.25,Old,28,Yes
airplane,4.96,Old,28,Yes
album,4.69,Old,35,No
alcohol,4.76,Old,28,Yes
ale,4.65,Old,27,Yes
alfalfa,4.69,Old,27,Yes
algae,4.93,Old,30,No
almond,4.71,Old,31,No
altar,4.85,Old,27,Yes
altarpiece,4.54,Old,28,Yes
aluminum,4.88,Old,30,No
ambulance,4.81,Old,27,Yes
ammunition,4.88,Old,51,No
amphibian,3.77,Old,32,No
amulet,4,Old,33,No
anchor,4.77,Old,25,Yes
anchovy,4.96,Old,26,Yes
animal,4.61,Old,38,No
ankle,4.81,Old,25,Yes
anklet,4.75,Old,38,No
announcer,4.52,Old,25,Yes
ant,4.86,Old,29,Yes
antenna,4.75,Old,36,No
antennae,4.85,Old,29,Yes
antibiotics,4.45,Old,30,No
antihistamine,3.68,Old,34,No
antique,3.75,Old,58,No
antiseptics,3.96,Old,31,No
anus,4.86,Old,34,No
apartment,4.9,Old,65,No
apparatus,3.78,Old,35,No
apparel,4.6,Old,30,No
appendage,4.26,Old,28,Yes
appetizer,4.71,Old,27,Yes
apple,5,Old,28,Yes
appliance,4.57,Old,37,No
applicator,4.26,Old,26,Yes
appraiser,3.62,Old,33,No
apprentice,3.67,Old,33,No
apricot,4.97,Old,37,No
apron,4.87,Old,38,No
aquarium,4.77,Old,28,Yes
arachnid,4.65,Old,30,No
archives,3.93,Old,26,Yes
arm,4.96,Old,35,No
armband,4.67,Old,30,No
armoire,4.52,Old,27,Yes
armor,4.76,Old,30,No
armpit,4.8,Old,26,Yes
arrow,4.97,Old,29,Yes
arrowhead,4.7,Old,26,Yes
artichoke,4.63,Old,27,Yes
artifact,4.5,Old,35,No
artist,4.24,Old,26,Yes
ash,4.96,Old,69,No
ashcan,4.78,Old,31,No
ashtray,4.97,Old,32,No
asparagus,4.96,Old,28,Yes
ass,4.67,Old,32,No
assassin,4.43,Old,27,Yes
assemblyman,3.74,Old,29,Yes
asshole,4.08,Old,33,No
astronaut,4.75,Old,29,Yes
athlete,4.3,Old,25,Yes
atlas,4.79,Old,26,Yes
attendant,4.44,Old,25,Yes
attire,4.47,Old,29,Yes
attorney,4.52,Old,32,No
auditorium,4.7,Old,31,No
aunt,4.17,Old,33,No
author,4.26,Old,30,No
auto,4,Old,34,No
automobile,4.96,Old,26,Yes
automotive,4.19,Old,27,Yes
avocado,4.89,Old,30,No
awning,4.61,Old,28,Yes
axe,5,Old,97,No
axle,4.5,Old,33,No
azalea,4.4,Old,28,Yes
babe,3.67,Old,28,Yes
baby,5,Old,28,Yes
backboard,4.93,Old,29,Yes
backbone,4.19,Old,34,No
backdoor,4.5,Old,26,Yes
backgammon,4.47,Old,28,Yes
backpack,4.96,Old,28,Yes
backscratcher,4.58,Old,26,Yes
bacon,4.9,Old,27,Yes
badge,4.93,Old,30,No
badminton,4.7,Old,26,Yes
bag,4.9,Old,24,Yes
baggage,4.43,Old,30,No
bagpipe,4.97,Old,50,No
bait,4.45,Old,26,Yes
baklava,4.32,Old,29,Yes
balcony,4.68,Old,35,No
ball,5,Old,33,No
ballerina,4.61,Old,28,Yes
balloon,4.92,Old,34,No
balloonist,4.5,Old,27,Yes
ballot,4.73,Old,27,Yes
ballplayer,4.68,Old,28,Yes
balm,3.68,Old,33,No
bamboo,4.86,Old,27,Yes
banana,5,Old,25,Yes
band,4.68,Old,27,Yes
bandage,4.85,Old,29,Yes
bangle,4.38,Old,33,No
banister,4.75,Old,27,Yes
banjo,4.9,Old,29,Yes
bank,4.78,Old,25,Yes
bankbook,4.81,Old,26,Yes
banknote,4.88,Old,29,Yes
banquet,4,Old,30,No
barbecue,4.52,Old,26,Yes
barber,4.59,Old,34,No
barkeep,4.22,Old,25,Yes
barley,4.59,Old,26,Yes
barman,4.46,Old,29,Yes
barn,4.79,Old,27,Yes
barnacle,4.92,Old,28,Yes
barrel,4.86,Old,26,Yes
barrette,4.12,Old,26,Yes
barricade,4.57,Old,35,No
bartender,4.82,Old,39,No
baseball,4.86,Old,35,No
baseboard,4.9,Old,27,Yes
basement,4.89,Old,28,Yes
basil,4.76,Old,27,Yes
basin,4.63,Old,29,Yes
basket,5,Old,27,Yes
basketball,4.97,Old,28,Yes
bass,4.31,Old,36,No
bassinet,4.71,Old,25,Yes
bat,5,Old,39,No
bath,4.85,Old,27,Yes
bathe,4.19,Old,33,No
bathroom,4.52,Old,38,No
bathtub,4.92,Old,28,Yes
baton,4.64,Old,26,Yes
battery,4.67,Old,27,Yes
battleship,4.81,Old,30,No
bayonet,4.77,Old,27,Yes
bazooka,4.66,Old,29,Yes
beach,4.79,Old,27,Yes
beachwear,4.64,Old,27,Yes
bead,4.9,Old,34,No
beagle,4.81,Old,33,No
beaker,4.72,Old,28,Yes
beanstalk,4.7,Old,36,No
beard,4.96,Old,33,No
beautician,4.69,Old,30,No
bed,5,Old,26,Yes
bedclothes,4.63,Old,24,Yes
bedpost,4.79,Old,26,Yes
bedroom,4.9,Old,33,No
bedspread,4.85,Old,39,No
beef,4.74,Old,32,No
beefcake,3.9,Old,34,No
beefsteak,4.76,Old,27,Yes
beer,4.88,Old,37,No
beet,4.8,Old,33,No
beetle,4.83,Old,26,Yes
beggar,4.59,Old,27,Yes
bell,4.96,Old,29,Yes
bellboy,4.39,Old,29,Yes
bellflower,4.26,Old,32,No
bellman,4.89,Old,29,Yes
belly,4.8,Old,32,No
belongings,3.88,Old,29,Yes
belt,4.9,Old,36,No
bench,4.87,Old,29,Yes
beret,4.8,Old,27,Yes
berry,4.93,Old,36,No
beverage,4.6,Old,34,No
bib,4.79,Old,27,Yes
bible,4.61,Old,38,No
bicep,4.67,Old,34,No
bicycle,4.89,Old,25,Yes
bifocals,4.64,Old,52,No
bike,5,Old,29,Yes
bill,4.68,Old,27,Yes
billfold,4.71,Old,31,No
billiards,4.61,Old,31,No
bin,4.72,Old,35,No
binoculars,5,Old,37,No
biologist,3.96,Old,30,No
bird,5,Old,34,No
birdbath,4.96,Old,27,Yes
birdseed,4.96,Old,34,No
birthmark,4.35,Old,28,Yes
biscuit,4.9,Old,31,No
bistro,4.44,Old,26,Yes
blackberry,4.97,Old,34,No
blackboard,4.72,Old,29,Yes
blackhead,4.71,Old,46,No
blade,4.93,Old,38,No
blanket,5,Old,27,Yes
blazer,4.79,Old,33,No
bleach,4.74,Old,28,Yes
bleacher,4.14,Old,36,No
blender,5,Old,27,Yes
blindfold,4.57,Old,33,No
blister,4.71,Old,32,No
block,4.48,Old,32,No
bloke,3.89,Old,25,Yes
blood,4.86,Old,31,No
bloodhound,4.76,Old,36,No
bloomers,4.26,Old,29,Yes
blouse,4.96,Old,32,No
blower,4.07,Old,28,Yes
blowgun,4.83,Old,27,Yes
blowtorch,4.93,Old,27,Yes
blueberry,4.96,Old,29,Yes
bluefish,4.79,Old,27,Yes
blueprint,4.77,Old,25,Yes
boa,4.92,Old,32,No
board,4.57,Old,27,Yes
boardinghouse,4.5,Old,26,Yes
boat,4.93,Old,25,Yes
boathouse,4.78,Old,33,No
boatman,4.73,Old,27,Yes
bobsleigh,4.77,Old,29,Yes
bodice,4.78,Old,26,Yes
body,4.79,Old,28,Yes
bodybuilder,4.43,Old,30,No
bodyguard,4.75,Old,27,Yes
bolt,4.67,Old,33,No
bomb,4.84,Old,28,Yes
bonbon,4.61,Old,29,Yes
bondsman,3.79,Old,29,Yes
bone,4.9,Old,34,No
bong,4.27,Old,29,Yes
bonnet,4.93,Old,27,Yes
book,4.9,Old,31,No
bookbinder,4.93,Old,26,Yes
bookcase,4.93,Old,29,Yes
bookend,4.32,Old,28,Yes
bookkeeper,4.64,Old,28,Yes
booklet,4.72,Old,27,Yes
bookmark,4.9,Old,27,Yes
bookmarker,4.62,Old,29,Yes
bookseller,4.43,Old,28,Yes
bookshelf,4.93,Old,27,Yes
boomerang,4.7,Old,27,Yes
boot,4.96,Old,48,No
booth,4.42,Old,34,No
bootlace,4.54,Old,36,No
booze,4.48,Old,28,Yes
bosom,4.63,Old,30,No
bottle,4.91,Old,28,Yes
boulder,4.67,Old,35,No
bouquet,4.74,Old,36,No
bourbon,4.93,Old,27,Yes
boutique,4.27,Old,26,Yes
bowl,4.87,Old,27,Yes
bowling,4.56,Old,29,Yes
box,4.9,Old,28,Yes
boxer,4.63,Old,27,Yes
boy,4.76,Old,33,No
boyfriend,4.59,Old,37,No
bra,4.54,Old,51,No
brace,3.96,Old,24,Yes
bracelet,4.96,Old,28,Yes
braid,4.38,Old,35,No
branch,4.9,Old,26,Yes
brandy,4.81,Old,26,Yes
brass,4.7,Old,34,No
bratwurst,4.82,Old,28,Yes
bread,4.92,Old,29,Yes
breadbasket,4,Old,31,No
breakfast,4.43,Old,24,Yes
breastbone,4.33,Old,34,No
breastplate,4.67,Old,27,Yes
breasts,5,Old,59,No
breeches,4.07,Old,27,Yes
brick,4.83,Old,30,No
bricklayer,4.42,Old,27,Yes
brickwork,4.48,Old,35,No
bridegroom,4.39,Old,33,No
bridesmaid,4.41,Old,28,Yes
bridge,4.97,Old,27,Yes
briefcase,4.86,Old,28,Yes
briefs,4.33,Old,29,Yes
brisket,4.61,Old,25,Yes
broach,3.74,Old,33,No
broccoli,4.87,Old,38,No
brochure,4.76,Old,30,No
broiler,4.83,Old,28,Yes
broker,4.03,Old,27,Yes
brooch,4.19,Old,26,Yes
broom,4.89,Old,39,No
broomstick,4.8,Old,29,Yes
broth,4.68,Old,36,No
brother,4.43,Old,34,No
brow,4.39,Old,26,Yes
brush,4.54,Old,50,No
bubble,4.6,Old,27,Yes
buck,4.67,Old,26,Yes
bucket,4.96,Old,30,No
buckle,4.71,Old,37,No
buckwheat,4.54,Old,29,Yes
buddy,3.48,Old,31,No
buffalo,4.83,Old,37,No
buffet,4.67,Old,25,Yes
bug,5,Old,36,No
bugle,4.84,Old,30,No
builder,3.97,Old,29,Yes
building,4.64,Old,28,Yes
bulb,4.93,Old,39,No
bulldozer,4.9,Old,28,Yes
bullet,4.83,Old,32,No
bullfighter,4.7,Old,25,Yes
bullfrog,4.9,Old,29,Yes
bully,3.92,Old,37,No
bum,4.21,Old,31,No
bun,4.88,Old,31,No
bunion,4.64,Old,26,Yes
bunk,4.3,Old,27,Yes
bunkhouse,4.37,Old,34,No
bunkmate,4,Old,35,No
bunny,4.97,Old,28,Yes
buoy,4.57,Old,34,No
burger,4.93,Old,27,Yes
burglar,4.44,Old,27,Yes
burlap,4.78,Old,29,Yes
bus,4.9,Old,28,Yes
bush,4.9,Old,27,Yes
businessman,4.47,Old,26,Yes
businesswoman,4.35,Old,34,No
busman,3.91,Old,29,Yes
butcher,4.65,Old,26,Yes
butt,4.75,Old,35,No
butter,4.9,Old,38,No
