cues,AFSS,BOI,Concrete,n_previous,needs_norming
abdomen,41,5.434782609,4.7,33,No
absinthe,29,4.590909091,4.3,26,Yes
accessory,34,4.72,4.1,32,No
accordion,26,5.826086957,4.86,27,Yes
accountant,40,4.666666667,4.41,28,Yes
acne,28,4.391304348,4.89,29,Yes
acorn,33,5.28,4.96,38,No
acrobat,31,5.043478261,4.46,26,Yes
actor,32,4.739130435,4.57,28,Yes
actress,46,4.92,4.54,32,No
acupuncture,23,5.285714286,3.83,35,No
adapter,25,4.583333333,3.82,30,No
addict,29,4.391304348,3.14,31,No
adult,39,5.409090909,4.4,28,Yes
advisor,35,4.347826087,4.15,35,No
afro,21,4.52,4.52,30,No
aftershave,23,5.375,4.56,28,Yes
aircraft,31,4.925925926,4.4,26,Yes
airman,35,4.36,4.25,28,Yes
airplane,41,4.625,4.96,28,Yes
album,44,5.791666667,4.69,35,No
alcohol,43,5.833333333,4.76,28,Yes
ale,22,4.962962963,4.65,27,Yes
alfalfa,23,5.045454545,4.69,27,Yes
algae,33,4.458333333,4.93,30,No
almond,33,5.714285714,4.71,31,No
altar,39,4.782608696,4.85,27,Yes
altarpiece,29,4.80952381,4.54,28,Yes
aluminum,36,5.083333333,4.88,30,No
ambulance,25,5,4.81,27,Yes
ammunition,30,4.592592593,4.88,51,No
amphibian,45,4.357142857,3.77,32,No
amulet,26,5.291666667,4,33,No
anchor,42,5.739130435,4.77,25,Yes
anchovy,23,4.428571429,4.96,26,Yes
animal,66,5.958333333,4.61,38,No
ankle,28,5.833333333,4.81,25,Yes
anklet,37,5.708333333,4.75,38,No
announcer,19,4.296296296,4.52,25,Yes
ant,48,4.84,4.86,29,Yes
antenna,41,4.695652174,4.75,36,No
antennae,48,4.538461538,4.85,29,Yes
antibiotics,26,4.956521739,4.45,30,No
antihistamine,29,5.260869565,3.68,34,No
antique,40,4.423076923,3.75,58,No
antiseptics,34,5.041666667,3.96,31,No
anus,33,5.16,4.86,34,No
apartment,39,4.6,4.9,65,No
apparatus,41,4.636363636,3.78,35,No
apparel,49,5.695652174,4.6,30,No
appendage,43,5,4.26,28,Yes
appetizer,33,6.12,4.71,27,Yes
apple,28,6.272727273,5,28,Yes
appliance,43,5.791666667,4.57,37,No
applicator,17,5.185185185,4.26,26,Yes
appraiser,33,4.428571429,3.62,33,No
apprentice,27,4.321428571,3.67,33,No
apricot,40,6.291666667,4.97,37,No
apron,42,5.96,4.87,38,No
aquarium,49,5.782608696,4.77,28,Yes
arachnid,51,4.904761905,4.65,30,No
archives,21,4.333333333,3.93,26,Yes
arm,69,6.47826087,4.96,35,No
armband,34,5.347826087,4.67,30,No
armoire,27,4.904761905,4.52,27,Yes
armor,32,5.333333333,4.76,30,No
armpit,30,5.52,4.8,26,Yes
arrow,38,4.92,4.97,29,Yes
arrowhead,37,4.44,4.7,26,Yes
artichoke,33,5.708333333,4.63,27,Yes
artifact,42,4.416666667,4.5,35,No
artist,36,4.782608696,4.24,26,Yes
ash,26,4.333333333,4.96,69,No
ashcan,24,4.571428571,4.78,31,No
ashtray,30,5.44,4.97,32,No
asparagus,38,5.56,4.96,28,Yes
ass,40,5.304347826,4.67,32,No
assassin,24,4.32,4.43,27,Yes
assemblyman,24,4.72,3.74,29,Yes
asshole,35,4.5,4.08,33,No
astronaut,48,4.357142857,4.75,29,Yes
athlete,43,4.916666667,4.3,25,Yes
atlas,33,5.166666667,4.79,26,Yes
attendant,39,5.083333333,4.44,25,Yes
attire,36,5.086956522,4.47,29,Yes
attorney,30,4.72,4.52,32,No
