"word","mean_percentile","n_sources","sources","mean_raw_concreteness","gloss_english","tier","selected"
"moelleux",1,1,"Quadflieg2014",5.58,"soft","core",TRUE
"hélicoptère",0.999532710280374,1,"Bonin2018",5,"helicopter","core",TRUE
"poulet",0.999532710280374,1,"Bonin2018",5,"chicken","core",TRUE
"banane",0.997663551401869,1,"Bonin2018",4.97,"banana","core",TRUE
"singe",0.997663551401869,1,"Bonin2018",4.97,"monkey","core",TRUE
"âne",0.993457943925234,1,"Bonin2018",4.96,"donkey","core",TRUE
"asperge",0.993457943925234,1,"Bonin2018",4.96,"asparagus","core",TRUE
"cerise",0.993457943925234,1,"Bonin2018",4.96,"cherry","core",TRUE
"mouton",0.993457943925234,1,"Bonin2018",4.96,"sheep","core",TRUE
"pomme",0.993457943925234,1,"Bonin2018",4.96,"apple","core",TRUE
"serpent",0.993457943925234,1,"Bonin2018",4.96,"snake","core",TRUE
"zèbre",0.993457943925234,1,"Bonin2018",4.96,"zebra","core",TRUE
"acide",0.991525423728814,1,"Quadflieg2014",5.37,"acidic","core",TRUE
"cacahouète",0.98785046728972,1,"Bonin2018",4.93,"peanut","core",TRUE
"canard",0.98785046728972,1,"Bonin2018",4.93,"duck","core",TRUE
"couteau",0.98785046728972,1,"Bonin2018",4.93,"knife","core",TRUE
"oreille",0.98785046728972,1,"Bonin2018",4.93,"ear","core",TRUE
"téléphone",0.98785046728972,1,"Bonin2018",4.93,"telephone","core",TRUE
"liquide",0.983050847457627,1,"Quadflieg2014",5.1,"liquid","core",TRUE
"balai",0.982242990654206,1,"Bonin2018",4.92,"broom","core",TRUE
"ciseaux",0.982242990654206,1,"Bonin2018",4.92,"scissors","core",TRUE
"dent",0.982242990654206,1,"Bonin2018",4.92,"tooth","core",TRUE
"guitare",0.982242990654206,1,"Bonin2018",4.92,"guitar","core",TRUE
"pingouin",0.982242990654206,1,"Bonin2018",4.92,"penguin","core",TRUE
"poubelle",0.982242990654206,1,"Bonin2018",4.92,"garbage can","core",TRUE
"stylo",0.982242990654206,1,"Bonin2018",4.92,"pen","core",TRUE
"abeille",0.975700934579439,1,"Bonin2018",4.9,"bee","core",TRUE
"chat",0.975700934579439,1,"Bonin2018",4.9,"cat","core",TRUE
"chaussure",0.975700934579439,1,"Bonin2018",4.9,"shoe","core",TRUE
"cheval",0.975700934579439,1,"Bonin2018",4.9,"horse","core",TRUE
"écureuil",0.975700934579439,1,"Bonin2018",4.9,"squirrel","core",TRUE
"marteau",0.975700934579439,1,"Bonin2018",4.9,"hammer","core",TRUE
"vélo",0.975700934579439,1,"Bonin2018",4.9,"bicycle","core",TRUE
"bouteille",0.96822429906542,1,"Bonin2018",4.88,"bottle","core",TRUE
"chêne",0.96822429906542,1,"Bonin2018",4.88,"oak","core",TRUE
"doigt",0.96822429906542,1,"Bonin2018",4.88,"finger","core",TRUE
"huître",0.96822429906542,1,"Bonin2018",4.88,"oyster","core",TRUE
"léopard",0.96822429906542,1,"Bonin2018",4.88,"leopard","core",TRUE
"loupe",0.96822429906542,1,"Bonin2018",4.88,"magnifying glass","core",TRUE
"luge",0.96822429906542,1,"Bonin2018",4.88,"sled","core",TRUE
"pie",0.96822429906542,1,"Bonin2018",4.88,"magpie","core",TRUE
"tambour",0.96822429906542,1,"Bonin2018",4.88,"drum","core",TRUE
"ananas",0.952803738317757,1,"Bonin2018",4.87,"pineapple","core",TRUE
"avion",0.952803738317757,1,"Bonin2018",4.87,"airplane","core",TRUE
"carotte",0.952803738317757,1,"Bonin2018",4.87,"carrot","core",TRUE
"chèvre",0.952803738317757,1,"Bonin2018",4.87,"goat","core",TRUE
"ciseau",0.952803738317757,1,"Bonin2018",4.87,"chisel","core",TRUE
"clou",0.952803738317757,1,"Bonin2018",4.87,"nail","core",TRUE
"crayon",0.952803738317757,1,"Bonin2018",4.87,"pencil","core",TRUE
"crêpe",0.952803738317757,1,"Bonin2018",4.87,"pancake","core",TRUE
"gilet",0.952803738317757,1,"Bonin2018",4.87,"vest","core",TRUE
"grille-pain",0.952803738317757,1,"Bonin2018",4.87,"toaster","core",TRUE
"guêpe",0.952803738317757,1,"Bonin2018",4.87,"wasp","core",TRUE
"lièvre",0.952803738317757,1,"Bonin2018",4.87,"hare","core",TRUE
"marmite",0.952803738317757,1,"Bonin2018",4.87,"pot","core",TRUE
"nappe",0.952803738317757,1,"Bonin2018",4.87,"tablecloth","core",TRUE
"ours",0.952803738317757,1,"Bonin2018",4.87,"bear","core",TRUE
"pain",0.952803738317757,1,"Bonin2018",4.87,"bread","core",TRUE
"papillon",0.952803738317757,1,"Bonin2018",4.87,"butterfly","core",TRUE
"pied",0.952803738317757,1,"Bonin2018",4.87,"foot","core",TRUE
"poivron",0.952803738317757,1,"Bonin2018",4.87,"capsicum","core",TRUE
"renard",0.952803738317757,1,"Bonin2018",4.87,"fox","core",TRUE
"sandwich",0.952803738317757,1,"Bonin2018",4.87,"sandwich","core",TRUE
"string",0.952803738317757,1,"Bonin2018",4.87,"g-string","core",TRUE
"tomate",0.952803738317757,1,"Bonin2018",4.87,"tomato","core",TRUE
"trompette",0.952803738317757,1,"Bonin2018",4.87,"trumpet","core",TRUE
"grassouillet",0.949152542372881,1,"Quadflieg2014",4.75,"pudgy","core",TRUE
"pompette",0.949152542372881,1,"Quadflieg2014",4.75,"tipsy","core",TRUE
"accordéon",0.935981308411215,1,"Bonin2018",4.84,"accordion","core",TRUE
"banc",0.935981308411215,1,"Bonin2018",4.84,"bench","core",TRUE
"botte",0.935981308411215,1,"Bonin2018",4.84,"boot","core",TRUE
"ceinture",0.935981308411215,1,"Bonin2018",4.84,"belt","core",TRUE
"cendrier",0.935981308411215,1,"Bonin2018",4.84,"ashtray","core",TRUE
"chenille",0.935981308411215,1,"Bonin2018",4.84,"caterpillar","core",TRUE
