"word","mean_percentile","n_sources","sources","mean_raw_concreteness","gloss_english","tier","selected"
"motor",0.999516441005803,1,"AlvarezMosquera2026",8.71428571428571,"engine","core",TRUE
"ordenador",0.999516441005803,1,"AlvarezMosquera2026",8.71428571428571,"computer","core",TRUE
"chave",0.998065764023211,1,"AlvarezMosquera2026",8.69230769230769,"key","core",TRUE
"nariz",0.997098646034816,1,"AlvarezMosquera2026",8.64285714285714,"nose","core",TRUE
"cabelo",0.996131528046422,1,"AlvarezMosquera2026",8.53846153846154,"hair","core",TRUE
"estrada",0.99468085106383,1,"AlvarezMosquera2026",8.5,"road","core",TRUE
"museo",0.99468085106383,1,"AlvarezMosquera2026",8.5,"museum","core",TRUE
"moeda",0.992263056092843,1,"AlvarezMosquera2026",8.42857142857143,"coin","core",TRUE
"pescador",0.992263056092843,1,"AlvarezMosquera2026",8.42857142857143,"fisherman","core",TRUE
"teléfono",0.992263056092843,1,"AlvarezMosquera2026",8.42857142857143,"telephone","core",TRUE
"tabaco",0.990328820116054,1,"AlvarezMosquera2026",8.38461538461539,"tobacco","core",TRUE
"camión",0.988394584139265,1,"AlvarezMosquera2026",8.35714285714286,"truck","core",TRUE
"chaqueta",0.988394584139265,1,"AlvarezMosquera2026",8.35714285714286,"jacket","core",TRUE
"xuíz",0.988394584139265,1,"AlvarezMosquera2026",8.35714285714286,"judge","core",TRUE
"baño",0.985976789168279,1,"AlvarezMosquera2026",8.30769230769231,"bathroom","core",TRUE
"fábrica",0.985976789168279,1,"AlvarezMosquera2026",8.30769230769231,"factory","core",TRUE
"alumno",0.983075435203095,1,"AlvarezMosquera2026",8.28571428571429,"student","core",TRUE
"animal",0.983075435203095,1,"AlvarezMosquera2026",8.28571428571429,"animal","core",TRUE
"caderno",0.983075435203095,1,"AlvarezMosquera2026",8.28571428571429,"notebook","core",TRUE
"doutor",0.983075435203095,1,"AlvarezMosquera2026",8.28571428571429,"doctor","core",TRUE
"obreiro",0.980657640232108,1,"AlvarezMosquera2026",8.26666666666667,"worker","core",TRUE
"bicicleta",0.978239845261122,1,"AlvarezMosquera2026",8.21428571428571,"bicycle","core",TRUE
"colexio",0.978239845261122,1,"AlvarezMosquera2026",8.21428571428571,"school","core",TRUE
"muro",0.978239845261122,1,"AlvarezMosquera2026",8.21428571428571,"wall","core",TRUE
"praia",0.978239845261122,1,"AlvarezMosquera2026",8.21428571428571,"beach","core",TRUE
"flor",0.975822050290135,1,"AlvarezMosquera2026",8.19047619047619,"flower","core",TRUE
"automóbil",0.973404255319149,1,"AlvarezMosquera2026",8.16666666666667,"automobile","core",TRUE
"carta",0.973404255319149,1,"AlvarezMosquera2026",8.16666666666667,"letter","core",TRUE
"estómago",0.973404255319149,1,"AlvarezMosquera2026",8.16666666666667,"stomach","core",TRUE
"monte",0.973404255319149,1,"AlvarezMosquera2026",8.16666666666667,"forest","core",TRUE
"escola",0.970502901353965,1,"AlvarezMosquera2026",8.15384615384615,"school","core",TRUE
"queixo",0.970502901353965,1,"AlvarezMosquera2026",8.15384615384615,"cheese","core",TRUE
"comida",0.968085106382979,1,"AlvarezMosquera2026",8.14285714285714,"meal","core",TRUE
"corpo",0.968085106382979,1,"AlvarezMosquera2026",8.14285714285714,"body","core",TRUE
"pintor",0.968085106382979,1,"AlvarezMosquera2026",8.14285714285714,"painter","core",TRUE
"bosque",0.965667311411992,1,"AlvarezMosquera2026",8.08333333333333,"forest","core",TRUE
"cadeira",0.965667311411992,1,"AlvarezMosquera2026",8.08333333333333,"chair","core",TRUE
"cidade",0.9642166344294,1,"AlvarezMosquera2026",8.07142857142857,"city","core",TRUE
"árbore",0.963249516441006,1,"AlvarezMosquera2026",8.06666666666667,"tree","core",TRUE
"bandeira",0.960348162475822,1,"AlvarezMosquera2026",8,"flag","core",TRUE
"dólar",0.960348162475822,1,"AlvarezMosquera2026",8,"dollar","core",TRUE
"lobo",0.960348162475822,1,"AlvarezMosquera2026",8,"wolf","core",TRUE
"pano",0.960348162475822,1,"AlvarezMosquera2026",8,"cloth","core",TRUE
"perna",0.960348162475822,1,"AlvarezMosquera2026",8,"leg","core",TRUE
"compañeiro",0.957446808510638,1,"AlvarezMosquera2026",7.95238095238095,"partner","core",TRUE
"casa",0.956479690522244,1,"AlvarezMosquera2026",7.93333333333333,"house","core",TRUE
"cama",0.953094777562863,1,"AlvarezMosquera2026",7.92857142857143,"bed","core",TRUE
"casco",0.953094777562863,1,"AlvarezMosquera2026",7.92857142857143,"helmet","core",TRUE
"espello",0.953094777562863,1,"AlvarezMosquera2026",7.92857142857143,"mirror","core",TRUE
"galo",0.953094777562863,1,"AlvarezMosquera2026",7.92857142857143,"rooster","core",TRUE
"pato",0.953094777562863,1,"AlvarezMosquera2026",7.92857142857143,"duck","core",TRUE
"saia",0.953094777562863,1,"AlvarezMosquera2026",7.92857142857143,"skirt","core",TRUE
"sanitario",0.949709864603482,1,"AlvarezMosquera2026",7.92307692307692,"healthcare- related","core",TRUE
"carballo",0.948742746615087,1,"AlvarezMosquera2026",7.90909090909091,"oak","core",TRUE
"mariñeiro",0.947292069632495,1,"AlvarezMosquera2026",7.9047619047619,"fisherman","core",TRUE
"vila",0.947292069632495,1,"AlvarezMosquera2026",7.9047619047619,"town","core",TRUE
"barco",0.944874274661509,1,"AlvarezMosquera2026",7.85714285714286,"boat","core",TRUE
"cara",0.944874274661509,1,"AlvarezMosquera2026",7.85714285714286,"face","core",TRUE
"pelo",0.944874274661509,1,"AlvarezMosquera2026",7.85714285714286,"hair","core",TRUE
"froita",0.942456479690522,1,"AlvarezMosquera2026",7.83333333333333,"fruit","core",TRUE
"instrumento",0.942456479690522,1,"AlvarezMosquera2026",7.83333333333333,"instrument","core",TRUE
"ouro",0.94100580270793,1,"AlvarezMosquera2026",7.80952380952381,"gold","core",TRUE
"camareiro",0.939071566731141,1,"AlvarezMosquera2026",7.8,"waiter","core",TRUE
"ollo",0.939071566731141,1,"AlvarezMosquera2026",7.8,"eye","core",TRUE
"ombro",0.939071566731141,1,"AlvarezMosquera2026",7.8,"shoulder","core",TRUE
"arma",0.936653771760155,1,"AlvarezMosquera2026",7.78571428571429,"weapon","core",TRUE
"cristal",0.936653771760155,1,"AlvarezMosquera2026",7.78571428571429,"crystal","core",TRUE
"continente",0.934235976789168,1,"AlvarezMosquera2026",7.75,"continent","core",TRUE
"pescozo",0.934235976789168,1,"AlvarezMosquera2026",7.75,"neck","core",TRUE
"tío",0.934235976789168,1,"AlvarezMosquera2026",7.75,"uncle","core",TRUE
"localidade",0.931818181818182,1,"AlvarezMosquera2026",7.73913043478261,"locality","core",TRUE
"órgano",0.931818181818182,1,"AlvarezMosquera2026",7.73913043478261,"organ","core",TRUE
"man",0.93036750483559,1,"AlvarezMosquera2026",7.73333333333333,"hand","core",TRUE
"autobús",0.927466150870406,1,"AlvarezMosquera2026",7.71428571428571,"bus","core",TRUE
"concello",0.927466150870406,1,"AlvarezMosquera2026",7.71428571428571,"municipality","core",TRUE
"fotógrafo",0.927466150870406,1,"AlvarezMosquera2026",7.71428571428571,"photographer","core",TRUE
"medicamento",0.927466150870406,1,"AlvarezMosquera2026",7.71428571428571,"medicine","core",TRUE
"xeonllo",0.927466150870406,1,"AlvarezMosquera2026",7.71428571428571,"knee","core",TRUE
"libro",0.924564796905222,1,"AlvarezMosquera2026",7.7,"book","core",TRUE
"natureza",0.923114119922631,1,"AlvarezMosquera2026",7.69230769230769,"nature","core",TRUE
"noivo",0.923114119922631,1,"AlvarezMosquera2026",7.69230769230769,"boyfriend","core",TRUE
"alimento",0.920696324951644,1,"AlvarezMosquera2026",7.66666666666667,"food","core",TRUE
"avión",0.920696324951644,1,"AlvarezMosquera2026",7.66666666666667,"airplane","core",TRUE
"peito",0.920696324951644,1,"AlvarezMosquera2026",7.66666666666667,"chest","core",TRUE
"cabeza",0.918762088974855,1,"AlvarezMosquera2026",7.65,"head","core",TRUE
"foto",0.916344294003869,1,"AlvarezMosquera2026",7.64285714285714,"photo","core",TRUE
"prato",0.916344294003869,1,"AlvarezMosquera2026",7.64285714285714,"plate","core",TRUE
"roupa",0.916344294003869,1,"AlvarezMosquera2026",7.64285714285714,"clothes","core",TRUE
"sala",0.916344294003869,1,"AlvarezMosquera2026",7.64285714285714,"room","core",TRUE
"auto",0.91247582205029,1,"AlvarezMosquera2026",7.63636363636364,"car","core",TRUE
"mozo",0.91247582205029,1,"AlvarezMosquera2026",7.63636363636364,"young man","core",TRUE
"nai",0.91247582205029,1,"AlvarezMosquera2026",7.63636363636364,"mother","core",TRUE
"periódico",0.91247582205029,1,"AlvarezMosquera2026",7.63636363636364,"newspaper","core",TRUE
"habitación",0.909574468085106,1,"AlvarezMosquera2026",7.61538461538461,"room","core",TRUE
"pistola",0.909574468085106,1,"AlvarezMosquera2026",7.61538461538461,"pistol","core",TRUE
"revista",0.908123791102515,1,"AlvarezMosquera2026",7.6,"magazine","core",TRUE
"coitelo",0.906189555125725,1,"AlvarezMosquera2026",7.58333333333333,"knife","core",TRUE
"metro",0.906189555125725,1,"AlvarezMosquera2026",7.58333333333333,"meter","core",TRUE
"tren",0.906189555125725,1,"AlvarezMosquera2026",7.58333333333333,"train","core",TRUE
"bágoa",0.903771760154739,1,"AlvarezMosquera2026",7.57142857142857,"tear","core",TRUE
"cliente",0.903771760154739,1,"AlvarezMosquera2026",7.57142857142857,"client","core",TRUE
"neno",0.902321083172147,1,"AlvarezMosquera2026",7.55,"child","core",TRUE
"explosión",0.901353965183752,1,"AlvarezMosquera2026",7.54545454545455,"explosion","core",TRUE
"adulto",0.897485493230174,1,"AlvarezMosquera2026",7.5,"adult","core",TRUE
"calendario",0.897485493230174,1,"AlvarezMosquera2026",7.5,"calendar","core",TRUE
"célula",0.897485493230174,1,"AlvarezMosquera2026",7.5,"cell","core",TRUE
"deporte",0.897485493230174,1,"AlvarezMosquera2026",7.5,"sport","core",TRUE
"feira",0.897485493230174,1,"AlvarezMosquera2026",7.5,"fair","core",TRUE
"horta",0.897485493230174,1,"AlvarezMosquera2026",7.5,"vegetable garden","core",TRUE
"laboratorio",0.897485493230174,1,"AlvarezMosquera2026",7.5,"laboratory","core",TRUE
"limpo",0.893617021276596,1,"AlvarezMosquera2026",7.46153846153846,"clean","core",TRUE
"euro",0.892649903288201,1,"AlvarezMosquera2026",7.45454545454545,"euro","core",TRUE
"teito",0.891682785299807,1,"AlvarezMosquera2026",7.44444444444444,"ceiling","core",TRUE
"chuvia",0.887814313346228,1,"AlvarezMosquera2026",7.42857142857143,"rain","core",TRUE
"palestino",0.887814313346228,1,"AlvarezMosquera2026",7.42857142857143,"palestinian","core",TRUE
"peixe",0.887814313346228,1,"AlvarezMosquera2026",7.42857142857143,"fish","core",TRUE
"transporte",0.887814313346228,1,"AlvarezMosquera2026",7.42857142857143,"transport","core",TRUE
"verde",0.887814313346228,1,"AlvarezMosquera2026",7.42857142857143,"green","core",TRUE
