word,mean_percentile,n_sources,sources,mean_raw_concreteness,gloss_english,tier,selected,gloss_source
Gabel,1,1,Kanske2010,1.190476,fork,core,TRUE,hack_llm_translation
Apfel,0.9985,1,Kanske2010,1.206349,apple,core,TRUE,hack_llm_translation
Besen,0.9985,1,Kanske2010,1.206349,broom,core,TRUE,hack_llm_translation
Hammer,0.997,1,Kanske2010,1.209677,hammer,core,TRUE,hack_llm_translation
Pfanne,0.9955,1,Kanske2010,1.253968,pan,core,TRUE,hack_llm_translation
Toaster,0.9955,1,Kanske2010,1.253968,toaster,core,TRUE,hack_llm_translation
Felsen,0.994,1,Kanske2010,1.258065,rock,core,TRUE,hack_llm_translation
Anker,0.9915,1,Kanske2010,1.269841,anchor,core,TRUE,hack_llm_translation
Bagger,0.9915,1,Kanske2010,1.269841,excavator,core,TRUE,hack_llm_translation
Schüssel,0.9915,1,Kanske2010,1.269841,bowl,core,TRUE,hack_llm_translation
Stuhl,0.9915,1,Kanske2010,1.269841,chair,core,TRUE,hack_llm_translation
Kondom,0.989,1,Kanske2010,1.274194,condom,core,TRUE,hack_llm_translation
Lampe,0.988,1,Kanske2010,1.285714,lamp,core,TRUE,hack_llm_translation
Ratte,0.987,1,Kanske2010,1.295082,rat,core,TRUE,hack_llm_translation
Löffel,0.9855,1,Kanske2010,1.301587,spoon,core,TRUE,hack_llm_translation
Torte,0.9855,1,Kanske2010,1.301587,cake,core,TRUE,hack_llm_translation
Penis,0.9825,1,Kanske2010,1.31746,penis,core,TRUE,hack_llm_translation
Schere,0.9825,1,Kanske2010,1.31746,scissors,core,TRUE,hack_llm_translation
Schrank,0.9825,1,Kanske2010,1.31746,cabinet,core,TRUE,hack_llm_translation
Schuh,0.9825,1,Kanske2010,1.31746,shoe,core,TRUE,hack_llm_translation
Hoden,0.98,1,Kanske2010,1.322581,testicle,core,TRUE,hack_llm_translation
Ast,0.978,1,Kanske2010,1.333333,branch,core,TRUE,hack_llm_translation
Stein,0.978,1,Kanske2010,1.333333,stone,core,TRUE,hack_llm_translation
Tür,0.978,1,Kanske2010,1.333333,door,core,TRUE,hack_llm_translation
Brief,0.976,1,Kanske2010,1.33871,letter,core,TRUE,hack_llm_translation
Ball,0.973,1,Kanske2010,1.349206,ball,core,TRUE,hack_llm_translation
Boot,0.973,1,Kanske2010,1.349206,boat,core,TRUE,hack_llm_translation
Rose,0.973,1,Kanske2010,1.349206,rose,core,TRUE,hack_llm_translation
Schinken,0.973,1,Kanske2010,1.349206,ham,core,TRUE,hack_llm_translation
Tasse,0.973,1,Kanske2010,1.349206,cup,core,TRUE,hack_llm_translation
Bein,0.97,1,Kanske2010,1.354839,leg,core,TRUE,hack_llm_translation
Brücke,0.968,1,Kanske2010,1.365079,bridge,core,TRUE,hack_llm_translation
Kirsche,0.968,1,Kanske2010,1.365079,cherry,core,TRUE,hack_llm_translation
Tisch,0.968,1,Kanske2010,1.365079,table,core,TRUE,hack_llm_translation
Bett,0.966,1,Kanske2010,1.370968,bed,core,TRUE,hack_llm_translation
Gras,0.9635,1,Kanske2010,1.380952,grass,core,TRUE,hack_llm_translation
Münze,0.9635,1,Kanske2010,1.380952,coin,core,TRUE,hack_llm_translation
Waggon,0.9635,1,Kanske2010,1.380952,wagon,core,TRUE,hack_llm_translation
Zeitung,0.9635,1,Kanske2010,1.380952,newspaper,core,TRUE,hack_llm_translation
Flasche,0.961,1,Kanske2010,1.396825,bottle,core,TRUE,hack_llm_translation
Stiefel,0.96,1,Kanske2010,1.403226,boot,core,TRUE,hack_llm_translation
Becher,0.958,1,Kanske2010,1.412698,cup,core,TRUE,hack_llm_translation
Finger,0.958,1,Kanske2010,1.412698,finger,core,TRUE,hack_llm_translation
Schaf,0.958,1,Kanske2010,1.412698,sheep,core,TRUE,hack_llm_translation
Spiegel,0.9555,1,Kanske2010,1.428571,mirror,core,TRUE,hack_llm_translation
Taste,0.9555,1,Kanske2010,1.428571,key,core,TRUE,hack_llm_translation
Erbse,0.951,1,Kanske2010,1.444444,pea,core,TRUE,hack_llm_translation
Fisch,0.951,1,Kanske2010,1.444444,fish,core,TRUE,hack_llm_translation
Hut,0.951,1,Kanske2010,1.444444,hat,core,TRUE,hack_llm_translation
Käse,0.951,1,Kanske2010,1.444444,cheese,core,TRUE,hack_llm_translation
Kran,0.951,1,Kanske2010,1.444444,crane,core,TRUE,hack_llm_translation
Kuh,0.951,1,Kanske2010,1.444444,cow,core,TRUE,hack_llm_translation
Mund,0.951,1,Kanske2010,1.444444,mouth,core,TRUE,hack_llm_translation
Kreide,0.947,1,Kanske2010,1.451613,chalk,core,TRUE,hack_llm_translation
Baum,0.9425,1,Kanske2010,1.460318,tree,core,TRUE,hack_llm_translation
Dackel,0.9425,1,Kanske2010,1.460318,dachshund,core,TRUE,hack_llm_translation
