"word","mean_percentile","n_sources","sources","mean_raw_concreteness","gloss_english","tier","selected"
"pizza",1,2,"Montefinese2014;Montefinese2023_it",7.905,"pizza","core",TRUE
"piatto",0.998463901689708,1,"Montefinese2014",8.95,"plate","core",TRUE
"asciugacapelli",0.996927803379416,1,"Montefinese2014",8.9,"hairdryer","core",TRUE
"lucertola",0.99546485260771,1,"Barca2002",6.93,"lizard","core",TRUE
"gattino",0.990015360983103,1,"Montefinese2014",8.8,"kitten","core",TRUE
"maglia",0.990015360983103,1,"Montefinese2014",8.8,"sweater","core",TRUE
"bicicletta",0.987522671330483,2,"DellaRosa2010;Montefinese2014",354.425,"bicycle","core",TRUE
"granchio",0.986394557823129,1,"Barca2002",6.91,"crab","core",TRUE
"pane",0.986394557823129,1,"Barca2002",6.91,"bread","core",TRUE
"pollice",0.986394557823129,1,"Barca2002",6.91,"thumb","core",TRUE
"camera",0.982334869431644,1,"Montefinese2014",8.75,"bedroom","core",TRUE
"cappotto",0.982334869431644,1,"Montefinese2014",8.75,"coat","core",TRUE
"evidenziatore",0.982334869431644,1,"Montefinese2014",8.75,"marker","core",TRUE
"orecchio",0.982334869431644,1,"Montefinese2014",8.75,"ear","core",TRUE
"bocca",0.980835344890644,2,"Barca2002;Montefinese2014",7.83,"mouth","core",TRUE
"ciliegie",0.980421686746988,1,"DellaRosa2010",700,"cherry","core",TRUE
"fragola",0.980421686746988,1,"DellaRosa2010",700,"strawberry","core",TRUE
"gallo",0.980421686746988,1,"DellaRosa2010",700,"cock","core",TRUE
"melanzana",0.980421686746988,1,"DellaRosa2010",700,"eggplant","core",TRUE
"peperone",0.980421686746988,1,"DellaRosa2010",700,"pepper","core",TRUE
"pomodoro",0.980421686746988,1,"DellaRosa2010",700,"tomato","core",TRUE
"rospo",0.976190476190476,1,"Barca2002",6.89,"toad","core",TRUE
"cane",0.973504617548535,3,"Barca2002;DellaRosa2010;Montefinese2014",238.516666666667,"dog","core",TRUE
"banana",0.973204040652406,2,"Barca2002;DellaRosa2010",353.42,"banana","core",TRUE
"barile",0.973118279569892,1,"Montefinese2014",8.7,"barrel","core",TRUE
"freezer",0.973118279569892,1,"Montefinese2014",8.7,"icebox","core",TRUE
"gomma",0.973118279569892,1,"Montefinese2014",8.7,"rubber","core",TRUE
"rasoio",0.973118279569892,1,"Montefinese2014",8.7,"razor","core",TRUE
"valigia",0.971655328798186,1,"Barca2002",6.86,"suitcase","core",TRUE
"caramella",0.968930582985883,2,"Barca2002;Montefinese2014",7.8,"candy","core",TRUE
"muffin",0.966205837173579,1,"Montefinese2014",8.65,"muffin","core",TRUE
"tronco",0.966205837173579,1,"Montefinese2014",8.65,"trunk","core",TRUE
"vagina",0.966205837173579,1,"Montefinese2014",8.65,"vagina","core",TRUE
"biscia",0.96031746031746,1,"Barca2002",6.82,"grass snake","core",TRUE
"capezzolo",0.956221198156682,1,"Montefinese2014",8.6,"nipple","core",TRUE
"forcina",0.956221198156682,1,"Montefinese2014",8.6,"hairpin","core",TRUE
"hotel",0.956221198156682,1,"Montefinese2014",8.6,"hotel","core",TRUE
"limone",0.953456683878371,2,"Barca2002;DellaRosa2010",350.945,"lemon","core",TRUE
"ragazza",0.952468230694037,2,"Montefinese2014;Montefinese2023_it",7.40875,"girl","core",TRUE
"cipolla",0.950301204819277,1,"DellaRosa2010",697,"onion","core",TRUE
"candela",0.947845804988662,1,"Barca2002",6.8,"candle","core",TRUE
"chitarra",0.947845804988662,1,"Barca2002",6.8,"guitar","core",TRUE
"confetto",0.947845804988662,1,"Barca2002",6.8,"sugared almond","core",TRUE
"freccia",0.947845804988662,1,"Barca2002",6.8,"arrow","core",TRUE
"furgone",0.947845804988662,1,"Barca2002",6.8,"van","core",TRUE
"ginocchio",0.947845804988662,1,"Barca2002",6.8,"knee","core",TRUE
"ambulanza",0.940092165898618,1,"Montefinese2014",8.55,"ambulance","core",TRUE
"ape",0.940092165898618,1,"Montefinese2014",8.55,"bees","core",TRUE
"calza",0.940092165898618,1,"Montefinese2014",8.55,"sock","core",TRUE
"lampadina",0.940092165898618,1,"Montefinese2014",8.55,"lightbulb","core",TRUE
"motocicletta",0.940092165898618,1,"Montefinese2014",8.55,"motorcycle","core",TRUE
"striscione",0.940092165898618,1,"Montefinese2014",8.55,"banner","core",TRUE
"matita",0.937152494110742,3,"Barca2002;DellaRosa2010;Montefinese2014",236.493333333333,"pencil","core",TRUE
"latte",0.936030347709322,3,"Barca2002;DellaRosa2010;Montefinese2014",236.756666666667,"milk","core",TRUE
"sigaro",0.935374149659864,1,"Barca2002",6.77,"cigar","core",TRUE
"albero",0.927035330261137,1,"Montefinese2014",8.5,"tree","core",TRUE
"camion",0.927035330261137,1,"Montefinese2014",8.5,"truck","core",TRUE
"mensola",0.927035330261137,1,"Montefinese2014",8.5,"mantel","core",TRUE
"sedile",0.927035330261137,1,"Montefinese2014",8.5,"seat","core",TRUE
"maionese",0.926303854875283,1,"Barca2002",6.75,"mayonnaise","core",TRUE
"secchio",0.926303854875283,1,"Barca2002",6.75,"pail","core",TRUE
"zucchero",0.924166602772732,3,"Barca2002;DellaRosa2010;Montefinese2014",238.37,"sugar","core",TRUE
"finestra",0.921677273059762,2,"Barca2002;Montefinese2014",7.6,"window","core",TRUE
"corpo",0.921667714006424,2,"Montefinese2014;Montefinese2023_it",7.275,"body","core",TRUE
"tavolo",0.920465895474224,3,"Barca2002;DellaRosa2010;Montefinese2014",237.403333333333,"table","core",TRUE
"libreria",0.919375659319305,2,"DellaRosa2010;Montefinese2014",348.3,"bookcase","core",TRUE
"fazzoletto",0.91705069124424,1,"Montefinese2014",8.45,"kerchief","core",TRUE
"penna",0.91705069124424,1,"Montefinese2014",8.45,"pen","core",TRUE
"forchetta",0.915438250698647,2,"DellaRosa2010;Montefinese2014",351.7,"fork","core",TRUE
"damigiana",0.914965986394558,1,"Barca2002",6.73,"demijohn","core",TRUE
"lucchetto",0.914965986394558,1,"Barca2002",6.73,"padlock","core",TRUE
"pepe",0.914965986394558,1,"Barca2002",6.73,"pepper","core",TRUE
"sabbia",0.914884025899516,2,"Barca2002;DellaRosa2010",344.455,"sand","core",TRUE
"noce",0.914156626506024,1,"DellaRosa2010",694,"walnut","core",TRUE
"gonna",0.914051642162241,2,"Barca2002;Montefinese2014",7.62,"skirt","core",TRUE
"barba",0.912963076796984,2,"Barca2002;DellaRosa2010",345.92,"beard","core",TRUE
"bicchiere",0.911546045200479,3,"Barca2002;DellaRosa2010;Montefinese2014",228.216666666667,"glass","core",TRUE
"vetro",0.905548240801697,2,"Barca2002;Montefinese2014",7.605,"glass","core",TRUE
"martello",0.904957387152296,2,"DellaRosa2010;Montefinese2014",354.125,"hammer","core",TRUE
"orologio",0.904782725371532,2,"DellaRosa2010;Montefinese2014",348.25,"clock","core",TRUE
"braccio",0.903338006403494,2,"DellaRosa2010;Montefinese2014",352.65,"arm","core",TRUE
"gelsomino",0.901360544217687,1,"Barca2002",6.7,"jasmine","core",TRUE
"intestino",0.901360544217687,1,"Barca2002",6.7,"intestine","core",TRUE
"tamburo",0.901360544217687,1,"Barca2002",6.7,"drum","core",TRUE
"zampa",0.901360544217687,1,"Barca2002",6.7,"paw","core",TRUE
"libro",0.901021544166705,3,"Barca2002;Montefinese2014;Montefinese2023_it",7.09833333333333,"book","core",TRUE
"cavallo",0.900159117928814,3,"Barca2002;DellaRosa2010;Montefinese2014",231.413333333333,"horse","core",TRUE
"cassettiera",0.900153609831029,1,"Montefinese2014",8.4,"chest_of_drawers","core",TRUE
"pino",0.900153609831029,1,"Montefinese2014",8.4,"pine","core",TRUE
"sposa",0.900153609831029,1,"Montefinese2014",8.4,"bride","core",TRUE
"tenda",0.900153609831029,1,"Montefinese2014",8.4,"curtains","core",TRUE
"tram",0.900153609831029,1,"Montefinese2014",8.4,"tram","core",TRUE
"violino",0.900153609831029,1,"Montefinese2014",8.4,"violin","core",TRUE
"calzino",0.899096385542169,1,"DellaRosa2010",691,"sock","core",TRUE
"pennello",0.899096385542169,1,"DellaRosa2010",691,"brush","core",TRUE
"piccione",0.899096385542169,1,"DellaRosa2010",691,"pigeon","core",TRUE
