"word","mean_percentile","n_sources","sources","mean_raw_concreteness","gloss_english","tier","selected"
"altruizm",1,1,"Imbir2016",7.72,"altruism","core",TRUE
"samoświadomość",0.999646142958245,1,"Imbir2016",7.58,"self-conscious","core",TRUE
"nadzieja",0.999115357395612,1,"Imbir2016",7.52,"hope","core",TRUE
"niesprawiedliwość",0.999115357395612,1,"Imbir2016",7.52,"injustice","core",TRUE
"miłość",0.998407643312102,1,"Imbir2016",7.5,"love / affection","core",TRUE
"wielkoduszność",0.998407643312102,1,"Imbir2016",7.5,"magnanimity","core",TRUE
"wiara",0.997876857749469,1,"Imbir2016",7.48,"faith","core",TRUE
"dobro",0.996992215145081,1,"Imbir2016",7.44,"good","core",TRUE
"honor",0.996992215145081,1,"Imbir2016",7.44,"honor","core",TRUE
"nienawiść",0.996992215145081,1,"Imbir2016",7.44,"hatred","core",TRUE
"nostalgia",0.996992215145081,1,"Imbir2016",7.44,"nostalgia","core",TRUE
"fanatyzm",0.995930644019816,1,"Imbir2016",7.42,"fanaticism","core",TRUE
"sumienie",0.995930644019816,1,"Imbir2016",7.42,"conscience","core",TRUE
"błogosławieństwo",0.995046001415428,1,"Imbir2016",7.4,"blessing","core",TRUE
"błogostan",0.995046001415428,1,"Imbir2016",7.4,"bliss","core",TRUE
"melancholia",0.995046001415428,1,"Imbir2016",7.4,"melancholia","core",TRUE
"dusza",0.993807501769285,1,"Imbir2016",7.38,"soul","core",TRUE
"optymizm",0.993807501769285,1,"Imbir2016",7.38,"optimism","core",TRUE
"szczęście",0.993807501769285,1,"Imbir2016",7.38,"happiness","core",TRUE
"uczucie",0.993807501769285,1,"Imbir2016",7.38,"feeling","core",TRUE
"mistycyzm",0.992922859164897,1,"Imbir2016",7.36,"mysticism","core",TRUE
"zaufanie",0.992569002123142,1,"Imbir2016",7.34,"trust","core",TRUE
"los",0.992215145081387,1,"Imbir2016",7.3265306122449,"lot","core",TRUE
"dobroduszność",0.991684359518754,1,"Imbir2016",7.32,"bonhomie","core",TRUE
"tolerancja",0.991684359518754,1,"Imbir2016",7.32,"tolerance","core",TRUE
"błogość",0.990445859872611,1,"Imbir2016",7.3,"bliss","core",TRUE
"idea",0.990445859872611,1,"Imbir2016",7.3,"idea","core",TRUE
"niehonorowość",0.990445859872611,1,"Imbir2016",7.3,"niehonorowość","core",TRUE
"odpowiedzialność",0.990445859872611,1,"Imbir2016",7.3,"responsibility","core",TRUE
"wspaniałomyślność",0.990445859872611,1,"Imbir2016",7.3,"generosity","core",TRUE
"bezinteresowność",0.989384288747346,1,"Imbir2016",7.26,"selflessness","core",TRUE
"zakochanie",0.989030431705591,1,"Imbir2016",7.24,"infatuation","core",TRUE
"absurd",0.988499646142958,1,"Imbir2016",7.22,"absurd","core",TRUE
"bóg",0.988499646142958,1,"Imbir2016",7.22,"god","core",TRUE
"jaźń",0.987968860580326,1,"Imbir2016",7.20408163265306,"self","core",TRUE
"nietolerancja",0.987438075017693,1,"Imbir2016",7.2,"intolerance","core",TRUE
"przyszłość",0.987438075017693,1,"Imbir2016",7.2,"future","core",TRUE
"sprawiedliwość",0.986730360934183,1,"Imbir2016",7.18,"justice","core",TRUE
"szlachetność",0.986730360934183,1,"Imbir2016",7.18,"nobility","core",TRUE
"cierpliwość",0.98549186128804,1,"Imbir2016",7.16,"patience","core",TRUE
"etyczność",0.98549186128804,1,"Imbir2016",7.16,"ethicality","core",TRUE
"myśl",0.98549186128804,1,"Imbir2016",7.16,"thought","core",TRUE
"natchnienie",0.98549186128804,1,"Imbir2016",7.16,"muse","core",TRUE
"wolność",0.98549186128804,1,"Imbir2016",7.16,"freedom / liberty","core",TRUE
"egoizm",0.984253361641897,1,"Imbir2016",7.14,"selfishness","core",TRUE
"przyjacielskość",0.984253361641897,1,"Imbir2016",7.14,"friendliness","core",TRUE
"romantyzm",0.983368719037509,1,"Imbir2016",7.12,"romanticism","core",TRUE
"samorealizacja",0.983368719037509,1,"Imbir2016",7.12,"self-realization","core",TRUE
"szacunek",0.983368719037509,1,"Imbir2016",7.12,"respect","core",TRUE
"magia",0.982130219391366,1,"Imbir2016",7.1,"magic","core",TRUE
"nieetyczność",0.982130219391366,1,"Imbir2016",7.1,"unethical","core",TRUE
"nieprzyjazność",0.982130219391366,1,"Imbir2016",7.1,"nieprzyjazność","core",TRUE
"współczucie",0.982130219391366,1,"Imbir2016",7.1,"compassion","core",TRUE
"nieufność",0.981245576786978,1,"Imbir2016",7.08163265306122,"distrust","core",TRUE
"emocja",0.980007077140835,1,"Imbir2016",7.08,"emotion","core",TRUE
"fantazja",0.980007077140835,1,"Imbir2016",7.08,"fantasy","core",TRUE
"lojalność",0.980007077140835,1,"Imbir2016",7.08,"loyalty","core",TRUE
"piękno",0.980007077140835,1,"Imbir2016",7.08,"beauty","core",TRUE
"prawość",0.980007077140835,1,"Imbir2016",7.08,"righteousness","core",TRUE
"zbawienie",0.980007077140835,1,"Imbir2016",7.08,"salvation","core",TRUE
"perfekcja",0.978768577494692,1,"Imbir2016",7.06122448979592,"perfection","core",TRUE
"głupota",0.978414720452937,1,"Imbir2016",7.06,"stupidity","core",TRUE
