"word","mean_percentile","n_sources","sources","mean_raw_concreteness","gloss_english","tier","selected"
"joelho",1,1,"Soares2017_MinhoWordPool",6.91,"knee","core",TRUE
"telefone",0.999649245878639,1,"Soares2017_MinhoWordPool",6.9,"phone","core",TRUE
"andorinha",0.999123114696598,1,"Soares2017_MinhoWordPool",6.89,"swallow","core",TRUE
"pandeireta",0.999123114696598,1,"Soares2017_MinhoWordPool",6.89,"tambourine","core",TRUE
"pijama",0.998596983514556,1,"Soares2017_MinhoWordPool",6.86,"pajama","core",TRUE
"caracol",0.998070852332515,1,"Soares2017_MinhoWordPool",6.85,"snail","core",TRUE
"melancia",0.998070852332515,1,"Soares2017_MinhoWordPool",6.85,"watermelon","core",TRUE
"lápis",0.997193967029113,1,"Soares2017_MinhoWordPool",6.84,"pencil","core",TRUE
"morcego",0.997193967029113,1,"Soares2017_MinhoWordPool",6.84,"bat (animal)","core",TRUE
"pénis",0.996492458786391,1,"Soares2017_MinhoWordPool",6.83,"penis","core",TRUE
"ovo",0.995966327604349,1,"Soares2017_MinhoWordPool",6.82,"egg","core",TRUE
"pimento",0.995440196422308,1,"Soares2017_MinhoWordPool",6.81,"green pepper","core",TRUE
"batata",0.994563311118906,1,"Soares2017_MinhoWordPool",6.8,"potato","core",TRUE
"pinheiro",0.994563311118906,1,"Soares2017_MinhoWordPool",6.8,"pine","core",TRUE
"cenoura",0.993452589734596,3,"Marques2005;Marques2007;Soares2017_MinhoWordPool",6.81333333333333,"carrot","core",TRUE
"hipopótamo",0.992984917572782,1,"Soares2017_MinhoWordPool",6.79,"hippopotamus","core",TRUE
"mamilo",0.992984917572782,1,"Soares2017_MinhoWordPool",6.79,"nipple","core",TRUE
"amêndoa",0.990880392844616,1,"Soares2017_MinhoWordPool",6.78,"nut","core",TRUE
"camisola",0.990880392844616,1,"Soares2017_MinhoWordPool",6.78,"sweater","core",TRUE
"garfo",0.990880392844616,1,"Soares2017_MinhoWordPool",6.78,"fork","core",TRUE
"automóvel",0.988951245177131,1,"Soares2017_MinhoWordPool",6.77,"automobile","core",TRUE
"cachimbo",0.988951245177131,1,"Soares2017_MinhoWordPool",6.77,"pipe","core",TRUE
"chocolate",0.988951245177131,1,"Soares2017_MinhoWordPool",6.77,"chocolate","core",TRUE
"boi",0.987548228691687,1,"Soares2017_MinhoWordPool",6.76,"ox","core",TRUE
"cachecol",0.987548228691687,1,"Soares2017_MinhoWordPool",6.76,"scarf","core",TRUE
"guitarra",0.987548228691687,1,"Soares2017_MinhoWordPool",6.76,"guitar","core",TRUE
"roupa",0.987548228691687,1,"Soares2017_MinhoWordPool",6.76,"clothing","core",TRUE
"cogumelo",0.985969835145563,1,"Soares2017_MinhoWordPool",6.75,"mushroom","core",TRUE
"lanterna",0.985969835145563,1,"Soares2017_MinhoWordPool",6.75,"lantern","core",TRUE
"livro",0.985969835145563,1,"Soares2017_MinhoWordPool",6.75,"book","core",TRUE
"tangerina",0.985969835145563,1,"Soares2017_MinhoWordPool",6.75,"tangerine","core",TRUE
"limão",0.98491757278148,1,"Soares2017_MinhoWordPool",6.74,"lemon","core",TRUE
"carteira",0.983163802174676,1,"Soares2017_MinhoWordPool",6.73,"wallet","core",TRUE
"casaco",0.983163802174676,1,"Soares2017_MinhoWordPool",6.73,"coat","core",TRUE
"frigorífico",0.983163802174676,1,"Soares2017_MinhoWordPool",6.73,"refrigerator","core",TRUE
"hortelã",0.983163802174676,1,"Soares2017_MinhoWordPool",6.73,"mint","core",TRUE
