"word","mean_percentile","n_sources","sources","mean_raw_concreteness","gloss_english","tier","selected"
"ceket",1,1,"Goz2017",7,"jacket","core",TRUE
"kamyon",0.997275204359673,1,"Goz2017",6.96,"truck","core",TRUE
"fincan",0.994550408719346,1,"Goz2017",6.94,"cup","core",TRUE
"limon",0.989100817438692,1,"Goz2017",6.93,"lemon","core",TRUE
"pencere",0.989100817438692,1,"Goz2017",6.93,"window","core",TRUE
"üzüm",0.989100817438692,1,"Goz2017",6.93,"grapes","core",TRUE
"gemi",0.982288828337875,1,"Goz2017",6.92,"ship","core",TRUE
"zeytin",0.982288828337875,1,"Goz2017",6.92,"olives","core",TRUE
"çikolata",0.976839237057221,1,"Goz2017",6.91,"chocolate","core",TRUE
"uçak",0.976839237057221,1,"Goz2017",6.91,"airplane","core",TRUE
"masa",0.970027247956403,1,"Goz2017",6.9,"table","core",TRUE
"tırnak",0.970027247956403,1,"Goz2017",6.9,"nail","core",TRUE
"tren",0.970027247956403,1,"Goz2017",6.9,"train","core",TRUE
"boru",0.957765667574932,1,"Goz2017",6.89,"pipe","core",TRUE
"gömlek",0.957765667574932,1,"Goz2017",6.89,"shirt","core",TRUE
"mektup",0.957765667574932,1,"Goz2017",6.89,"letter","core",TRUE
"papatya",0.957765667574932,1,"Goz2017",6.89,"daisy","core",TRUE
"parmak",0.957765667574932,1,"Goz2017",6.89,"finger","core",TRUE
"televizyon",0.957765667574932,1,"Goz2017",6.89,"television","core",TRUE
"ayakkabı",0.94550408719346,1,"Goz2017",6.88,"shoe","core",TRUE
"pide",0.94550408719346,1,"Goz2017",6.88,"pita","core",TRUE
"tavuk",0.94550408719346,1,"Goz2017",6.88,"chicken","core",TRUE
"balkon",0.935967302452316,1,"Goz2017",6.87,"balcony","core",TRUE
"bıçak",0.935967302452316,1,"Goz2017",6.87,"knife","core",TRUE
"gözlük",0.935967302452316,1,"Goz2017",6.87,"eyeglasses","core",TRUE
"kablo",0.935967302452316,1,"Goz2017",6.87,"cable","core",TRUE
"bisiklet",0.923705722070845,1,"Goz2017",6.86,"bicycle","core",TRUE
"dere",0.923705722070845,1,"Goz2017",6.86,"brook","core",TRUE
"kapı",0.923705722070845,1,"Goz2017",6.86,"door","core",TRUE
