"gloss_english","n_languages_with_gloss_data","n_languages_covered","languages_covered","in_english_4000","n_languages_covered_plus_english","includes_hack_translation","avg_percentile_across_covering_langs","words"
"train",12,10,"Chinese_Simplified;Dutch;French;Galician;German;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,11,TRUE,0.861402067751165,"Chinese_Simplified:列车;Dutch:trein;French:train;Galician:tren;German:Zug;Italian:treno;Portuguese:combóio;Russian:поезд;Spanish:tren;Turkish:tren"
"table",12,9,"Chinese_Traditional;French;German;Italian;Polish;Portuguese;Russian;Spanish;Turkish",TRUE,10,TRUE,0.868981862689883,"Chinese_Traditional:桌;French:table;German:Tisch;Italian:tavolo;Polish:tabela;Portuguese:mesa;Russian:стол;Spanish:mesa;Turkish:masa"
"heart",12,9,"Chinese_Traditional;French;Galician;German;Italian;Polish;Portuguese;Russian;Spanish",TRUE,10,TRUE,0.683950414512284,"Chinese_Traditional:心;French:coeur;Galician:corazón;German:Herz;Italian:cuore;Polish:serce;Portuguese:coração;Russian:сердце;Spanish:corazón"
"chicken",12,8,"Chinese_Traditional;Dutch;French;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,9,TRUE,0.956801246381719,"Chinese_Traditional:雞;Dutch:kip;French:poulet;Italian:gallina;Portuguese:Galinha;Russian:курица;Spanish:pollo;Turkish:tavuk"
"chair",12,8,"Chinese_Traditional;French;Galician;German;Italian;Portuguese;Russian;Spanish",TRUE,9,TRUE,0.950658512373724,"Chinese_Traditional:椅;French:chaise;Galician:cadeira;German:Stuhl;Italian:sedia;Portuguese:cadeira;Russian:стул;Spanish:silla"
"bottle",12,8,"Chinese_Traditional;Dutch;French;German;Italian;Portuguese;Russian;Spanish",TRUE,9,TRUE,0.926798973509699,"Chinese_Traditional:樽;Dutch:fles;French:bouteille;German:Flasche;Italian:bottiglia;Portuguese:garrafa;Russian:бутылка;Spanish:botella"
"bus",12,8,"Dutch;French;Galician;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,9,TRUE,0.925325630766227,"Dutch:autobus;French:bus;Galician:autobús;Italian:autobus;Portuguese:camioneta;Russian:автобус;Spanish:autobús;Turkish:otobüs"
"window",12,8,"Chinese_Traditional;French;German;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,9,TRUE,0.917803992595676,"Chinese_Traditional:窗;French:fenêtre;German:Fenster;Italian:finestra;Portuguese:janela;Russian:окно;Spanish:ventanilla;Turkish:pencere"
"shirt",12,8,"Chinese_Traditional;French;German;Italian;Portuguese;Russian;Spanish;Turkish",TRUE,9,TRUE,0.906260207552476,"Chinese_Traditional:衫;French:chemise;German:Hemd;Italian:camicia;Portuguese:camisa;Russian:рубашка;Spanish:camisa;Turkish:gömlek"
"leg",12,8,"Chinese_Traditional;Dutch;French;Galician;German;Italian;Portuguese;Spanish",TRUE,9,TRUE,0.895706423683452,"Chinese_Traditional:腿;Dutch:been;French:jambe;Galician:perna;German:Bein;Italian:gamba;Portuguese:perna;Spanish:pata"
