word_galician,translate_word_english,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,aoa_mean,aoa_sd,aoa_n
abandonado,abandoned,4.642857142857143,2.6488645711858347,14,7.230769230769231,1.6908501882113494,13,4.357142857142857,2.6488645711858347,14,5.636363636363637,2.8380531098880897,11,7.428571428571429,1.5548576840284833,14
abandono,abandonment,1.5454545454545454,1.0357254813546264,11,6.5,2.3159525823376357,12,3.7857142857142856,1.8050600428356278,14,5.384615384615385,2.7850332594800835,13,7.2105263157894735,2.719864117692913,19
aberto,open,6.583333333333333,1.7298624923456312,12,5.588235294117647,2.42535625036333,17,4.476190476190476,2.542027687084616,21,6.5,2.9807071953842406,14,4.7272727272727275,2.3539595453459987,22
abril,april,5.666666666666667,2.0575065816014617,21,4.333333333333333,2.0597146021777486,12,6.214285714285714,2.6070487714469976,14,5.857142857142857,2.7134180220963673,14,4,1.224744871391589,14
absoluto,absolute,5.583333333333333,2.466441431158124,12,6.214285714285714,1.9681530361296542,14,4.071428571428571,2.758602927187983,14,4.785714285714286,3.2148351178816053,14,9.10344827586207,2.623313438957454,30
absurdo,absurd,3.25,2.454124543035107,12,6.642857142857143,2.677747125911942,14,3.1538461538461537,2.192645048267573,13,4.461538461538462,2.7873339895374523,13,8.933333333333334,2.737743248596935,15
acceso,access,5.642857142857143,2.1699749327564155,14,5.166666666666667,3.1574826950748234,12,4.533333333333333,2.3258383025317584,15,4,2.2188007849009166,14,8.090909090909092,2.4670995291191806,23
accidente,accident,3.2857142857142856,2.5548918817579205,14,6.809523809523809,2.482318424760361,21,6.083333333333333,2.3143164446679734,12,7.142857142857143,1.5118578920369077,14,7.076923076923077,2.7526211284742903,14
aceite,oil,5.6923076923076925,2.897832965758361,13,5.142857142857143,1.4064216928154865,14,7.166666666666667,2.0816659994661317,12,8.142857142857142,1.8752289237539808,14,5,2.2870874995874626,14
aceno,gesture,4.357142857142857,1.21573927222163,14,5.083333333333333,1.3113721705515073,12,4.384615384615385,1.445594545418455,13,3.8260869565217392,2.724504523979685,23,12.416666666666666,4.461111425588377,14
achega,contribution,6.444444444444445,2.4037008503093262,9,5.5,1.9115036368906426,14,3.5714285714285716,2.680823229310949,14,4,2.1838568563966754,14,8.944444444444445,3.917865899008588,19
ácido,acid,2.5384615384615383,1.5063966175050874,13,6.538461538461538,2.2954805094425814,13,5.466666666666667,3.0441200151549,15,6.166666666666667,2.3290003057626305,12,8.285714285714286,2.5848246906354566,14
acontecemento,event,7.357142857142857,1.392681025777416,14,5.833333333333333,1.8504708655481248,12,3.1538461538461537,2.1543039806456377,13,4.826086956521739,2.8548550976290374,23,8.928571428571429,3.8323378226368794,14
actitude,attitude,6.071428571428571,1.859043828435456,14,6.416666666666667,2.745519766433815,12,3.066666666666667,2.3441924185608345,15,3.142857142857143,2.0701966780270626,14,7.636363636363637,3.094472099689634,23
actividade,activity,6.428571428571429,1.4525460784051263,14,6.214285714285714,2.423556554658128,14,5.090909090909091,2.6628760937957843,11,6.9,1.8035053587243277,20,5.2,1.4242792663559443,15
actuación,performance,7.095238095238095,1.6094956323259137,21,6.857142857142857,1.8752289237539808,14,5.230769230769231,2.0878156908535677,13,6,2.04494943258218,12,6.764705882352941,2.5867308461817653,17
actual,current,5.266666666666667,2.250925735484551,15,6.214285714285714,2.0821058655036824,14,4.642857142857143,2.9510661139308976,14,4.7272727272727275,2.0045403009622476,11,8.4,2.9271865421649466,20
actualidade,current affairs,5.642857142857143,1.4468609447374665,14,6.217391304347826,1.5942088872806428,23,3.7857142857142856,2.7506243047595698,14,7,2.6285149626910838,12,9.533333333333333,3.4819261226811697,15
adaptación,adaptation,7.076923076923077,1.4411533842457835,13,5.083333333333333,1.7816403745544234,12,3.909090909090909,2.586679162731453,11,5.166666666666667,2.367712103711219,12,8.5,3.4807161066919283,14
adestrador,coach,6.2727272727272725,1.9021518914592017,11,5.285714285714286,2.367360472001592,14,7.071428571428571,1.5915297775935686,14,7.3076923076923075,2.056883378018605,13,6.6521739130434785,2.9481688562127992,23
administración,administration,4.357142857142857,1.7368026705655186,14,5.913043478260869,1.755848499321388,23,6.071428571428571,1.6391501416322996,14,4.416666666666667,2.678477631835372,12,11.2,3.488757453797638,15
administrativo,administrative,4.666666666666667,1.3228756555322954,9,5.071428571428571,2.05554730553075,14,5.214285714285714,2.6363894724697734,14,7.142857142857143,2.3812454032143906,14,10.210526315789474,3.224540404261272,19
adulto,adult,4.7272727272727275,1.9021518914592017,11,6.5,1.6525039276108335,14,7.5,2.0286410760370144,14,7.3076923076923075,2.8397363546819907,13,5,2.7797972457128464,23
aéreo,aerial,5.642857142857143,1.4468609447374665,14,4.6923076923076925,2.982857002512172,13,5.142857142857143,1.9944979263017495,14,5.818181818181818,2.6388702816994174,11,8.428571428571429,3.056249227510633,14
