word_croatian_equivalent,word_croatian,valence_mean,valence_sd,valence_unknown,valence_n,arousal_mean,arousal_sd,arousal_unknown,arousal_n,familiar_mean,familiar_sd,familiar_unknown,familiar_n,concrete_mean,concrete_sd,concrete_unknown,concrete_n
akademija,akademija,6.4,2.01,NA,20,5,2.15,NA,20,6.9,0.45,NA,20,5.35,1.35,NA,20
akcijski,akcijski,6.6,1.47,NA,20,6.75,2,NA,20,7,0,NA,20,5.3,1.69,NA,20
aktivan,aktivan,6.75,1.33,NA,20,5.6,2.35,NA,20,7,0,NA,20,5.35,1.73,NA,20
akustičan,akustičan,6.45,1.79,NA,20,4.65,1.87,NA,20,7,0,1,19,5,1.3,NA,20
alat,alat,5.3,1.08,NA,20,4.2,1.88,NA,20,6.9,0.31,NA,20,4.85,2.11,NA,20
anoniman,anoniman,5.6,1.82,NA,20,3.9,1.41,NA,20,7,0,NA,20,5.2,1.85,NA,20
apartman,apartman,6.35,1.98,NA,20,4.35,2.41,NA,20,6.95,0.22,NA,20,6,1.59,NA,20
aplikacija,aplikacija,5.95,2.04,NA,20,4.25,2.2,NA,20,6.8,0.89,NA,20,5.6,1.6,NA,20
automatski,automatski,5.9,1.41,NA,20,4.5,2.37,NA,20,6.8,0.7,NA,20,5,1.75,NA,20
bazen,bazen,7.35,1.87,NA,20,3.95,2.09,NA,20,7,0,NA,20,6.3,1.03,NA,20
bezbrižno,bezbrižno,7.55,1.61,NA,20,3.05,2.19,NA,20,7,0,NA,20,5.4,2.11,NA,20
bezručni,bezručni,4.55,1.54,NA,20,4.58,1.98,1,19,6.3,1.72,NA,20,4.42,2.12,1,19
bijes,bijes,3.45,1.54,NA,20,7.1,1.89,NA,20,7,0,NA,20,5.45,1.85,NA,20
bilježnica,bilježnica,5.35,2.13,NA,20,3.75,2.15,NA,20,7,0,NA,20,6.4,0.82,NA,20
biljka,biljka,6.85,2.13,NA,20,3.24,2.45,NA,21,6.95,0.22,NA,20,5.62,2.06,NA,21
biologija,biologija,5.65,2.23,NA,20,3.9,1.86,NA,20,7,0,NA,20,5.75,1.45,NA,20
bitka,bitka,4.2,2.57,NA,20,6.57,1.94,NA,21,6.9,0.45,NA,20,5.14,1.77,NA,21
bojište,bojište,3.2,1.96,NA,20,5.6,2.26,NA,20,6.85,0.37,NA,20,5.84,1.17,1,19
boksanje,boksanje,5.35,2.56,NA,20,6.19,2.71,NA,21,6.95,0.22,NA,20,5.95,1.53,NA,21
bolestan,bolestan,3.55,2.44,NA,20,5.5,2.14,NA,20,7,0,NA,20,5.9,1.48,NA,20
borac,borac,5.8,2.33,NA,20,6.14,2.1,NA,21,7,0,NA,21,5.52,1.83,NA,21
brodski,brodski,6.3,1.72,NA,20,4.29,2.05,NA,21,6.85,0.49,NA,20,5.43,1.16,NA,21
buka,buka,4.35,1.9,NA,20,6.15,2.13,NA,20,6.95,0.22,NA,20,5.35,1.73,NA,20
čarobnjak,čarobnjak,6.7,2.2,NA,20,5.35,2.37,NA,20,7,0,NA,20,5.15,1.93,NA,20
