word_french,translate_word_english,concrete_mean,concrete_sd,context_mean,context_sd,valence_mean,valence_sd,arousal_mean,arousal_sd
abeille,bee,4.9,0.31,4,1.23,3.83,1.05,3.14,1.27
accordéon,accordion,4.84,0.37,3.33,1.45,3.23,1.04,2.58,1.03
acte,act,2.84,1.28,3.03,1.54,3.47,0.9,2.85,0.7
âge,age,2.48,1.26,3.13,1.43,3.17,0.7,2.61,0.93
aide,help,2.16,1.21,3.4,1.54,4.03,0.81,2.09,0.77
aigle,eagle,4.83,0.38,3.6,1.38,3.94,0.95,2.86,0.99
aigre,sour,2.53,1.17,2,1.17,2.09,0.78,3.38,1.08
aiguille,needle,4.67,0.66,3.33,1.52,2.86,0.88,3.17,0.97
ail,garlic,4.77,0.43,3.37,1.3,3.34,1,2.76,1.15
aile,wing,4.24,1.2,3.63,1.16,3.5,0.86,2.15,0.97
air,air,1.93,1.05,3.17,1.32,4.03,0.93,1.83,0.97
aise,ease,1.97,1,1.7,0.99,3.56,0.62,1.72,0.84
algue,seaweed,4.56,0.71,3.47,1.31,3.27,0.83,1.97,0.94
ambre,amber,3.17,1.34,2.57,1.52,3.53,0.68,1.86,1.06
âme,soul,1.47,0.86,3.33,1.45,4,0.91,1.97,1.12
ample,ample,2.32,1.14,2.3,1.42,3.23,0.68,2.41,0.83
ampoule,light bulb,4.56,0.82,3.83,1.21,3.37,0.85,2.53,0.71
an,year,2.16,1.49,2.97,1.54,3.2,0.55,2.71,0.78
ananas,pineapple,4.87,0.57,3.8,1.16,4.09,1,2.07,1
ancre,anchor,4.2,1.03,3.5,1.38,3.75,0.67,2.31,0.97
âne,donkey,4.96,0.2,3.77,1.43,2.97,0.96,2.38,1.17
ange,angel,2.47,1.41,3.8,1.1,4.28,0.8,1.48,0.69
angle,angle,3.11,1.2,2.67,1.6,3.03,0.65,2.38,1.08
août,August,3.2,1.3,4.07,1.14,4.59,0.56,2.07,1.03
apte,able,2.28,1.24,2.4,1.35,4.07,0.64,2.56,0.93
araignée,spider,4.84,0.8,4.1,1.37,2.17,0.83,3.52,1.15
arbre,tree,4.76,0.44,4.03,1.22,4.34,0.75,1.52,0.69
arc,bow,4.41,0.68,3.17,1.46,3.1,0.67,3.14,1.33
arche,arch,4.1,0.96,2.8,1.56,3.5,0.86,2.14,0.95
arme,weapon,4.48,1.05,3.6,1.38,1.7,0.95,4,0.94
arrosoir,watering can,4.8,0.41,3.93,1.01,3.6,0.72,1.97,0.91
art,art,1.7,0.88,3.93,1.26,4.23,0.68,1.83,1.07
artichaut,artichoke,4.87,0.35,3.27,1.28,3.63,0.94,2.07,0.88
as,ace,3.37,1.22,3.07,1.57,4.47,0.72,2.55,1.09
asperge,asparagus,4.96,0.2,3.27,1.7,3.4,1,2.36,0.9
asthme,asthma,3.12,1.17,3.13,1.59,1.5,0.51,3.61,0.93
astre,star,3,1.34,3,1.46,4.07,0.7,1.93,0.92
au,to the (sing),1.44,0.71,1.7,1.47,2.97,0.32,2.42,0.87
aube,dawn,2.73,1.31,3.03,1.27,3.83,0.85,1.66,0.77
autre,other,1.92,1.08,1.9,1.35,3,0.45,2.79,0.7
autruche,ostrich,4.83,0.59,3.37,1.54,3.17,0.83,2.69,0.97
aux,to the,1.53,0.82,1.2,0.66,3.1,0.62,2.52,0.83
avion,airplane,4.87,0.35,4.33,0.76,4.13,0.75,3.03,1.24
axe,axle,2.7,1.24,2.53,1.33,3.34,0.79,2.38,1.01
bac,tray,3.73,1.14,3.83,1.18,3.68,0.82,3,1.16
bâche,tarpaulin,4.53,0.82,3.13,1.41,2.83,0.79,2.45,1.12
badge,badge,4.57,0.77,3.43,1.43,2.88,0.83,2.31,0.97
bague,ring,4.7,0.6,4.13,1.2,4.2,0.66,2.66,1.14
baie,bay,3.8,1.27,2.7,1.29,4.03,0.73,2.17,1.07
baigne,bathed,3.17,1.49,2.5,1.36,3.79,0.94,2.38,1.35
bail,lease,3.17,1.02,2.43,1.55,2.91,0.69,2.59,0.95
bain,bath,4.3,0.95,4.37,0.81,4.1,0.61,1.55,1.18
baisse,drop,2,0.91,2.7,1.37,2.47,0.78,2.59,0.96
bal,dance,3.8,1.27,3.93,1.26,4.21,0.68,2.52,1.3
balai,broom,4.92,0.28,4,1.36,2.37,0.81,2.79,0.86
balançoire,swing,4.77,0.5,3.87,1.17,3.93,0.7,1.93,0.88
balle,ball,4.68,0.85,3.8,1.4,3.53,0.63,3.12,1
ballon,balloon,4.73,0.52,3.67,1.35,3.83,0.76,2.48,1.21
ballon de rugby,rugby ball,4.9,0.31,3.53,1.59,3.2,1,2.9,1.23
banane,banana,4.97,0.18,4.23,0.9,3.63,1.07,2.1,1.01
banc,bench,4.84,0.47,3.77,1.3,3.4,0.56,2.15,0.87
bande,band,3.4,1.16,3.4,1.4,3.23,0.94,2.48,1.3
banque,bank,4.17,1.09,3.47,1.36,3.17,1.04,3.38,1.05
bar,bar,4.27,1.08,4.3,0.79,3.17,1.04,2.55,1.24
barbe,beard,4.5,0.86,3.67,1.06,2.86,0.99,2.59,0.95
barque,small boat,4.72,0.84,3.67,1.32,3.67,0.76,2,0.75
barre,rod,3.9,1.18,3.2,1.52,2.77,0.73,2.48,1.09
barrière,fence,4.43,1.1,2.83,1.46,2.34,0.61,3,1.1
bas,bottom,2.63,1.35,2.77,1.3,2.34,0.75,2.03,0.91
base,base,2.3,1.21,2,1.26,3.28,0.65,2.55,0.83
basque,basque,2.9,1.3,2.3,1.6,3.33,0.76,2.55,1.12
basse,bass,2.37,1.3,2.47,1.31,2.57,0.77,2.17,0.89
batte de base-ball,baseball bat,4.8,0.65,3.57,1.45,2.3,1.15,3.35,1.08
battre,hit,2.9,1.03,3.2,1.35,1.88,0.87,4.1,0.9
baume,balm,3.9,1.09,3.2,1.52,3.75,0.84,1.69,0.71
beau,beautiful,1.8,1.03,3.7,1.32,4.63,0.66,2.1,0.98
bec,beak,4.2,0.89,3.2,1.3,3.06,0.72,2.76,1.12
bêche,spade,4.24,1.09,2.7,1.64,3,0.95,2.55,1.06
beige,beige,2.7,1.39,2.03,1.38,3.07,0.88,2.14,0.92
bel,handsome,1.93,1.01,2.2,1.54,3.5,0.78,1.83,0.89
berge,riverbank,3.6,1.13,2.7,1.42,3.59,0.67,1.76,0.87
bête,beast,2.87,1.57,3.1,1.47,2.21,0.9,3.17,1.07
beurre,butter,4.83,0.38,3.9,1.27,3.57,0.86,1.83,0.93
biais,crooked,2.03,0.93,1.93,1.2,2.78,0.66,2.48,0.91
bible,bible,3.97,1.19,3.57,1.52,3.47,1.31,3,1.44
biche,hind,4.73,0.78,3.7,1.34,4.16,0.72,2.03,0.94
bien,well,1.53,0.68,2.3,1.24,4.14,0.95,1.69,0.71
bière,beer,4.8,0.5,4,1.46,3.47,1.04,2.44,1.06
bile,bile,3.56,1.53,2.7,1.44,1.97,1,3.18,1.02
bille,marble,4.77,0.68,3.67,1.18,3.23,0.63,2.17,1.17
bip,beep,2.73,1.39,3.03,1.65,2.75,0.76,2.93,1.19
bis,second,1.8,1.24,1.87,1.28,3.17,0.85,2.66,0.9
bise,kiss,3.5,1.25,3.33,1.37,3.72,1.19,2.31,1.11
blague,joke,2.43,1.1,3.7,1.34,4.13,0.63,2.52,1.27
blâme,blame,2.6,1.26,2.6,1.43,1.5,0.86,3.74,1.2
blanc,white,3.43,1.41,3.43,1.68,3.97,0.78,1.69,0.71
blanche,white,3.03,1.47,3.33,1.58,3.72,0.84,1.72,0.88
blé,wheat,4.47,0.9,3.27,1.31,3.93,0.59,2.41,0.98
blême,pale,2.3,1.09,1.8,1.13,1.75,0.67,2.79,0.82
bleu,blue,2.9,1.47,3.07,1.57,4.03,0.82,1.83,0.89
bloc,block,3.5,1.07,2.13,1.31,2.66,0.72,2.79,0.9
blond,blond,3.07,1.2,3.23,1.38,3.41,0.87,2.34,1.01
blues,blues,1.9,0.99,3.3,1.49,2.13,1.11,2.31,1.31
bobine de fil,reel of thread,4.83,0.38,3.83,1.42,3.33,0.8,2,0.93
boeuf,bullock,4.8,0.48,3.8,1.1,3.63,0.91,2.45,1.06
