word_dutch,concrete_list,concrete_mean,concrete_sd,concrete_ratings_n,concrete_unknown_response_n,concrete_sample_n,aoa_list,aoa_sample_n,aoa_known_probability,aoa_mean,aoa_sd
aai,4,4.07,1.21,14,1,15,1,18,1,5.277777778,2.492472327
aaien,5,4.13,0.99,15,0,15,NA,NA,NA,NA,NA
aak,1,4.67,0.52,6,9,15,2,20,0.1,10.5,4.949747468
aal,5,4.69,0.63,13,2,15,NA,NA,NA,NA,NA
aalbes,2,4.73,0.59,15,0,15,3,18,1,9.777777778,2.734433064
aalglad,2,2.64,1.28,14,1,15,4,18,0.833333333,12.2,2.956832282
aalmoes,4,3.38,1.12,13,2,15,NA,NA,NA,NA,NA
aalmoezenier,2,2.87,1.3,15,0,15,1,18,0.833333333,11.8,3.051931473
aalscholver,3,4.27,1.01,11,4,15,2,20,0.55,12.09090909,3.176619129
aalt,1,5,0,4,11,15,3,18,0.166666667,16.33333333,5.859465277
aambeeld,2,3.79,1.31,14,1,15,4,18,1,11.44444444,3.091206165
aambei,2,4.13,1.06,15,0,15,1,18,0.944444444,13.52941176,2.831025588
aambeien,4,4.43,0.51,14,1,15,2,20,0.95,12.26315789,3.246230382
aamborstig,3,1.5,0.84,6,9,15,3,18,0.166666667,13.33333333,2.081665999
aan,3,1.93,1.03,15,0,15,4,18,1,5.5,3.185444839
aanbaksel,2,3.93,1.03,15,0,15,1,18,1,10.77777778,2.734433064
aanbedene,3,1.93,1.07,14,1,15,2,20,0.85,11,3.061862178
aanbelanden,5,2.67,1.35,15,0,15,3,18,1,10.38888889,2.615314375
aanbelangen,3,2.07,0.96,15,0,15,4,18,1,12.16666667,2.935582916
aanbellen,2,4.13,0.74,15,0,15,1,18,1,7.388888889,2.226548077
aanbesteden,5,2,1.15,13,2,15,2,20,0.95,11.94736842,2.613505186
aanbesteding,1,2.13,1.36,15,0,15,3,18,1,13.88888889,3.178769442
aanbetaling,2,2,0.93,15,0,15,4,18,0.944444444,12.94117647,3.030482392
aanbevelen,4,2,0.93,15,0,15,1,18,1,10.72222222,2.585151163
aanbeveling,1,2.2,1.26,15,0,15,2,20,1,10.85,3.013565819
aanbiddelijk,5,1.67,0.72,15,0,15,3,18,1,10.72222222,2.052417672
aanbidden,5,2.33,1.05,15,0,15,4,18,1,10.11111111,2.987993403
aanbidder,2,2.6,1.12,15,0,15,1,18,1,9.888888889,2.470743848
aanbidding,3,2.07,1.03,15,0,15,2,20,1,9.35,2.560324815
aanbieden,4,2.73,1.03,15,0,15,3,18,1,9.611111111,2.090282528
aanbieding,1,2.8,1.21,15,0,15,4,18,0.944444444,10.29411765,2.995094028
aanblijven,3,2.27,1.03,15,0,15,1,18,1,9.166666667,1.977818168
aanblik,2,2.6,0.91,15,0,15,2,20,1,9.9,2.468752082
aanbod,3,2.13,0.99,15,0,15,3,18,1,9.222222222,2.462795054
aanboren,4,2.87,0.99,15,0,15,4,18,0.888888889,12,2.75680975
aanbouw,2,3.5,1.34,14,1,15,1,18,1,10.55555556,2.661760192
aanbraden,5,3.53,1.13,15,0,15,2,20,0.8,9,3.011090611
aanbranden,2,3.87,0.99,15,0,15,3,18,1,7.277777778,1.964555198
aanbreken,3,1.87,0.83,15,0,15,4,18,0.944444444,9.941176471,3.131904138
aanbrengen,2,2.33,1.23,15,0,15,1,18,1,8.833333333,2.74933147
aandacht,2,1.87,0.83,15,0,15,2,20,1,8.15,3.483419373
aandachtig,4,2.13,0.83,15,0,15,NA,NA,NA,NA,NA
aandachtspunt,1,2,1.25,15,0,15,3,18,1,10.61111111,2.033220826
aandeel,4,2.33,0.82,15,0,15,4,18,1,11.5,3.382480816
aandeelhouder,1,2.73,1.62,15,0,15,1,18,1,11.94444444,2.484593048
aandelen,4,2.53,0.92,15,0,15,2,20,0.95,12.89473684,2.55809688
aandenken,4,2.33,1.18,15,0,15,3,18,1,8.722222222,2.346600935
aandikken,2,3.33,0.98,15,0,15,4,18,1,10.66666667,2.786522184
aandoen,1,3.6,1.12,15,0,15,1,18,1,6.555555556,2.97484003
aandoening,2,2.2,1.08,15,0,15,2,20,1,10.55,2.910507281
aandoenlijk,3,1.47,0.64,15,0,15,3,18,1,11.5,2.706202027
aandraaien,3,3.13,1.25,15,0,15,4,18,1,9.555555556,3.110177264
aandrang,3,1.93,1.16,15,0,15,1,18,1,10.88888889,2.846853555
aandraven,5,2.79,1.19,14,1,15,3,18,0.944444444,11.11764706,2.781239673
aandrift,3,1.83,1.11,12,3,15,2,20,0.65,12.23076923,2.891189091
aandrijven,3,2.53,1.06,15,0,15,3,18,1,10.5,2.382534488
aandrijving,1,3.33,1.18,15,0,15,4,18,1,12.33333333,2.326319992
aandringen,4,2.73,1.28,15,0,15,1,18,1,9.222222222,2.04523997
aandrukken,3,3.4,1.24,15,0,15,2,20,1,8.35,2.739093204
aanduiden,2,3.67,0.9,15,0,15,3,18,1,7.111111111,2.968241486
aanduiding,2,2.6,0.99,15,0,15,4,18,1,10.16666667,2.684377461
aandurven,1,2.13,1.13,15,0,15,4,18,1,9.555555556,3.091206165
aaneen,2,2.27,1.1,15,0,15,1,18,1,7.666666667,2.47338777
aanflitsen,2,2.91,1.22,11,4,15,1,18,0.888888889,10.0625,3.234578798
aanfluiting,2,2.17,1.03,12,3,15,2,20,0.7,11.35714286,2.46848265
aangaan,5,2.07,0.96,15,0,15,3,18,1,9.722222222,2.371536002
aangaande,4,1.27,0.46,15,0,15,4,18,1,11.61111111,2.87256575
aangapen,1,3.8,1.01,15,0,15,1,18,1,9.111111111,2.2980526
aangebonden,4,2.71,1.07,14,1,15,2,20,1,9.65,2.49789385
aangeboren,5,1.6,0.63,15,0,15,3,18,1,9.722222222,1.903728711
aangedaan,4,2.07,0.88,15,0,15,4,18,1,10.27777778,2.966589556
aangeklaagde,3,2.13,1.19,15,0,15,2,20,1,11.7,2.921787485
aangelegenheid,4,2,0.96,14,1,15,3,18,1,11.27777778,2.652536091
aangenaam,5,1.73,1.1,15,0,15,NA,NA,NA,NA,NA
aangeschoten,5,2.87,0.83,15,0,15,1,18,1,11.66666667,2.950573224
aangeslagen,4,2.33,1.23,15,0,15,2,20,1,10.35,2.368099393
aangetrouwd,1,2.47,1.46,15,0,15,3,18,1,10.05555556,2.287362268
aangeven,5,2.6,1.18,15,0,15,4,18,0.944444444,9.058823529,2.946832796
aangever,5,2.54,1.13,13,2,15,1,18,0.944444444,10.35294118,2.47338777
aangewezen,2,1.8,0.86,15,0,15,2,20,1,10.85,3.013565819
aangezicht,1,4.2,0.56,15,0,15,3,18,1,8.5,2.407097349
aangezien,4,1.29,0.47,14,1,15,4,18,1,10.77777778,2.819168746
aangifte,4,2.67,1.35,15,0,15,1,18,1,11.27777778,2.886185261
aangrenzend,1,3,0.93,15,0,15,2,20,1,10.85,2.641271624
aangrijpen,1,2.53,1.06,15,0,15,3,18,1,10.77777778,2.579456294
aangrijpend,4,2.27,0.88,15,0,15,4,18,1,10.77777778,2.839957654
aangroei,3,2.53,1.25,15,0,15,4,18,1,10.44444444,2.502286536
aangroeien,1,3,1.07,15,0,15,1,18,1,9,2.249182858
aanhalen,5,2.2,0.77,15,0,15,2,20,0.95,9.421052632,2.292882453
aanhalerig,4,1.67,0.65,12,3,15,3,18,0.833333333,12.66666667,3.598941643
aanhalig,1,1.85,1.14,13,2,15,4,18,0.888888889,12,3.540244813
aanhalingsteken,2,3.73,1.33,15,0,15,1,18,1,9.777777778,2.712835624
aanhang,5,2.07,1.1,15,0,15,2,20,1,10.6,2.798495837
aanhangen,2,2.8,1.26,15,0,15,3,18,1,9.444444444,2.705598166
aanhanger,4,2.57,1.45,14,1,15,4,18,1,11.38888889,2.810461316
aanhangig,2,2.23,1.01,13,2,15,1,18,0.722222222,10.69230769,2.428463691
aanhangsel,3,2.67,1.11,15,0,15,2,20,1,9.9,2.751076344
aanhangwagen,4,4.67,0.49,15,0,15,3,18,1,9,3.143620992
aanhankelijk,2,2.27,1.03,15,0,15,4,18,0.944444444,10.70588235,3.386825687
aanhebben,4,3,1.31,15,0,15,1,18,1,7.055555556,2.312936057
aanhef,1,2.6,1.24,15,0,15,2,20,1,11.45,2.742933505
aanheffen,1,2.13,0.83,15,0,15,3,18,1,12.44444444,2.035630332
aanhikken,4,2.11,1.05,9,6,15,4,18,0.555555556,11.6,5.581716184
aanhoren,5,2.8,1.01,15,0,15,1,18,1,8.555555556,2.548868774
aanhorig,2,1.85,0.8,13,2,15,2,20,0.8,12.8125,2.509149922
aanhouden,2,2.53,0.83,15,0,15,3,18,1,9.444444444,2.228748586
