word_portuguese,translate_word_english,cgram,familiar_mean,concrete_mean,imagine_mean,aoa_mean,aoa_sd,length,silo_n,phonemes,silphom_n,ond,oup,phoneme_density,phonome_up,frequency,frequency_log
Chão,floor,no,NA,NA,NA,1.95,0.96,4,1,3,1,3,3,8,3,1443,3.16
Flor,flower,no,NA,NA,NA,1.55,0.65,4,1,4,1,2,4,0,4,1544,3.19
Mar,sea,no,1.48,5.58,6.46,2.04,1.12,3,1,3,1,11,3,9,3,3770,3.58
Mês,month,no,NA,NA,NA,3.19,1.35,3,1,3,1,2,3,8,3,6862,3.84
Pão,bread,no,1.47,NA,NA,2.32,1.68,3,1,3,1,10,2,9,3,1357,3.13
Rei,king,no,NA,NA,NA,3.28,1.69,3,1,3,1,4,3,2,3,1995,3.3
Abril,april,no,NA,NA,NA,3.22,1.17,5,2,5,2,3,5,3,5,1096,3.04
Acto,act,no,NA,NA,NA,6.02,1.65,4,2,3,2,11,4,24,3,1837,3.26
Actor,actor,no,1.7,2.44,3.58,4.92,1.71,5,2,4,2,3,5,2,3,1419,3.15
Alta,rise,no,NA,NA,NA,3,1.47,4,2,4,2,13,4,13,4,1046,3.02
Arma,gun,no,NA,NA,NA,4.1,1.66,4,2,4,2,8,4,8,4,1803,3.26
Arte,art,no,3.13,NA,NA,6.7,1.68,4,2,4,2,6,4,5,4,2907,3.46
Avô,grandfather,no,NA,NA,NA,1.61,1,3,2,3,2,5,3,2,3,1018,3.46
Água,water,no,1.5,6,6.23,2.12,2.09,4,2,4,2,3,4,5,4,8340,3.01
Bairro,neighbourhood,no,NA,NA,NA,4.69,1.46,6,2,5,2,1,6,3,5,1087,3.92
Banco,bank,no,2.14,6.22,6,3.05,1.47,5,2,4,2,9,5,9,4,2119,3.04
Banda,band,no,NA,NA,NA,4.1,1.67,5,2,4,2,8,5,6,4,821,3.33
Banho,bath,no,NA,NA,NA,2.1,1.21,5,2,4,2,10,5,7,4,1158,2.91
Barco,boat,no,1.65,NA,NA,2.36,1.17,5,2,5,2,10,5,9,5,1884,3.06
Bolsa,handbag,no,NA,NA,NA,5.25,2.36,5,2,5,2,6,5,4,5,1055,3.28
Breve,soon,no,NA,NA,NA,5.2,1.86,5,2,5,2,1,5,1,4,2057,3.02
Brilho,shine,no,NA,NA,NA,4.02,1.46,6,2,5,2,1,6,2,5,471,3.31
Bronze,bronze,no,NA,NA,NA,5.7,1.88,6,2,5,2,0,6,0,5,1224,2.67
Calor,heat,no,NA,NA,NA,2.52,1.18,5,2,5,2,3,5,2,5,1311,3.09
Cama,bed,no,1.32,NA,NA,1.84,0.95,4,2,4,2,21,4,13,4,1863,3.12
Campo,field,no,NA,NA,NA,2.83,1.14,5,2,4,2,3,5,4,4,4238,3.27
Canto,corner,no,NA,NA,NA,3.12,1.58,5,2,4,2,13,5,11,4,1384,3.63
Carga,load,no,NA,NA,NA,5.57,1.5,5,2,5,2,7,5,6,5,1060,3.14
Carne,meat,no,NA,NA,NA,2.02,0.85,5,2,5,2,2,5,2,4,1658,3.03
Carta,letter,no,NA,NA,NA,3.6,1.47,5,2,5,2,10,5,7,5,2596,3.22
Casa,house,no,1.4,6.26,6.5,1.55,0.85,4,2,4,2,19,4,12,4,12731,3.41
Casal,couple,no,NA,NA,NA,4.82,1.03,5,2,5,2,7,5,5,5,933,4.1
Caso,case,no,NA,NA,NA,6.8,1.03,4,2,4,2,14,4,14,4,11160,2.97
Cena,scene,no,NA,NA,NA,5.6,1.82,4,2,4,2,7,4,6,3,1384,4.05
Cheiro,smell,no,NA,NA,NA,2.47,1.23,6,2,5,2,3,6,1,5,837,3.14
Chuva,rain,no,NA,NA,NA,2.29,1.29,5,2,4,2,2,5,4,4,1839,2.92
Cima,top,no,NA,NA,NA,2.32,1.27,4,2,4,2,9,4,11,4,3062,3.26
Classe,class,no,NA,NA,NA,4.82,1.53,6,2,5,2,0,6,3,5,1817,3.49
Clima,weather,no,NA,NA,NA,5.21,1.61,5,2,5,2,3,5,1,5,1345,3.26
Clube,club,no,NA,NA,NA,5.06,2.08,5,2,5,2,0,3,0,4,3001,3.13
Coisa,thing,no,NA,NA,NA,3.14,1.86,5,2,5,2,3,5,3,5,14657,3.48
Compra,purchase,no,NA,NA,NA,3.36,1.35,6,2,5,2,1,6,1,5,1357,4.17
Corpo,body,no,NA,NA,NA,3.38,1.31,5,2,5,2,8,5,6,4,5167,3.13
Crise,crisis,no,NA,NA,NA,6.74,1.6,5,2,5,2,2,5,2,5,1931,3.71
Curso,course,no,NA,NA,NA,6.19,1.35,5,2,5,2,5,5,4,5,2537,3.29
Custo,cost,no,NA,NA,NA,4.54,1.99,5,2,5,2,9,5,9,5,1813,3.4
Data,date,no,NA,NA,NA,3.26,1.31,4,2,4,2,9,4,9,3,2066,3.26
Dedo,finger,no,NA,NA,NA,2.66,2.11,4,2,4,2,7,4,7,3,1489,3.32
Dente,tooth,no,NA,NA,NA,2.88,1.81,5,2,4,2,7,5,9,4,1124,3.17
Dia,day,no,2.1,4.54,4.08,2.16,1.33,3,2,3,2,10,3,9,3,21896,3.05
Doido,crazy,no,NA,NA,NA,3.55,1.71,5,2,5,2,2,5,0,5,250,4.34
Doutor,doctor,no,NA,NA,NA,3.34,1.35,6,2,5,2,1,6,0,4,996,2.4
Droga,drug,no,NA,NA,NA,6.81,1.55,5,2,5,2,2,5,1,3,1187,3
Dúzia,dozen,no,NA,NA,NA,4.65,1.04,5,2,5,2,0,3,0,5,892,3.07
Face,face,no,NA,NA,NA,4.19,1.62,4,2,4,2,3,4,3,4,1173,2.95
Facto,fact,no,NA,NA,NA,5.93,1.49,5,2,5,2,11,5,4,4,7722,3.07
Fase,phase,no,NA,NA,NA,6.02,1.28,4,2,4,2,3,4,5,3,3848,3.89
Feira,market,no,NA,NA,NA,3.6,1.6,5,2,5,2,11,5,7,5,716,3.59
Féria,holiday,no,NA,NA,NA,5.12,2.11,5,2,5,2,3,5,4,5,1211,2.86
Ferro,iron,no,NA,NA,NA,4.18,1.93,5,2,4,2,8,5,6,4,1744,3.08
Fiel,faithful,no,NA,NA,NA,5.74,1.8,4,2,4,1,1,4,2,4,473,3.24
Filho,son,no,NA,NA,NA,2.47,1.72,5,2,4,2,6,5,9,4,7644,2.68
Filme,film,no,NA,NA,NA,3.05,1.22,5,2,5,2,1,5,1,5,2776,3.88
Final,final,no,NA,NA,NA,5.76,1.56,5,2,5,2,4,5,4,5,1629,3.44
Fio,thread,no,NA,NA,NA,3,1.55,3,2,3,2,12,3,11,3,995,3.21
Fogo,fire,no,1.57,5.88,6.21,3.22,1.78,4,2,4,2,10,4,10,4,1822,3
Forno,oven,no,NA,NA,NA,3.9,1.34,5,2,5,2,5,5,4,4,762,3.26
Frase,sentence,no,2.1,3.9,3.17,4.37,1.23,5,2,5,2,3,5,4,4,1074,2.88
Gente,people,no,NA,NA,NA,3.05,1.59,5,2,4,2,7,5,8,4,6927,3.03
Gesto,gesture,no,NA,NA,NA,4.22,1.76,5,2,5,2,9,5,4,5,1445,3.84
Gestor,manager,no,2.47,NA,NA,6.96,1.09,6,2,6,2,1,6,1,5,320,3.16
Golo,goal,no,NA,NA,NA,2.75,1.21,4,2,4,2,16,4,11,4,2292,2.51
Grupo,group,no,2.3,4.32,4.17,4.71,1.22,5,2,5,2,1,5,2,5,8138,3.36
Guerra,war,no,2.7,2.98,4.74,4.4,1.6,6,2,4,2,1,6,6,3,3806,3.91
Hora,hour,no,NA,NA,NA,2.94,1.63,4,2,3,2,7,4,12,3,10776,3.58
Hotel,hotel,no,NA,NA,NA,4.08,1.57,5,2,4,2,1,5,1,3,1184,4.03
Irmão,brother,no,NA,NA,NA,2.72,1.91,5,2,5,2,0,5,0,5,2654,3.07
Jantar,dinner,no,1.47,NA,NA,2.86,1.32,6,2,5,2,2,6,2,4,1470,3.42
Jardim,garden,no,1.63,5.48,6.02,2.96,1.24,6,2,5,2,0,6,0,3,1928,3.17
Jovem,young man,no,NA,NA,NA,5.58,1.34,5,2,5,2,0,4,0,3,3548,3.29
Judeu,jew,no,NA,NA,NA,6.68,1.5,5,2,5,2,0,4,0,4,327,3.55
Juiz,judge,no,1.9,5.28,5.62,5.13,1.28,4,2,4,1,0,3,1,4,1324,2.52
Junho,june,no,NA,NA,NA,4.05,1.36,5,2,4,2,5,4,6,3,1212,3.12
Juro,interest,no,NA,NA,NA,4.16,1.77,4,2,4,2,7,4,11,4,1561,3.08
Ilha,island,no,NA,NA,NA,4.18,1.53,4,2,3,2,6,4,11,3,2263,3.19
Leite,milk,no,1.32,NA,NA,1.65,1.25,5,2,5,2,3,5,1,5,1009,3.35
Líder,lider,no,NA,NA,NA,6.16,1.53,5,2,5,2,0,4,1,4,2616,3
Língua,tongue,no,NA,NA,NA,2.65,1.67,6,2,5,2,2,3,3,5,2119,3.42
Linha,line,no,NA,NA,NA,2.98,1.32,5,2,4,2,7,5,11,4,4105,3.33
Lista,list,no,NA,NA,NA,6.4,1.31,5,2,5,2,4,5,3,5,2423,3.61
Livro,book,no,1.26,NA,NA,2.6,1.32,5,2,5,2,2,5,2,5,4182,3.38
Lua,moon,no,NA,NA,NA,2.44,1.39,3,2,3,2,13,3,13,3,814,3.62
Lucro,profit,no,2.8,3.64,2.48,5.98,1.63,5,2,5,2,0,5,0,5,816,2.91
Lume,fire,no,NA,NA,NA,3.74,1.43,4,2,4,2,5,4,5,4,853,2.91
Mapa,map,no,NA,NA,NA,4.44,1.6,4,2,4,2,9,4,11,4,830,2.93
Marca,brand,no,NA,NA,NA,4.68,1.58,5,2,5,2,8,5,7,5,1339,2.92
Março,march,no,NA,NA,NA,3.95,1.17,5,2,5,2,3,5,4,4,1198,3.13
Margem,margin,no,NA,NA,NA,5.85,1.46,6,2,6,2,0,5,0,4,1628,3.08
Mastro,mast,no,NA,NA,NA,6.63,1.58,6,2,6,2,4,5,4,4,139,3.21
Média,average,no,NA,NA,NA,6.1,1.88,5,2,5,2,1,5,2,5,1132,2.15
Mesa,table,no,1.32,NA,NA,2.14,1.14,4,2,4,2,5,4,2,3,2633,3.05
Metal,metal,no,NA,NA,NA,5.4,1.36,5,2,5,2,3,5,2,5,843,3.42
Metro,subway,no,1.47,NA,NA,6.2,0.9,5,2,5,2,2,5,2,5,2752,2.93
Milhar,million,no,NA,NA,NA,6.2,2.01,6,2,5,2,8,6,13,5,1451,3.44
Missão,mission,no,NA,NA,NA,5.36,1.79,6,2,5,2,3,5,12,5,951,3.16
Moda,fashion,no,NA,NA,NA,4.76,1.76,4,2,4,2,14,4,11,4,1086,2.98
Modo,way,no,NA,NA,NA,4.68,2.19,4,2,4,2,11,4,7,4,5619,3.04
Muro,wall,no,NA,NA,NA,3.24,1.04,4,2,4,2,9,4,11,4,796,3.75
Museu,museum,no,NA,NA,NA,5.49,1.26,5,2,5,2,0,5,0,4,806,2.9
Neve,snow,no,1.5,6.24,6.04,2.88,1.32,4,2,4,2,4,4,3,4,844,2.91
Nível,level,no,NA,NA,NA,5.48,1.41,5,2,5,2,3,5,3,4,6051,2.93
Noivo,groom,no,NA,NA,NA,4.55,1.84,5,2,5,2,3,5,2,5,738,3.78
Nome,name,no,2.3,3.58,2.83,2.21,1.39,4,2,4,2,3,4,1,3,6353,2.87
Norma,rule,no,NA,NA,NA,8.02,1.13,5,2,5,2,3,5,2,5,801,3.8
Nota,note,no,NA,NA,NA,4.2,1.47,4,2,4,2,11,4,10,4,1530,2.9
Núcleo,nucleus,no,NA,NA,NA,7.16,1.17,6,2,6,2,0,3,0,6,732,3.18
Ombro,shoulder,no,1.47,NA,NA,3.31,1.4,5,2,4,2,1,5,1,4,1255,2.87
Ordem,order,no,NA,NA,NA,4.28,1.58,5,2,5,2,0,5,0,4,4057,3.1
Orgão,organ,no,NA,NA,NA,5.36,1.68,5,2,5,2,1,3,2,3,1302,3.61
Ouro,gold,no,NA,NA,NA,4.46,1.72,4,2,3,2,12,4,18,3,1682,3.11
Ovo,egg,no,NA,NA,NA,2.78,1.46,3,2,3,2,5,3,7,3,1140,3.23
Padrão,pattern,no,NA,NA,NA,7.4,1.43,6,2,6,2,2,5,2,5,995,3.06
