word_spanish,familiar_mean,imagine_mean,concrete_mean
abandonar,6.048,4.162,4.219
abeja,5.635,6.593,6.418
abogado,5.5,NA,5.537
abrazo,5.417,6.209,5.909
abrir,6.472,5.306,4.19
absorber,5.464,4.182,4.103
absurdo,5.246,2.561,2.794
abuela,6.732,6.222,6.293
abuelo,5.839,6.293,6.485
accidente,6.329,5.839,4.927
acción,5.784,3.957,2.186
acento,5.742,5.139,4.94
aceptar,5.25,3.844,4.094
acero,5.108,4.886,6.221
acompañar,5.875,4.36,4.163
actitud,5.562,2.141,2.97
actividad,6.321,3.405,2.363
activo,6.053,4,4.382
actor,5.641,6.045,5.622
actuación,5.657,4.729,4.495
acusación,4.805,4.386,4.682
adiós,6.906,4.757,3.962
administración,4.395,2.972,3.574
admirar,5.818,3.575,3.57
admitir,6.05,2.887,3.927
adolescencia,6.644,4.723,4.064
adolescente,6.417,5.751,5.448
adulto,6.501,5.83,5.308
adversario,4.611,3.535,5.136
advertencia,4.697,NA,4.709
aeropuerto,5.719,6.356,6.118
aficionado,4.494,4.06,3.926
agencia,5.215,4.819,4.35
agenda,6.216,5.96,5.626
agente,4.961,4.51,3.463
aguja,6.085,5.93,5.875
agujero,6.177,5.827,4.897
aire,5.838,4.012,4.936
ajo,5.605,6.33,5.77
alarma,6.245,5.776,4.616
albergue,5.515,6.406,5.514
alcalde,5.959,5.832,6.283
alcohol,6.447,6.09,5.592
alegría,6.507,4.899,4.075
alerta,4.066,4.371,3.96
alfa,5.025,3.789,4.291
alfombra,6.224,5.987,6.197
algodón,5.57,6.351,6.085
alimentar,6.269,5.143,5.276
alimento,6.533,NA,4.086
alma,5.68,4.565,3.213
almuerzo,5.472,5.486,5.702
alquilar,5.553,3.228,5.218
altura,6.631,5.421,4.734
alucinación,5.831,4.238,4.762
amanecer,6.525,6.031,5.747
amante,4.229,4.732,4.962
ambiente,5.251,3.72,3.739
amigo,6.781,6.175,5.853
amistad,4.975,4.092,4.402
amor,6.36,4.898,2.592
análisis,5.845,4.159,3.009
anatomía,3.958,4.981,4.965
ancla,5.335,5.706,6.027
ángel,5.712,5.38,5.058
anhelo,4.496,3.854,2.816
anillo,6.123,6.611,5.952
animal,6.667,6.368,4.13
aniversario,5.711,4.36,4.716
antídoto,4.905,3.583,4.917
apellido,6.549,4.459,5.631
apertura,5.434,3.994,3.549
aplastar,4.93,3.435,4.424
aplicar,4.925,2.807,3.059
apodo,5.288,3.898,4.468
apoyo,3.557,NA,4.917
apreciar,NA,NA,3.059
aprender,6.653,4.342,4.544
aprobación,4.112,NA,3.513
apuestas,4.746,4.292,4.585
araña,5.517,6.143,5.989
árbol,6.678,6.292,5.921
ardilla,5.799,5.873,6.393
área,4.551,3.368,3.074
arena,5.516,NA,5.787
arma,6.015,6.152,5.197
armadura,4.361,5.626,5.268
armario,6.337,6.239,6.239
armonía,4.974,4.403,3.525
arquitecto,4.724,4.617,5.959
arreglar,6.41,4.151,3.783
arrogancia,4.56,4.035,4.779
arsenal,3.59,3.873,4.566
arte,6.266,4.609,3.081
artefacto,4.851,4.261,3.681
artículo,5.527,4.216,3.355
artista,6.186,5.439,4.908
asesinato,5.694,5.742,5.59
asesino,4.788,4.706,5.79
asistencia,5.242,4.82,3.658
asistente,5.439,4.869,4.377
asistir,5.4,3.491,4.458
astronauta,5.879,6.319,6.294
asustar,5.849,4.883,4.733
ataque,6.282,5.185,3.942
atar,6.061,5.203,4.969
atardecer,5.865,6.608,5.681
ataúd,5.508,5.381,6.244
atención,6.603,3.781,4.094
atmósfera,5.315,4.326,4.8
atraer,5.682,3.715,3.481
atrapar,5.261,4.849,4.382
atún,5.932,5.697,6.154
audiencia,4.504,3.763,4.223
aumentar,6.298,3.731,3.1
ausencia,4.826,3.786,3.981
autobús,6.522,6.304,6.728
autor,6.052,4.263,4.537
autoridad,5.916,4.182,3.798
avenida,5.639,5.377,5.494
ayudar,6.448,4.88,3.711
azúcar,6.612,6.501,6.538
bahía,3.978,5.278,5.506
bailarín,4.518,5.891,5.849
baile,6.31,6.189,4.529
bajo,6.398,5.372,4.096
bala,5.457,5.575,5.705
baloncesto,5.312,6.272,6.573
banda,6.026,4.999,4.027
bandera,4.736,6.051,6.522
baño,6.311,6.325,5.435
banquero,5.277,5.464,5.42
bar,6.411,6.683,6.054
barba,6.768,6.055,6.173
barco,5.551,6.293,6.018
barro,6.101,6.151,5.786
base,6.53,3.499,2.539
basura,6.371,NA,6.105
batalla,4.465,NA,4.772
batallón,3.55,5.24,4.751
bebé,6.097,6.8,6.263
bebida,6.486,5.522,4.668
belleza,5.962,4.455,3.111
beso,6.671,6.277,5.464
bestia,6.196,5.885,4.573
biblia,4.663,5.702,5.661
biblioteca,6.86,6.766,6.088
bien,6.739,3.703,2.572
biología,4.787,3.374,5.148
blanco,6.199,5.587,5.091
boca,6.515,6.223,6.014
bocadillo,6.55,NA,5.563
bocina,2.67,3,6.034
bolígrafo,6.739,6.696,6.51
bolsa,6.416,5.035,4.724
bolsillo,6.194,6.436,6.073
bomba,5.202,5.792,5.136
borracho,6.068,6.22,5.639
bosque,5.044,6.239,5.902
bota,6.345,6.749,5.429
botella,6.423,6.765,6.034
botón,6.51,6.526,6.125
brazo,6.701,6.086,5.964
broma,6.604,4.045,4.517
bruja,5.364,6.127,5.327
burro,6.244,NA,4.94
buscar,6.419,4.428,3.403
caballería,3.104,4.906,4.98
caballo,5.596,6.648,6.228
cable,5.597,5.712,5.815
cadáver,4.409,5.744,5.512
cadena,6.555,6.443,4.143
café,7,NA,6.203
caída,6.454,5.814,4.337
caja,6.533,6.232,4.581
calcular,4.111,NA,5.871
calendario,6.416,5.997,6.18
calibre,2.835,3.22,3.813
calidad,5.295,3.627,3.84
calle,NA,5.917,5.877
callejón,5.908,5.815,6.356
calor,6.715,5.708,4.062
cama,6.515,7,6.116
cámara,6.231,6.257,4.43
camarero,6.638,6.16,6.542
camarote,4.957,5.513,5.97
cambio,6.469,4.363,2.625
caminar,6.672,5.185,4.822
camino,5.974,6.101,4.753
camión,6.312,6.548,6.495
camisa,6.7,6.281,6.293
campaña,4.515,3.822,4.092
campeón,6.272,5.029,4.755
campeonato,5.155,5.116,5.265
canal,5.088,4.146,3.814
cáncer,6.217,4.481,5.221
canción,6.166,5.341,5.281
candidato,4.262,4.735,4.708
canela,4.657,3.934,6
cantante,6.481,5.865,5.369
cantidad,6.488,4.42,3.207
caos,4.453,4.858,3.786
capa,4.105,NA,4.402
capacidad,5.168,3.464,3.497
capilla,5.152,6.461,5.587
capital,6.146,3.614,3.86
capitalismo,5.155,2.889,4.496
capitán,4.091,5.428,5.326
caracol,5.067,6.535,6.126
carácter,5.51,3.27,3.08
carbón,5.31,6.119,6.042
cárcel,5.67,5.75,5.827
cardenal,3.415,5.902,3.55
carga,5.158,4.217,3.635
caridad,5.128,4.513,4.125
carnaval,5.402,6.438,5.771
carne,6.506,6.228,5.643
carrera,6.454,5.468,3.556
carretera,6.379,6.226,6.043
carta,6.614,6.048,5.729
casa,6.759,6.575,5.631
casado,6.311,4.791,5.262
casco,5.983,5.797,4.402
castigar,5.301,4.341,4.831
castillo,4.602,6.346,5.914
católico,4.906,4.16,4.776
causa,6.376,2.65,3.442
caza,5.51,5.086,4.954
cebo,4.445,5.076,4.871
cebolla,6.662,6.406,6.433
celda,4.287,6.242,5.812
cementerio,6.039,6.406,6.344
cemento,5.645,5.638,5.57
cena,6.733,6.301,6.298
ceniza,5.777,6.292,5.706
centímetro,5.584,4.058,6.22
cerdo,6.263,5.804,5.391
ceremonia,5.834,5.863,4.385
cerradura,5.607,5.777,5.961
cerrar,6.484,5.514,4.648
cerveza,6.532,6.395,6.026
champán,5.358,6.234,6.301
chaqueta,6.68,6.591,5.864
charlar,6.536,4.637,4.451
chip,2.487,3.386,4.944
chisme,5.177,3.431,2.811
chiste,6.417,4.723,4.956
chocolate,6.678,6.624,6.127
cicatriz,5.504,5.96,5.58
ciego,5.99,5.64,5.728
cielo,6.293,6.351,5.156
ciencia,6.053,2.722,3.654
científico,5.42,5.508,5.237
cierre,4.992,3.25,4.084
cigarrillo,5.73,5.832,6.299
cigarro,5.719,6.308,6.247
cine,6.77,6.575,5.766
circo,6.146,6.542,5.193
círculo,6.012,5.501,5.627
cirugía,5.832,5.642,5.448
cirujano,5.37,5.778,6.081
cisterna,3.119,5.43,5.671
ciudad,6.567,6.188,5.339
civil,5.265,3.831,3.946
civilización,4.79,4.706,4.026
clan,4.315,3.78,3.994
clase,6.698,NA,3.738
clave,4.136,3.093,3.685
cliente,6.339,5.265,5.046
clínica,5.625,5.468,4.729
club,5.873,4.993,5.201
coartada,5.415,3.443,4.824
cocaína,5.317,5.525,5.956
coche,6.641,6.566,5.672
cocina,6.379,6.059,6.044
cocinero,5.764,6.353,6.381
código,4.668,4.201,3.855
cohete,5.66,6.271,5.952
colapso,3.917,4.086,3.754
colega,6.039,5.715,4.816
colina,3.086,5.462,5.911
collar,5.87,6.543,5.334
colonia,6.396,5.845,5.099
comandante,4.316,5.231,5.191
combate,3.572,5.212,4.624
combinación,5.066,3.928,2.975
combustible,6.323,5.563,4.711
comedia,5.53,4.893,4.791
comentario,6.023,3.538,3.643
comer,6.914,6.304,5.59
comercio,6.024,5.323,5.14
comida,6.763,NA,4.788
comisión,4.936,3.244,3.898
comité,3.795,4.576,4.608
compañero,NA,NA,5.573
compañía,6.159,4.412,3.161
compasión,5.415,3.639,3.163
competición,5.717,4.718,4.46
comprador,5.295,5.439,5.215
comprar,6.449,4.744,4.019
comprender,6.213,2.533,4.165
comprobar,5.588,3.933,3.556
compromiso,5.587,3.456,3.338
comunicación,3.871,NA,4.004
comunidad,4.663,5.38,3.874
comunista,3.743,4.066,4.464
coñac,4.665,3.781,NA
concentrarse,6.249,4.49,5.299
concepto,4.894,2.792,2.24
concierto,5.98,6.533,5.296
conclusión,6.145,3.173,4.541
condesa,4.991,5.104,5.506
conducir,6.393,4.958,5.141
conductor,6.3,5.784,4.727
conejo,6.029,6.061,6.365
conexión,3.545,NA,3.679
conferencia,6.045,5.067,5.578
confesar,4.66,4.818,4.271
confianza,6.571,5.014,4.322
confiar,4.97,2.929,4.033
confirmación,4.814,3.657,4.225
confirmar,4.896,2.987,3.751
conflicto,5.412,4.322,3.585
confusión,5.811,3.966,4.043
conocimiento,5.692,1.575,2.712
consecuencia,6.198,3.277,4.15
consejo,6.075,4.157,3.946
conservador,4.522,3.082,4.47
conservar,6.202,3.954,3.778
considerar,5.927,3.146,3.277
conspiración,3.212,3.273,3.707
constitución,4.645,3.211,5.232
construcción,5.801,5.443,3.612
contacto,6.127,4.964,3.397
contaminación,5.2,4.489,5.044
contar,6.553,4.465,3.748
