word_spanish,translate_word_english,color_mean,color_sd,motion_mean,motion_sd,grasp_mean,grasp_sd,pain_mean,pain_sd,sound_mean,sound_sd,taste_mean,taste_sd,smell_mean,smell_sd,boi_mean,concrete_mean,imagine_mean,category,pc1_scores,pc2_scores
abeja,bee,6.15,1.23,7.52,0.82,4.21,2.83,5.38,1.81,3.32,1.81,2.31,1.73,1.8,1.08,4.47,6.42,6.59,Insectos (An insect),1.37,0.32
abrigo,coat,4.67,1.87,2.8,1.58,7.33,1.01,1.81,0.94,1.77,0.92,2.63,1.16,3,1.87,6.07,4.98,6.72,Prendas de vestir (An article of clothing),-0.96,-0.11
acordeón,accordion,5.13,1.79,5.48,1.29,4.5,2.11,3.08,1.92,5.84,1.29,2.31,1.06,2.12,1.59,6.08,6.55,5.11,Instrumentos musicales (A musical instrument),1.16,-0.03
aguijón,sting,3.85,2.37,3.44,2.35,4.65,2.53,6.23,1.66,1.9,1.42,1.9,1.33,1.2,0.41,3.88,6.23,5.38,NA,0.45,-1.19
águila,eagle,5.21,2.03,7.36,0.7,3.21,1.98,3.92,1.61,4.48,1.82,4.03,1.77,4.2,1.96,4.36,6.41,5.59,Aves (A bird),1.32,1.25
aguja,needle,3.36,2.25,3.4,1.66,7.71,0.62,5.42,2.06,1.45,1.31,1.97,1.12,1.28,0.68,6.14,5.88,5.93,Armas (A weapon),-0.24,-1.28
ajedrez,chess,4.75,2.05,3.36,1.68,5.54,1.89,2.08,1.47,2.16,1.27,2.47,1.11,1.64,1.35,5.59,5.8,5.32,Deportes (A sport),-0.52,-0.47
ajo,garlic,1.88,0.91,1.76,1.05,7.67,0.7,1.62,0.64,1.26,0.51,4.97,1.96,6.68,1.44,6.14,5.77,6.33,Condimentos (A substance for flavoring food),-1.55,0.63
ancla,anchor,3.27,1.88,2.5,1.35,2.96,1.81,5.19,1.65,4.1,1.8,1.81,1,2.24,1.42,4.45,6.03,5.71,NA,0.88,-1.14
anillo,ring,5.63,1.95,2.48,1.71,7.88,0.45,2.5,1.56,1.65,0.75,2.72,1.35,1.56,0.77,6.07,5.95,6.61,Serpientes (A snake),-0.96,-0.29
antena,antenna,3.06,1.82,2,1.12,5.21,1.98,3.5,2,2.55,1.61,1.88,0.79,1.4,0.65,5.02,5.77,6.58,Partes de un edificio (A part of a building),-0.28,-1.43
antorcha,torch,6.64,1.48,3.68,1.93,6.96,1.27,5.38,1.58,2.81,1.54,1.69,0.86,4.52,2.06,4.92,6.51,6.2,NA,0.5,0.65
araña,spider,4.7,2.2,6.68,1.55,5.58,2.28,4.77,1.8,1.42,0.96,1.84,1.44,1.36,0.49,4.93,5.99,6.14,Insectos (An insect),0.41,-0.46
árbol,tree,6.13,1.34,2.52,1.83,2.21,1.28,3.85,2.44,2.42,1.23,3.59,1.81,4.44,1.96,5.71,5.92,6.29,NA,0.24,0.9
arco,bow,3.19,1.35,3.16,1.72,6.21,2,5.15,2.15,3.29,1.62,2.13,1.07,1.48,0.77,4.47,5.4,6.16,Armas (A weapon),0.32,-1.24
arma,weapon,4.06,2.21,3.52,1.85,5.67,1.71,7.88,0.33,6.61,1.56,1.59,0.91,2.28,1.67,5.02,5.2,6.15,Muebles (An article of furniture),2.04,-0.93
arroz,rice,2.27,1.48,2.12,1.42,7.17,0.96,1.58,0.76,1.68,1.22,7.19,0.9,3.88,1.83,6.17,6.36,5.44,NA,-1.62,0.55
