category,word_spanish,valence_mean,valence_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,concrete_mean,concrete_sd,frequency_mean,length
animal,Abeja,3.34,1.85,6.79,1.51,6.32,1.84,8.52,0.92,3.57,5
animal,Abejorro,2.13,1.32,7.08,1.58,4.4,2.42,7.52,1.53,0.18,8
animal,Águila,6.16,1.55,6,1.68,4.32,2.44,7.36,1.8,7.86,6
animal,Alce,5.47,1.67,4.57,2.02,1.96,1.2,6.56,2.22,0.54,4
animal,Almeja,4.92,1.7,3.42,1.75,4.24,2.39,6.72,2.62,0.54,6
animal,Anguila,3.76,2.14,5.55,1.8,3,1.85,7.44,1.83,1.43,7
animal,Ardilla,6.76,1.24,4.47,2.02,3.12,2.13,8.64,0.49,8.04,7
animal,Asno,5.32,1.69,4.53,1.59,3.32,2.3,6.88,1.94,3.93,4
animal,Atún,5.74,1.77,4.84,1.7,6.64,2.1,7.64,1.58,3.39,4
animal,Avestruz,5.26,1.5,4.5,1.89,3.92,2.18,8.48,0.77,2.32,8
animal,Babosa,2.13,1.34,5.08,2.53,3.44,2.2,6.76,1.92,0.36,6
animal,Ballena,6.38,1.36,4.43,1.97,4.88,2.26,7.96,1.4,3.04,7
animal,Bisonte,4.54,1.43,5.32,2.21,1.84,1.34,7,2.18,1.96,7
animal,Buey,5,1.45,4,1.95,2.04,1.59,7.96,1.24,3.93,4
animal,Búfalo,4.21,1.61,5.39,2.11,2.76,1.92,8.28,0.98,3.93,6
animal,Buitre,3.18,1.29,5.42,1.35,3.48,2.14,6.92,2.4,3.57,6
animal,Burro,5.26,1.81,3.92,1.4,5.36,2.4,7.52,1.48,13.93,5
animal,Caimán,4.39,2.1,5.66,2.11,2.16,1.28,8.04,1.14,0.89,6
animal,Camaleón,5.58,1.73,5.11,1.87,2.8,1.8,7.56,1.33,0.89,8
animal,Camello,5.82,1.5,4.87,1.91,4.28,2.62,7.56,1.29,2.32,7
animal,Canario,6.05,1.64,4.34,2.03,3.96,2.21,6.44,2.06,5.54,7
