word_turkish,translate_word_english,aoa_overall_mean,aoa_overall_sd,aoa_mean_children,aoa_sd_children,aoa_mean_older,aoa_sd_young_adults,aoa_mean_middle_aged,aoa_sd_middle_aged,aoa_mean_older_adults,aoa_sd_older_adults,imagine_mean,concrete_mean,frequency_mean,syllables,length
açlık,hunger,1.79,0.94,1.77,0.78,1.79,0.95,1.83,0.95,1.75,1.06,4.24,3.68,54,2,5
adalet,justice,3.61,1.99,2.6,1.13,4.1,1.75,4.2,1.92,3.61,2.44,3.08,1.82,122,3,6
ahşap,wooden,3.03,1.69,2.33,0.99,3.49,1.49,3.51,1.72,2.86,2.04,5.48,6.42,111,2,5
aile,family,1.69,0.85,1.53,0.6,1.6,0.67,1.83,0.93,1.76,1.04,5.91,4.78,753,3,4
ajan,spy,4.25,2.11,2.89,1.19,4.04,1.81,5.04,1.84,4.93,2.55,4.48,5.6,11,2,4
akıl,wisdom,2.2,1.22,1.77,0.75,2.32,1.04,2.59,1.38,2.16,1.42,3.3,2.05,679,2,4
akıllı,wise,2.07,1.15,1.7,0.73,2.17,1.46,2.33,1.2,2.08,1.32,3.19,2.41,73,3,6
alet,tool,2.33,1.44,1.78,0.82,2.57,1.31,2.67,1.49,2.34,1.76,4.61,6.63,137,2,4
alıntı,citation,4.45,2.2,2.68,1.19,4.81,1.92,5.17,1.92,5.08,2.47,3.7,4.45,12,3,6
alışkın,accustomed,2.69,1.67,2.09,1.05,2.69,1.58,3.37,1.81,2.61,1.85,2.33,2.34,10,3,7
alkol,alcohol,3.56,2.04,2.54,0.91,3.78,1.8,4.01,2.1,3.89,2.54,5.87,6.46,133,2,5
alt,bottom,2.18,1.33,1.75,0.72,2.26,1.27,2.6,1.69,2.12,1.3,3.71,4.28,1237,1,3
altın,gold,2.3,1.27,1.91,0.77,2.48,1.19,2.66,1.37,2.18,1.47,6.3,6.72,168,2,5
anarşist,anarchist,5.42,2.02,4.06,1.77,6.37,1.38,5.09,2,5.89,2.09,4.41,5.66,3,3,8
anne,mother,1.18,0.5,1.06,0.24,1.1,0.3,1.22,0.54,1.31,0.68,6.69,5.84,1037,2,4
anten,antenna,3.16,1.96,2.1,0.91,2.75,1.39,3.21,1.75,4.39,2.49,6.36,6.87,12,2,5
araba,car,1.62,0.96,1.4,0.54,1.33,0.51,1.84,1.14,1.86,1.21,6.63,6.87,422,3,5
arkadaş,friend,1.7,0.83,1.67,0.8,1.58,0.57,1.87,1.04,1.67,0.82,5.85,5.25,764,3,7
asker,soldier,1.95,1.07,1.83,0.7,1.94,0.97,2.23,1.33,1.82,1.13,6.5,6.7,181,2,5
atık,waste,3.82,2.11,2.5,1.09,3.77,1.62,4.55,2.08,4.41,2.59,3.81,6.04,49,2,4
atletik,athletic,3.86,2.08,2.58,1.11,4.29,1.75,4.6,1.9,3.99,2.57,5.3,4.56,7,3,7
atmosfer,atmosphere,3.97,1.96,3.16,1.34,4.4,1.75,4.44,1.68,3.95,2.54,4.19,5.67,70,3,8
atom,atom,4.6,2.02,3.47,1.38,4.34,1.77,4.97,1.83,5.47,2.33,3.16,4.73,52,2,4
avare,vagabond,4.63,2.21,3.38,1.58,5.55,1.86,4.85,1.99,4.27,2.53,3.37,3.07,2,3,5
avuç,palm,1.8,0.92,1.71,0.69,1.83,1,2.01,1.12,1.66,0.83,6.2,6.63,71,2,4
ayakkabı,shoe,1.61,0.74,1.63,0.67,1.51,0.61,1.65,0.69,1.63,0.92,6.44,6.88,147,4,8
ayıp,indecency,1.83,0.91,1.76,0.74,1.93,1.03,1.95,1.02,1.7,0.85,3.06,1.97,75,2,4
aykırı,contradictory,3.57,2.01,2.64,1.37,3.77,1.88,4.23,1.88,3.66,2.4,2.74,2.15,50,3,6
ayna,mirror,1.75,0.87,1.63,0.69,1.75,0.88,1.9,0.95,1.72,0.93,6.41,6.79,144,2,4
azim,determination,3.43,1.84,2.51,1.1,3.93,1.79,3.8,1.58,3.52,2.31,2.45,1.88,10,2,4
baba,father,1.2,0.51,1.14,0.35,1.16,0.66,1.21,0.52,1.28,0.49,6.5,5.92,1024,2,4
bacak,leg,1.56,0.69,1.54,0.67,1.41,0.53,1.7,0.82,1.59,0.67,6.5,6.86,185,2,5
bağnaz,puritan,5.44,2.06,3.8,1.87,5.96,1.7,5.71,1.76,5.35,2.33,2.82,2.49,3,2,6
bal,honey,1.67,0.71,1.68,0.64,1.56,0.56,1.79,0.77,1.63,0.8,6.37,6.84,69,1,3
balık,fish,1.63,0.68,1.46,0.57,1.54,0.59,1.9,0.8,1.63,0.65,6.67,6.79,300,2,5
balkon,balcony,1.99,1.26,1.7,0.71,1.79,0.87,2.17,1.27,2.24,1.73,6.45,6.87,57,2,6
barınak,shelter,3.02,1.85,2.17,0.98,3.23,1.64,3.62,1.89,3.09,2.29,5.47,6.43,16,3,7
barış,peace,2.4,1.51,1.81,0.8,2.45,1.42,2.76,1.41,2.57,1.97,3.43,2.44,67,2,5
basınç,pressure,4.26,1.98,3.37,1.37,4.25,1.59,4.92,1.76,4.46,2.55,3.25,4.85,83,2,6
başarı,success,2.37,1.29,1.98,0.79,2.38,1.03,2.72,1.25,2.39,1.71,3.56,2.52,304,3,6
başıboş,unattended,3.04,1.69,2.52,1.16,3.57,1.66,3.44,1.62,2.71,1.95,2.97,2.82,20,3,7
bayi,dealer,4.42,2.17,2.89,1.5,4.94,1.93,4.87,1.78,4.94,2.52,4.85,6.26,51,2,4
bayrak,flag,1.84,0.8,1.77,0.69,1.8,0.89,2.03,0.84,1.76,0.77,6.51,6.59,55,2,6
bayram,festival,1.66,0.69,1.59,0.63,1.64,0.69,1.78,0.77,1.61,0.66,4.71,3.99,127,2,6
beceri,skill,3.21,1.89,2.21,1.07,3.1,1.47,3.75,1.79,3.71,2.41,2.99,2.95,63,3,6
belâ,trouble,2.84,1.66,2.19,1,3.2,1.39,3.4,1.76,2.61,1.97,2.7,1.93,58,2,4
belde,town,4.35,2.12,2.9,1.2,4.76,1.79,5.08,1.89,4.54,2.56,3.71,5.35,24,2,5
belge,document,3.65,2.05,2.32,1.05,3.46,1.59,4.52,1.86,4.22,2.54,5.03,6.5,190,2,5
bencil,selfish,3.76,2.03,2.55,1.07,3.69,1.74,4.41,1.84,4.32,2.51,3.06,2.06,14,2,6
berber,barber,1.99,1.08,1.83,0.69,1.99,0.95,2.18,1.25,1.97,1.27,6.24,6.61,7,2,6
beyaz,white,1.7,0.8,1.63,0.63,1.68,0.84,1.76,0.86,1.72,0.84,6,5.04,282,2,5
bıçak,knife,1.7,0.78,1.68,0.71,1.77,0.72,1.8,1.01,1.58,0.61,6.55,6.87,100,2,5
biber,pepper,1.69,0.8,1.58,0.63,1.74,0.95,1.86,0.91,1.58,0.66,6.51,6.75,73,2,5
bilek,wrist,1.89,0.88,1.77,0.71,1.9,0.81,2.17,1.16,1.76,0.73,6.06,6.82,42,2,5
bilgi,information,2.5,1.46,1.99,0.82,2.46,1.13,3.07,1.57,2.48,1.82,2.65,2.53,985,2,5
bilimci,scientist,4.33,2.17,2.68,1.2,4.26,1.86,4.91,1.98,5.3,2.39,3.66,5.46,18,3,7
bilişim,informatics,5.36,2.1,2.92,1.38,5.84,1.68,6.07,1.66,6.46,1.51,2.6,3.7,29,3,7
bina,building,1.99,1.12,1.74,0.78,1.82,0.74,2.41,1.34,1.98,1.31,6.05,6.78,313,2,4
bisiklet,bicycle,1.87,1.16,1.59,0.66,1.69,0.63,2.25,1.55,1.92,1.31,6.51,6.86,64,3,8
bitki,plant,2.11,1.19,1.86,0.72,2.12,1.1,2.45,1.29,2.02,1.43,5.89,6.6,234,2,5
blok,block,4.19,2.17,2.68,1.19,4.2,1.89,4.89,2.06,4.87,2.46,4.15,5.55,51,2,4
boğa,bull,2.16,1.25,1.9,0.82,2.2,1.11,2.51,1.44,2.04,1.41,6.18,6.84,38,2,4
borçlu,indebted,3.22,1.82,2.28,0.94,3.65,1.57,3.7,1.72,3.28,2.33,3.08,4.32,32,2,6
boru,pipe,2.19,1.26,1.97,0.72,2.39,1.14,2.3,1.33,2.13,1.59,6.32,6.89,80,2,4
boya,paint,1.76,0.92,1.69,0.87,1.62,0.72,1.99,1.14,1.73,0.85,5.35,6.43,98,2,4
boza,fermented millet drink,3.56,2.06,3.02,1.46,3.89,1.85,4.1,2.17,3.24,2.37,6.33,6.64,4,2,4
böcek,insect,1.5,0.6,1.43,0.55,1.46,0.5,1.62,0.71,1.49,0.62,6.32,6.75,37,2,5
bölüm,section,3.19,1.84,2.28,0.94,3.06,1.48,3.79,1.6,3.58,2.49,3.1,3.93,682,2,5
brüt,gross,5.3,2.02,3.49,1.37,5.58,1.73,5.7,1.79,5.68,2.21,2.39,2.99,6,1,4
bulut,cloud,1.79,0.87,1.65,0.65,1.68,0.66,1.98,0.93,1.83,1.09,6.45,6.29,66,2,5
bunalım,depression,4.34,2.16,2.89,1.49,4.76,1.84,5.1,1.93,4.61,2.47,3.17,1.94,51,3,7
bunaltı,gloom,3.93,2.1,2.75,1.28,4.15,1.88,4.43,1.95,4.36,2.54,3.14,3.16,2,3,7
buz,ice,1.85,0.99,1.63,0.64,2,1.1,1.93,0.99,1.85,1.12,6.42,6.74,75,1,3
büro,office,4.02,2.07,2.93,1.07,3.7,1.82,4.76,2.01,4.57,2.48,5.43,6.37,69,2,4
büyü,magic,3.41,2.07,2.2,1.13,3.4,1.75,4.1,2.02,3.87,2.51,2.92,1.78,11,2,4
cadde,street,2.21,1.21,1.94,0.81,2.15,0.83,2.58,1.44,2.18,1.46,6.11,6.52,320,2,5
cami,mosque,1.81,0.94,1.76,0.78,1.79,0.84,1.93,0.92,1.76,1.13,6.56,6.59,188,2,4
cansız,lifeless,2.6,1.43,2.26,0.98,2.66,1.18,3.18,1.59,2.32,1.63,4.19,5.29,13,2,6
ceket,jacket,1.89,0.92,1.7,0.68,1.99,0.93,2.03,1.06,1.83,0.93,6.39,7,64,2,5
cenaze,funeral,2.36,1.42,2.08,0.92,2.44,1.31,2.69,1.49,2.24,1.71,5.4,5.51,45,3,6
cenin,embryo,5.78,1.9,3.26,1.97,6.14,1.48,5.96,1.62,6.18,1.78,4.36,5.72,5,2,5
cennet,heaven,2.34,1.37,2,0.85,2.52,1.5,2.67,1.41,2.2,1.52,3.76,1.76,84,2,6
cesur,brave,2.58,1.53,2.01,0.95,2.77,1.32,3.01,1.62,2.54,1.84,3.49,2.25,39,2,5
cevap,answer,2.03,1.11,1.83,0.67,1.85,0.76,2.29,1.25,2.12,1.43,3.99,4.35,381,2,5
cihaz,device,3.65,2.01,2.42,1.04,3.71,1.78,3.94,1.8,4.43,2.49,4.76,6.43,173,2,5
cinayet,homicide,3.34,1.81,1.59,1.01,3.43,1.58,3.83,1.64,3.51,2.39,4.5,4.71,105,3,7
cisim,object,3.01,1.66,2.31,1.08,2.9,1.04,3.63,1.61,3.15,2.21,3.64,5.84,68,2,5
çabuk,quick,1.89,1.02,1.77,0.74,1.97,1.1,2.03,1.1,1.8,1.08,2.98,2.4,141,2,5
çağrı,call,3.49,1.99,2.41,1.07,3.64,1.61,3.77,1.93,4.11,2.52,3.23,3.9,58,2,5
çamaşır,laundry,1.77,0.92,1.71,0.81,1.77,0.79,1.9,1.1,1.72,0.94,6.04,6.78,52,3,7
çare,cure,3.23,1.91,2.32,0.91,3.73,1.85,3.58,1.75,3.32,2.42,3.26,2.11,113,2,4
çehre,countenance,3.5,1.93,3.11,1.49,4.28,1.66,4.06,1.96,2.65,1.98,4.88,6.02,15,2,5
çelenk,wreath,3.42,1.81,2.82,1.08,3.58,1.49,3.92,1.64,3.45,2.43,6.08,6.71,4,2,6
çerçeve,frame,2.09,1.21,1.86,0.94,2.05,1.1,2.52,1.49,1.95,1.13,6.11,6.76,179,3,7
çığlık,scream,2.18,1.33,1.81,0.8,2.18,1.11,2.5,1.35,2.24,1.74,4.6,5.2,74,2,6
çiçek,flower,1.58,0.66,1.45,0.6,1.52,0.58,1.73,0.74,1.59,0.66,6.61,6.67,177,2,5
çiçekçi,florist,2.21,1.44,1.7,0.77,1.77,0.69,2.77,1.7,2.5,1.79,6.12,6.53,10,3,7
çikolata,chocolate,1.78,1.19,1.5,0.58,1.44,0.54,1.97,1.3,2.13,1.67,6.49,6.91,115,4,8
çirkin,ugly,1.96,1.14,1.64,0.72,1.79,0.8,2.45,1.45,1.94,1.23,4.08,2.61,63,2,6
çocuk,child,1.51,0.76,1.44,0.6,1.43,0.54,1.54,0.85,1.59,0.92,6.36,6.45,2326,2,5
çömlek,pottery,2.65,1.63,2.46,1.24,2.99,1.55,2.95,1.78,2.27,1.77,5.18,6.85,12,2,6
çubuk,stick,1.86,1.08,1.58,0.7,1.94,1.06,2.21,1.3,1.72,1.08,5.13,6.47,45,2,5
çukur,pit,2.11,1.11,2,0.78,2.25,1.06,2.26,1.36,1.94,1.14,5.93,6.39,70,2,5
damar,vein,2.68,1.4,2.3,0.89,3.1,1.4,2.98,1.41,2.41,1.63,5.29,6.52,96,2,5
damla,drop,2.14,1.14,1.97,0.79,2.09,0.95,2.48,1.31,2.03,1.32,5.87,6.64,84,2,5
dans,dance,2.37,1.71,1.76,0.73,1.77,0.92,3,1.98,2.82,2.18,4.96,5.1,68,1,4
davet,invitation,2.91,1.66,2.18,0.84,3.03,1.49,3.6,1.63,2.85,2.07,4.26,3.66,53,2,5
dayak,whipping,1.84,0.87,1.86,0.91,2.09,0.99,1.84,0.68,1.62,0.85,4.67,4.85,76,2,5
dede,grandfather,1.52,0.71,1.42,0.58,1.46,0.81,1.65,0.81,1.54,0.64,6.39,6.48,118,2,4
delik,hole,1.87,0.95,1.76,0.77,2.03,1,1.95,1.09,1.78,0.89,5.65,6.09,111,2,5
demir,iron,2.08,0.99,1.87,0.76,2.34,1.04,2.29,1.03,1.87,1.01,5.5,6.77,135,2,5
deniz,sea,1.84,1.14,1.58,0.62,1.47,0.63,2.28,1.38,1.98,1.39,6.49,6.57,509,2,5
depo,warehouse,2.96,1.65,2.19,0.82,3.22,1.4,3.56,1.61,2.9,2.12,5.58,6.67,92,2,4
dere,brook,1.97,0.91,1.79,0.74,2.11,0.92,2.18,1.05,1.84,0.86,5.96,6.86,58,2,4
deri,leather,2.19,1.25,2.04,1.12,2.62,1.43,2.23,1.25,1.96,1.13,5.55,6.74,204,2,4
dert,trouble,3.27,1.88,2.41,0.9,3.6,1.82,3.83,1.77,3.29,2.37,3.44,2.16,158,1,4
devlet,state,3.11,1.67,2.57,1.04,3.39,1.38,3.51,1.59,2.99,2.21,3.73,3.73,902,2,6
deyim,idiom,3.38,1.74,2.67,0.84,3.23,1.08,4.09,1.61,3.51,2.46,3.11,2.84,60,2,5
dikiş,seam,2.18,1.18,1.97,0.79,2.51,1.23,2.21,1.33,2.06,1.23,5.52,6.33,24,2,5
din,religion,2.22,1.23,2.01,1,2.4,1.3,2.62,1.3,1.91,1.2,3.38,2.22,261,1,3
dinamik,dynamic,4.26,2.14,2.71,1.19,4.73,1.89,4.81,1.87,4.77,2.54,3,2.76,81,3,7
dizgin,reins,3.87,2.18,2.7,1.42,4.9,1.99,4.37,2.09,3.49,2.36,3.42,5.31,8,2,6
dostluk,friendship,2.57,1.54,1.95,0.86,2.83,1.58,2.84,1.39,2.67,1.92,4.07,1.97,86,2,7
dram,drama,4.15,2.05,3.04,1.31,4.34,1.85,4.76,1.84,4.42,2.51,2.82,2.84,50,1,4
dua,prayer,1.82,0.85,1.75,0.76,1.9,0.8,1.97,0.94,1.67,0.86,4,2.84,51,2,3
dudak,lip,1.71,0.78,1.63,0.74,1.61,0.67,1.89,0.98,1.71,0.67,6.46,6.8,157,2,5
duygulu,sentimental,2.99,1.87,2.03,0.86,3.3,1.79,3.58,1.89,3.09,2.24,3.44,2.02,16,3,7
dükkân,shop,1.89,1,1.76,0.72,1.94,0.93,2.09,1.05,1.81,1.19,6.17,6.73,205,2,6
dürüst,honest,2.84,1.73,2.06,0.92,3,1.5,3.55,1.78,2.8,2.11,3.3,2.09,54,2,6
ebleh,imbecile,5.71,1.99,3.3,2.2,6.06,1.67,6,1.66,5.55,2.2,1.85,2.67,2,2,5
ekonomi,economy,4.33,2.07,2.87,1.13,3.89,1.77,4.97,1.83,5.37,2.31,3.21,3.47,336,4,7
ekran,screen,3.4,2.2,2,0.83,2.38,1.25,3.45,1.96,5.43,2.35,6.27,6.74,144,2,5
elektrik,electricity,2.3,1.45,1.99,0.78,2.01,0.98,2.56,1.62,2.57,1.92,4.57,5.31,260,4,8
elem,sorrow,4.44,2.26,2.82,1.67,5.56,1.95,4.57,1.84,3.92,2.54,2.32,1.78,11,2,4
eleştirmen,critic,4.68,2.11,3.06,1.29,4.41,1.66,5.51,1.81,2.5,2.38,3.8,5.34,22,4,10
elma,apple,1.52,0.65,1.51,0.58,1.43,0.52,1.53,0.68,1.59,0.77,6.73,6.95,64,2,4
enerjik,energetic,3.95,2.08,2.86,1.25,3.45,1.62,4.55,1.93,4.79,2.55,3.65,2.69,14,3,7
engel,obstacle,2.75,1.61,2.08,0.88,3.18,1.48,3.19,1.61,2.63,1.96,3.97,4.42,126,2,5
enginar,artichoke,3.92,2.22,2.76,1.39,3.84,1.99,4.85,2.12,4.14,2.58,5.59,6.74,31,3,7
