word_russian,pos,translate_word_english,n,valid_n,percent_known,aoa_mean,aoa_sd,frequency,frequency_zipf,concrete_mean_grigoriev2022,concrete_soloviev2022_1000,concrete_mean_soloviev2022_500,imagine_mean_grigoriev2009,imagine_mean_tsaparina2011,imagine_mean_pashneva2014,imagine_mean_akinina2014,familiar_mean_tsaparina2011,familiar_mean_grigoriev2010,familiar_mean_pashneva2014
а,conj; intj; part; s,"(and, but); a (the letter)",24,24,1,3.291666667,2.17653827,8226.6,6.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абажур,s,lampshade,21,18,0.857142857,10.66666667,3.067859955,4.9,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
аббат,s,abbot,25,9,0.36,11.66666667,3.240370349,1.6,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
аббатство,s,abbey,21,18,0.857142857,13.38888889,2.592724864,0.9,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
аббревиатура,s,"abbreviation, acronym",22,22,1,12.09090909,2.524340384,3.5,3.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
аберрация,s,aberration,21,4,0.19047619,17,1.154700538,0.7,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абзац,s,paragraph; indent,21,21,1,7.80952381,1.364516311,10.2,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абитуриент,s,"university applicant, entrant",1623,1606,0.98952557,14.69053549,2.295762877,4,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абонемент,s,"subscription, season ticket",26,26,1,11,3.3346664,1.8,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абонементный,a,subscription,20,20,1,12.55,1.904979624,0.4,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абонент,s,"subscriber, user",28,28,1,9.714285714,2.447328746,10.6,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абонентский,a,subscriber,21,21,1,10.66666667,3.890158523,2.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абордаж,s,boarding (in naval combat),24,22,0.916666667,10.40909091,2.519619981,0.5,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абориген,s,"aborigine, native, indigenous person",26,26,1,9.461538462,3.361318423,5.8,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
аборт,s,abortion,20,20,1,12.5,2.305599591,8.3,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абракадабра,s,"abracadabra, gibberish",23,23,1,4.869565217,1.423962073,1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абрикос,s,apricot,24,24,1,4.708333333,2.053187695,3.3,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абрикосовый,a,apricot,24,24,1,5.416666667,1.909169331,1.2,2.2,6.545454545,NA,NA,NA,NA,NA,NA,NA,NA,NA
абрис,s,"outline, sketch",30,4,0.133333333,15.75,5.678908346,1.1,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абсолют,s,the absolute (philosophy),23,21,0.913043478,12.95238095,2.991257102,2.9,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абсолютизация,s,"absolutization, making absolute",25,23,0.92,15.2173913,2.61040787,0.6,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абсолютизировать,v,"to absolutize, to treat as absolute",23,20,0.869565217,14.85,2.254235779,0.5,1.37,3.142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA
абсолютизм,s,absolutism,20,19,0.95,12.78947368,2.417044738,1.2,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абсолютно,adv,absolutely,21,21,1,9.142857143,2.475595167,88.2,4.9,2.909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA
абсолютность,s,absoluteness,20,20,1,12.2,3.172248082,0.4,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абсолютный,a,absolute,24,24,1,9.541666667,3.10650323,42.3,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абстрагирование,s,abstraction (the process),21,20,0.952380952,12.95,2.372540278,0.5,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абстрагироваться,v,"to abstract, to distance oneself",20,20,1,13.05,1.431782106,1,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абстрактно,adv,abstractly,23,22,0.956521739,13.5,2.064438123,0.7,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абстрактный,a,abstract,20,20,1,12.2,3.205258837,15.9,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абстракционизм,s,abstract art,1626,1548,0.95202952,14.55749354,3.028189374,0.6,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абстракционист,s,abstract artist,22,22,1,13.63636364,2.536316312,0.6,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абстракция,s,abstraction,21,20,0.952380952,12.55,3.017056774,5.6,2.86,NA,NA,NA,4.21,NA,NA,NA,NA,NA,NA
абсурд,s,absurdity,22,22,1,11.22727273,2.990967644,9.1,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абсурдно,adv,absurdly,26,26,1,12.53846154,2.611218401,1.3,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абсурдность,s,absurdity,20,20,1,12.35,2.560324815,1.5,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абсурдный,a,absurd,20,20,1,10.45,2.892367451,4.5,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
абсцисса,s,abscissa (x-axis coordinate),20,19,0.95,13.31578947,1.66842013,0.9,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авангард,s,"vanguard, avant-garde",23,23,1,12.04347826,2.619477062,9.8,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авангардизм,s,avant-gardism,22,16,0.727272727,14.4375,2.128183889,0.5,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авангардист,s,avant-gardist,25,21,0.84,14.19047619,2.293884208,1.6,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авангардистский,a,avant-garde (related to the artist/movement),22,17,0.772727273,14.52941176,3.16460201,0.6,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авангардный,a,"avant-garde, advanced",20,15,0.75,12,2.390457219,3.4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
аванс,s,"advance payment, advance",23,23,1,11.30434783,3.25345666,7.1,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авансовый,a,advance,20,20,1,12.75,3.006571749,1.4,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
авансцена,s,"forestage, apron stage",20,8,0.4,14.625,3.159452936,2.5,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
