word_spanish,translate_word_english,pos,valence_mean,valence_sd,valence_n,arousal_mean,arousal_sd,arousal_n,concrete_mean,concrete_sd,concrete_n,imagine_mean,imagine_sd,imagine_n,availability_mean,availability_sd,availability_n,familiar_mean,familiar_sd,familiar_n
abandono,abandonment,N V,1.09,0.29,23,7.85,1.42,20,4.52,1.73,23,3.7,1.77,23,3.95,1.76,22,5.65,1.27,20
abanico,fan,N V,5.64,0.99,28,3.57,2.02,23,5.64,1.56,22,6.86,0.36,21,4.67,1.93,21,5.15,2.06,20
abeja,bee,N,2.9,1.62,20,7.14,1.61,22,6.86,0.35,22,6.77,0.53,22,5.78,1.88,23,5.48,2.02,21
abejorro,bumblebee,N,3.4,1.31,20,6.95,1.91,22,6.59,0.8,22,6.35,1.27,20,4.96,2.16,23,4.32,2.03,22
abismo,abyss,N V,2.95,1.2,21,6.55,1.68,22,3.75,1.59,20,3.9,2.2,20,4.35,1.93,20,4.74,1.94,23
abnegación,abnegation,N,3.9,1.8,20,4.91,1.77,22,2.18,1.01,22,1.45,1.34,22,1.96,1.74,23,1.77,0.87,22
abogada,lawyer,N,5.05,1.15,20,4.95,1.82,20,5.57,1.16,21,5.8,1.58,20,5.18,2.06,22,5.61,1.75,23
aborto,abortion,N,2.5,1.5,20,6.9,1.52,20,5.75,1.41,20,3.3,1.56,20,5,1.92,20,6.14,0.91,21
abrigo,coat,N V,4.4,1.7,20,3.75,1.65,20,4.33,1.43,21,6.96,0.21,23,6,1.6,22,6.71,0.64,21
abstinente,abstinent,A,3.45,1.43,20,3.64,2.08,22,4.52,2.06,23,2.09,1.35,23,2.74,2.14,23,3.15,1.81,20
absurdo,absurd,A N,4.05,1.17,22,4.23,1.93,22,3.23,1.66,22,1.86,1.42,22,3.14,1.58,22,5.64,1.33,22
abuela,grandmother,N,8.2,1.06,20,2.2,1.51,20,5.86,1.39,21,6.75,0.64,20,6.73,0.63,22,6.67,0.8,21
abuso,abuse,N,1.71,0.85,21,7.2,1.24,20,3.6,1.54,20,3.14,1.65,21,5.59,1.26,22,5.4,1.47,20
accidente,accident,N,1.52,0.68,21,7.5,1.3,22,4.2,1.36,20,5.73,1.28,22,6.35,1.31,20,5.9,1.68,20
acción,action,N,6.43,1.44,23,6.95,1.81,22,2.05,1.36,20,3.81,1.78,21,4.45,2.24,22,6.45,1.39,20
acelerador,accelerator,N,5.9,1.21,20,6.64,1.89,22,5.86,0.65,21,4.73,1.98,22,5.09,2.17,23,5.86,1.53,21
acento,accent,N,5.23,1.27,22,4.77,1.9,22,3.3,1.56,20,4.33,2.03,21,5.5,1.73,20,5.8,1.58,20
aceptación,acceptance,N,8.35,1.14,20,5.36,2.52,22,2.95,1.64,20,3.29,2.1,21,3.35,1.9,23,5.85,1.46,20
acera,sidewalk,N V,4.96,0.21,23,3.9,1.74,20,6.32,0.99,22,6.36,0.9,22,5.77,1.88,22,6.33,0.73,21
acidez,acidity,N,4.09,1.54,22,6.14,1.7,22,4.91,1.76,23,2.7,1.74,23,3.91,2.45,22,4.96,1.94,23
ácido,acid,A N,4,2.14,21,6.8,1.91,20,5.1,1.64,21,3.59,1.87,22,4.95,2.42,20,5.73,1.35,22
acierto,confidence,N V,7.8,1.96,20,5.45,2.15,22,4.52,1.78,23,3.3,1.82,23,4.83,2.08,23,6,1.34,20
acoso,harassment,N V,1.43,0.66,23,7.95,1.32,20,3.09,1.48,22,3.13,1.36,23,4.18,2.28,22,5,2.05,21
acre,acre,N A,4.91,0.43,22,3.65,1.84,20,4.4,2.06,20,2.1,1.64,21,1.14,0.47,22,1.77,1.31,22
activar,to enable,V,5.73,1.03,22,6.36,1.65,22,3.87,2.16,23,3.04,2.23,23,3.64,2.22,22,5.15,1.42,20
acto,event,N,5.83,1.4,24,6.19,1.69,21,3.23,1.69,22,1.91,1.02,22,4.4,2.16,20,5.41,1.53,22
acuerdo,agreement,V N,6.57,1.2,23,4,2.22,20,3.15,1.81,20,3.32,1.78,22,4.32,1.67,22,5.75,1.55,20
ademán,gesture,N,5.1,0.44,21,3.5,1.82,20,3.23,1.82,22,2.85,1.76,20,1.32,0.78,22,3.32,1.89,22
adicción,addiction,N,2.61,1.92,23,6.85,2.08,20,3.82,1.89,22,3.86,1.49,21,4.86,1.81,22,5.48,1.47,21
adiós,bye-bye,I N,2.21,1.35,24,4.76,1.97,21,5.86,1.35,21,3.73,2.1,22,6.2,1.15,20,6.82,0.39,22
admiración,admiration,N,7.5,1.01,22,5.8,2.46,20,2.8,1.64,20,2.43,1.25,21,5.17,1.9,24,5.05,2.06,20
admirado,admired,V,6.95,1.1,20,6.68,1.89,22,3.74,1.6,23,4.17,1.99,23,4.86,2.19,22,5.24,1.51,21
adolescente,teenager,A,5.91,1.9,23,5.64,1.92,22,6,1.14,21,5.62,1.07,21,6.32,0.99,22,6.73,0.88,22
adopción,adoption,N,5.25,1.98,24,5.48,2.48,21,4.6,1.54,20,3.2,1.82,20,5.7,1.75,20,5.64,1.62,22
adoración,worship,N,7,1.86,20,3.14,2.08,22,2.23,1.27,22,3.36,1.73,22,4.61,2.19,23,4.05,1.86,21
adulterio,adultery,N,3.45,1.85,20,7.59,1.33,22,5.27,1.78,22,4,1.9,21,3.61,2.62,23,3.95,1.86,22
adversario,adversary,N,4,1.35,23,6.41,1.71,22,3.85,1.69,20,3.38,1.5,21,4.68,2.12,22,5.1,2.07,21
aeropuerto,airport,N,6.38,2.1,24,5.29,2.05,21,6.55,0.76,20,6.65,0.81,20,6.5,0.83,20,6.18,1.05,22
afortunado,lucky,A,7.45,1.19,20,5.25,2.29,20,4.4,1.54,20,3.5,1.64,20,4.85,2.06,20,5.6,1.35,20
agente,agent,A N,4.57,1.4,21,5.05,1.59,22,3.8,1.36,20,5.55,1.5,20,5.15,2.21,20,5.43,1.85,23
agobiado,overwhelmed,A V,2.24,1.14,21,7.1,1.51,21,4.78,1.73,23,3.96,2.01,23,5.73,1.52,22,6.6,0.68,20
agresividad,aggressiveness,N,1.77,1.15,22,7.15,1.46,20,4.78,1.78,23,4.61,2.06,23,5.04,1.71,24,5.9,1.51,21
agresivo,aggressive,A,2,1.22,21,7.62,1.12,21,5.09,1.65,23,4.74,2.07,23,5.27,1.91,22,5.65,1.39,20
agricultor,farmer,N,5.57,1.26,28,3.87,2.01,23,5.64,1.18,22,6.05,1.16,21,5.05,1.77,21,6,1.62,23
aguanieve,sleet,N,5.71,1.38,21,3.33,1.96,21,6.3,1.03,20,5.19,1.75,21,3.73,1.96,22,4.7,2.2,20
aguardiente,brandy,N,4.73,1.72,22,5.25,2,20,6.41,0.8,22,5.91,1.23,22,4.33,2.1,24,4.9,2.02,21
agudo,sharp,A,4.7,1.38,20,5.14,1.98,22,3.5,1.77,22,1.82,1.56,22,2.85,1.76,20,5.19,1.66,21
aguijón,sting,N,2.45,1.5,22,7,1.86,20,5.82,1.33,22,5.75,1.52,20,3.63,2.62,24,3.67,2.06,21
águila,eagle,N,5.4,1.19,20,4.9,1.94,20,6.8,0.41,20,6.85,0.67,20,5,2.29,20,5.67,1.2,21
aguja,needle,N,4.09,1.59,23,5.75,1.89,20,5.77,1.57,22,6.86,0.35,22,6.14,1.21,22,6,1.26,21
ahogarse,to drown,V,1.75,1.16,20,7.9,1.18,21,5.17,1.97,23,5.7,1.69,23,5.41,1.84,22,4.9,1.22,21
aislamiento,isolation,N,1.82,0.96,22,4.5,2.48,20,3,1.62,20,3.13,1.58,23,3.79,2.17,24,4.55,1.96,20
ajedrez,chess,N,4.86,1.46,21,3.27,1.61,22,6.18,1.37,22,6.91,0.29,22,5.4,1.47,20,5.2,1.82,20
albergue,hostel,V N,5.96,2.12,24,5.24,2.36,21,6.05,0.72,22,5.32,1.39,22,6,1.38,20,5,1.62,20
alcaldesa,mayor,N,4.38,1.65,26,5,1.86,20,6.38,0.74,21,3.6,1.98,20,4.18,1.94,22,5.64,1.62,22
alfiler,pin,N,4.27,1.48,26,4.8,1.99,20,6.43,0.87,21,6.9,0.31,20,4.32,2.25,22,5,1.75,22
alianza,alliance,N,6.83,1.44,23,4.65,2.64,20,4.36,1.97,22,6.05,1.73,22,4.55,2.2,22,4.75,2.07,20
aliento,breath,V N,4.65,1.42,20,3.52,2.04,21,4.81,1.6,21,2.5,1.85,22,5.45,1.67,20,5.67,1.77,21
alivio,relief,V N,7.59,1.01,22,1.6,1.14,20,2.95,1.29,22,2.85,1.53,20,5.27,1.88,22,5.55,1.34,22
alma,soul,N A,6.64,1.65,22,3.45,2.39,20,2.38,1.99,21,2.9,1.8,20,4.32,1.76,22,5.7,1.75,20
altercado,altercation,N V,2.5,1.5,20,7.09,1.34,22,2.9,1.61,21,3.45,1.82,20,3.3,2.22,23,4.39,1.97,23
aluminio,aluminum,N,4.32,1.25,22,3.4,1.96,20,5.29,1.85,21,5.14,1.88,22,4.21,2.26,24,4.9,1.59,20
alumno,student,N,5.42,1.27,26,4.65,1.46,20,5.38,1.6,21,5.95,1.15,20,6.55,0.86,22,6.76,0.62,21
amabilidad,kindness,N,7.77,0.97,22,3.75,2.67,20,4.05,2.04,20,2.8,1.64,20,5.38,1.58,24,6.5,1,20
amado,loved,N V,8.23,0.87,22,5.59,2.63,22,3.8,1.58,20,4,1.75,20,5.3,1.75,20,5.23,1.95,22
amante,lover,A N,4.95,2.44,21,6.09,2.31,22,4.76,1.37,21,4.1,2.02,20,4.65,1.82,23,5.95,1.4,21
amargura,bitterness,N,1.96,0.82,23,7.3,1.38,20,2.14,0.83,22,2.52,1.41,23,3.32,1.96,22,4.38,1.88,21
ambición,ambition,N,4.5,2.15,24,5.76,1.73,21,2.91,1.9,22,2,1.41,23,3.5,2.01,20,5.45,1.39,20
ambiente,atmosphere,V A N,5.95,1.09,22,2.65,1.76,20,2.71,1.42,21,2.77,1.82,22,4.91,2.14,22,5.62,1.28,21
ambulancia,ambulance,N,2.65,1.04,20,6.82,1.14,22,6.8,0.52,20,6.85,0.37,20,6.35,1.27,20,6.32,0.95,22
ametralladora,machine gun,A N,2.6,1.79,20,7.3,1.38,20,6.55,1.3,22,6.3,1.08,20,4.39,2.39,23,4.57,1.96,21
amiga,friend,V N A,8.4,0.94,20,3.05,2.24,20,4.1,1.81,21,5.68,1.13,22,6.64,1.05,22,6.71,0.9,21
ampliación,extension,N,6.39,1.41,23,3.95,1.86,22,2.7,1.69,20,2.3,1.11,23,3.68,2.12,22,5.05,1.56,22
amplitud,amplitude,N,6.42,1.25,24,3.86,2.06,21,3.25,2.12,20,2.23,1.19,22,3.55,2.01,20,5.55,1.61,20
análisis,analysis,N,4.14,1.88,22,6.15,2.32,20,2.85,2.08,20,3.25,1.68,20,4.82,1.99,22,6.45,1.19,20
analista,analyst,N,5.07,1.41,28,4.74,2.2,23,3.27,1.86,22,2.29,1.52,21,2.24,1.61,21,4.27,1.93,22
analogía,analogy,N,5,0.31,22,3.75,1.77,20,2.41,1.68,22,1.9,1.14,21,1.64,1.33,22,3.75,1.94,20
anfitrión,host,N,6.79,1.41,24,5.95,2.04,21,5.55,1.3,22,4.19,1.57,21,4.2,2.42,20,4.71,1.23,21
angustia,distress,N V,1.86,0.83,22,7.6,2.06,20,3.27,1.45,22,2.59,1.33,22,4.79,1.89,24,5.26,1.96,23
anillo,ring,N V,6.55,1.18,22,4.85,2.18,20,6.14,1.31,21,6.85,0.67,20,6.05,1.85,20,6.38,1.36,21
ánimo,mood,N I,7.14,1.2,21,5.59,2.06,22,2.73,1.45,22,1.91,1.44,22,4.18,2.08,22,6,1.78,23
anorak,anorak,N,4.7,1.78,20,4.3,1.72,20,5.9,1.14,21,6.57,0.81,21,5.09,2.02,22,5.1,1.89,21
antecedente,antecedent,A N,4.1,1.09,21,5.55,1.32,20,3.61,1.8,23,2.26,1.54,23,3.05,1.65,22,4.5,1.74,22
anticuario,antique,N,4.18,1.14,22,3,1.86,20,5.77,1.41,22,5.09,1.5,23,3.5,2.04,24,3.2,1.88,20
antorcha,torch,N,5.3,1.17,20,3.95,2.17,22,6.7,0.57,20,6.7,0.57,20,5.17,2.33,23,4.48,1.57,21
antropólogo,anthropologist,N,4.95,0.65,22,3.75,1.83,20,6.18,1.53,22,4.3,1.89,23,2.17,1.55,24,3.41,1.79,22
añoranza,yearning,N,2.35,1.3,23,4.95,2.52,22,3,1.92,21,1.82,1.4,22,5.14,2.14,22,4.18,1.65,22
aparato,apparatus,V N,4.68,0.78,22,3.85,1.76,20,2.25,1.25,20,4,2.37,22,4.36,2.15,22,6.05,0.94,20
apariencia,appearance,N,4.55,0.94,20,4.73,1.8,22,3.27,1.72,22,2.18,1.56,22,4.36,1.99,22,5.1,1.92,21
apartamento,apartment,N,6.32,1.49,22,3.65,2.03,20,6.18,1.14,22,6.55,0.6,22,6.23,1.27,22,6.05,1.09,22
aperitivo,aperitif,A N,6.86,1.21,22,5.6,2.44,20,5.09,1.66,22,5.59,1.37,22,5.71,1.52,24,6.27,0.94,22
aplauso,applause,N,7.57,1.27,23,5.91,2.58,22,5.4,1.6,20,6.5,1.06,22,6.27,0.88,22,6.3,1.56,20
aprecio,appreciation,V N,7.91,1.02,22,3.65,2.66,20,3.1,1.77,20,3.33,2.27,21,5.77,1.38,22,6.05,1.21,22
aptitud,aptitude,N,7.4,1.14,20,5.18,1.76,22,2.75,1.71,20,1.68,1.25,22,3.83,2.15,23,5.09,1.66,22
apuros,trouble,N,2.7,1.17,20,6.23,2.39,22,3.91,1.47,23,2.57,1.75,23,3.82,1.94,22,4.9,1.81,21
araña,spider,N V,3.4,1.27,20,7.27,1.03,22,6.55,0.76,20,6.85,0.37,20,6.1,1.37,20,5.5,1.64,20
árbitro,referee,A N,5,0.73,20,5.8,2.14,20,5.14,1.2,21,6.65,0.49,23,6.26,1.1,23,5.86,1.52,22
argumento,argument,V N,5.59,0.85,22,4.25,2,20,3.05,1.66,21,2.33,1.24,21,4.91,1.95,22,5.78,1.68,23
armario,cabinet,N,4.95,0.51,20,4,1.93,22,6.5,1.1,20,6.9,0.3,21,6.18,1.5,22,7,0,23
armonía,harmony,N,7.87,0.97,23,3.2,2.59,20,2.45,1.63,22,2.09,1.23,22,4.09,2.22,22,4.83,2.04,23
arrebatar,to snatch,V,2.64,1.43,22,7.65,1.27,20,3.67,2.06,21,2.27,1.39,22,3.45,2.13,22,3.76,1.92,21
arroyo,stream,V N,4.74,1.66,23,4.05,2.5,22,5.86,1.28,21,5.73,1.55,22,3.77,2.2,22,4.32,2.06,22
arroz,rice,N,5.14,0.35,22,3.77,1.48,22,6.41,0.91,22,6.85,0.67,20,6.09,1.54,22,6.91,0.29,23
artefacto,artifact,N,3.86,1.39,22,6.2,2.26,20,2.86,1.86,22,2.73,1.75,22,2.68,1.86,22,3.81,2.02,21
artesana,artisan,A N,6.07,1.41,28,3.65,2.04,23,4.5,1.68,22,3.76,2.07,21,3.76,2,21,4.82,1.92,22
artículo,article,N,4.9,0.94,21,3.86,1.93,21,2.73,1.64,22,4.85,2.03,20,5.18,1.97,22,6.3,0.66,20
