word_polish,translate_word_english,pos,length,frequency_subtlex_pl,frequency_kazojc2011,valence_n,valence_minimum,valence_maximum,valence_mean,valence_sd,arousal_n,arousal_minimum,arousal_maximum,arousal_mean,arousal_sd,dominance_n,dominance_minimum,dominance_maximum,dominance_mean,dominance_sd,origin_n,origin_minimum,origin_maximum,origin_mean,origin_sd,significance_n,significance_minimum,significance_maximum,significance_mean,significance_sd,concrete_n,concrete_minimum,concrete_maximum,concrete_mean,concrete_sd,imagine_n,imagine_minimum,imagine_maximum,imagine_mean,imagine_sd,aoa_n,aoa_minimum,aoa_maximum,aoa_mean,aoa_sd,valence_n_female,valence_minimum_female,valence_maximum_female,valence_mean_female,valence_sd_female,arousal_n_female,arousal_minimum_female,arousal_maximum_female,arousal_mean_female,arousal_sd_female,dominance_n_female,dominance_minimum_female,dominance_maximum_female,dominance_mean_female,dominance_sd_female,origin_n_female,origin_minimum_female,origin_maximum_female,origin_mean_female,origin_sd_female,significance_n_female,significance_minimum_female,significance_maximum_female,significance_mean_female,significance_sd_female,concrete_n_female,concrete_minimum_female,concrete_maximum_female,concrete_mean_female,concrete_sd_female,imagine_n_female,imagine_minimum_female,imagine_maximum_female,imagine_mean_female,imagine_sd_female,aoa_n_female,aoa_minimum_female,aoa_maximum_female,aoa_mean_female,aoa_sd_female,valence_n_male,valence_minimum_male,valence_maximum_male,valence_mean_male,valence_sd_male,arousal_n_male,arousal_minimum_male,arousal_maximum_male,arousal_mean_male,arousal_sd_male,dominance_n_male,dominance_minimum_male,dominance_maximum_male,dominance_mean_male,dominance_sd_male,origin_n_male,origin_minimum_male,origin_maximum_male,origin_mean_male,origin_sd_male,significance_n_male,significance_minimum_male,significance_maximum_male,significance_mean_male,significance_sd_male,concrete_n_male,concrete_minimum_male,concrete_maximum_male,concrete_mean_male,concrete_sd_male,imagine_n_male,imagine_minimum_male,imagine_maximum_male,imagine_mean_male,imagine_sd_male,aoa_n_male,aoa_minimum_male,aoa_maximum_male,aoa_mean_male,aoa_sd_male
aborcja,abortion,N,7,113,30,50,1,7,2.6,1.72614942479922,50,1,9,6.34,2.42949562246814,50,1,8,4.08,2.04879257622829,50,1,9,4.68,2.37710164799446,50,1,9,4.76,2.83246485289,50,1,9,3.56,2.25116749755339,50,1,9,6.48,2.31446207440899,50,4,18,13.02,3.32271096595315,25,1,6,2.44,1.66032125405497,25,1,9,6.72,2.15096877398689,25,1,8,4.24,2.20378462347541,25,1,9,4.72,2.49198715887542,25,1,9,5.44,3.00111090542597,25,1,9,3,2.14087209644419,25,3,9,6.84,2.11502561056204,25,4,18,13,3.8405728739343,25,1,7,2.76,1.80923556601492,25,1,9,5.96,2.66895734947813,25,1,8,3.92,1.9131126469709,25,1,9,4.64,2.30723499742296,25,1,9,4.08,2.53179778023443,25,1,8,4.12,2.26053091109146,25,1,9,6.12,2.48864086065735,25,7,18,13.04,2.79105714739057
absolwent,graduate,N,9,130,206,50,4,9,6.38,1.25989957487711,50,1,8,3.9,2.14998813475606,50,3,9,6.2,1.37023757808935,50,1,9,6.56,2.18678778493171,50,1,9,4.38,2.23049367647979,50,1,8,3.44,2.34877301880738,50,1,9,6.64,2.21091909967464,50,3,18,11.56,3.63744696293475,25,4,9,6.32,1.40593978059754,25,1,8,4.12,2.33309522594628,25,3,8,6.08,1.35154232884755,25,3,9,7,1.5545631755148,25,1,9,4.52,2.41729876790879,25,1,8,2.68,2.096027989635,25,2,9,6.92,2.27156333832011,25,3,18,11.16,3.60185137579736,25,4,8,6.44,1.12101144805335,25,1,7,3.68,1.9731531449265,25,3,9,6.32,1.40593978059754,25,1,9,6.12,2.63502055652956,25,1,9,4.24,2.06720423116182,25,1,8,4.2,2.38047614284762,25,1,9,6.36,2.15793110795194,25,6,18,11.96,3.70225156717728
absurd,absurd,N,6,976,623,50,2,8,4.22,1.34452783609742,50,1,8,4.88,2.20981114716223,50,1,8,4.76,1.68498773688991,50,1,9,5.52,2.39250530462381,50,1,7,3.4,1.67819144635296,50,1,9,7.22,1.68171438279695,50,1,9,3.88,2.23734536576593,50,5,18,11.52,3.4299997025049,25,2,8,4.08,1.46969384566991,25,1,8,5.44,2.02237484161567,25,1,8,4.92,1.9131126469709,25,1,9,5.4,2,25,1,7,3.48,1.91746360243595,25,5,9,7.32,1.37598449603669,25,1,9,3.96,2.50798724079689,25,5,18,11.88,3.29545141065682,25,3,7,4.36,1.22065556157337,25,1,8,4.32,2.28619042659763,25,2,8,4.6,1.44337567297406,25,1,9,5.64,2.76706824394822,25,1,7,3.32,1.43527000944073,25,1,9,7.12,1.96468827043885,25,1,7,3.8,1.97905701450632,25,5,18,11.16,3.59026461420325
adres,address,N,5,6209,3495,50,4,9,5.24,0.846601850858803,50,1,8,3.08,1.98812802938455,50,2,9,5.34,1.23899234897409,50,1,9,6.82,1.6621844491082,50,1,9,3.54,2.40925087857582,50,1,9,3.52,2.43478197490168,50,1,9,6.32,2.01464029300619,50,3,12,7.04,2.20352222681815,25,4,9,5.36,1.07548438699345,25,1,7,3.32,1.9731531449265,25,3,8,5.48,1.15902257671425,25,4,9,7.12,1.36381816969859,25,1,9,3.6,2.41522945769824,25,1,7,2.92,1.89120772700057,25,4,9,6.84,1.62480768092719,25,3,11,6.8,1.93649167310371,25,4,7,5.12,0.525991127935317,25,1,8,2.84,2.01411684533611,25,2,9,5.2,1.3228756555323,25,1,9,6.52,1.89560896108172,25,1,9,3.48,2.45153013442625,25,1,9,4.12,2.7886675432304,25,1,9,5.8,2.25462487641145,25,3,12,7.28,2.45831920899897
aerozol,spray /aerosol,N,7,14,12,50,2,7,5.1,0.788954358370519,50,1,9,3.52,1.94033449672567,50,2,8,4.94,1.0956313993608,50,1,9,5.92,2.1365621823817,49,1,7,2.63265306122449,1.83364252185621,50,1,8,2.1,1.72910263384432,50,1,9,7.34,1.57285649409614,50,4,17,10.74,3.18677112514872,25,2,7,5,0.912870929175277,25,1,9,3.84,2.05507501890645,25,3,8,5.08,1.15181016954473,25,3,9,6.4,1.73205080756888,25,1,7,2.84,1.99332218503014,25,1,5,1.84,1.34412301024373,25,4,9,7.52,1.50332963783729,25,4,15,10.68,2.98216923284601,25,4,7,5.2,0.645497224367903,25,1,6,3.2,1.80277563773199,25,2,7,4.8,1.04083299973307,25,1,9,5.44,2.41660919471891,24,1,6,2.41666666666667,1.66594187138705,25,1,8,2.36,2.0387904911164,25,1,9,7.16,1.65025250593154,25,5,17,10.8,3.43996124009172
afront,affront,N,6,25,95,41,1,6,3.65853658536585,1.21675297611226,45,1,9,4.08888888888889,2.45710678184196,43,1,8,4.62790697674419,1.91514335922373,44,1,9,5.20454545454545,2.17362140703979,45,1,8,3.66666666666667,2.05603325052703,41,1,9,6.17073170731707,2.16682300874333,35,1,9,3.71428571428571,2.32089521992027,46,4,18,12.4565217391304,4.25679337707064,20,1,5,3.45,1.356271980176,22,1,8,4.31818181818182,2.39814141598911,21,2,8,5.38095238095238,1.62715059156153,21,1,9,5.47619047619048,2.50237981967262,22,1,8,3.81818181818182,2.10750051994263,21,1,9,6.52380952380952,2.293884208478,14,1,8,3.21428571428571,2.32638945838566,24,4,18,12.5833333333333,4.17983426618253,21,2,6,3.85714285714286,1.06234242529018,23,1,9,3.8695652173913,2.54601913557914,22,1,8,3.90909090909091,1.92500070276031,23,1,9,4.95652173913043,1.84583710670956,23,1,8,3.52173913043478,2.04204810773603,20,1,9,5.8,2.01572763406588,21,1,9,4.04761904761905,2.31249195622797,22,4,18,12.3181818181818,4.43349119271079
agencja,agency,N,7,1088,461,50,3,7,4.94,0.739828992927089,50,1,9,4.04,2.42402936602405,50,2,9,5.34,1.52006981579727,50,1,9,6.44,1.87529589501965,50,1,8,3.26,2.35441400482635,50,1,8,3.08,2.09800682864981,50,1,9,5.6,2.31234486517695,50,4,18,10.24,3.10733168555943,25,4,7,5,0.707106781186548,25,1,9,4.2,2.29128784747792,25,3,9,5.52,1.38804418757713,25,2,9,6.6,1.77951304200522,25,1,8,3.16,2.35725829443162,25,1,7,2.36,1.82300118851671,25,1,9,5.8,2.59807621135332,25,4,15,10.96,2.49131825880731,25,3,7,4.88,0.781024967590666,25,1,9,3.88,2.58714772159097,25,2,8,5.16,1.65025250593154,25,1,9,6.28,1.98997487421324,25,1,8,3.36,2.39582971014219,25,1,8,3.8,2.14087209644419,25,1,9,5.4,2.02072594216369,25,4,18,9.52,3.52514775104061
agonia,agony,N,6,87,143,49,1,6,1.87755102040816,1.20126067565885,49,1,9,5.59183673469388,2.70738471089521,50,1,8,2.78,1.83269624057127,48,1,9,4.72916666666667,2.49031813171794,50,1,9,4.34,2.69246871014354,49,1,9,5.40816326530612,2.48259245671182,46,1,9,5.8695652173913,2.49094980235941,50,4,18,13.08,3.48079277857027,24,1,6,1.91666666666667,1.2128538629009,24,1,9,5.45833333333333,2.79719061958938,25,1,7,2.44,1.66032125405497,23,1,9,5.39130434782609,2.44464406099952,25,1,9,5.2,2.61406452355969,25,1,9,5.12,2.57099202643649,21,2,9,6.23809523809524,2.46788901502401,25,5,18,12.76,3.65467736834138,25,1,5,1.84,1.21380943040221,25,1,9,5.72,2.66958174002346,25,1,8,3.12,1.96468827043885,25,1,9,4.12,2.42074368738204,25,1,8,3.48,2.53508711224421,24,1,9,5.70833333333333,2.40432882556635,25,1,8,5.56,2.51793566240283,25,4,18,13.4,3.34165627596057
agresja,aggression,N,7,192,129,50,1,6,2.52,1.12920416259254,50,2,9,6.8,1.74963553055941,50,1,9,6.28,2.46642764056083,50,1,9,4.1,2.30571605593842,50,1,9,4.96,2.1185285613619,50,1,9,5.52,2.13082335336961,50,1,9,6.36,1.91407248279363,50,4,15,9.32,2.55901766867121,25,1,5,2.2,1.04083299973307,25,2,9,7.04,1.83666364186079,25,1,9,6.36,2.62805377925694,25,1,9,4.6,2.44948974278318,25,1,9,4.92,2.13931453196267,25,1,9,5.6,2.12132034355964,25,3,9,7,1.73205080756888,25,4,14,9.48,2.23830292855994,25,1,6,2.84,1.14309521329882,25,3,9,6.56,1.66032125405497,25,1,9,6.2,2.34520787991171,25,1,9,3.6,2.08166599946613,25,1,9,5,2.14087209644419,25,1,9,5.44,2.18097837372741,25,1,9,5.72,1.90438091427809,25,5,15,9.16,2.88212884282897
agresywność,aggressiveness,N,11,31,66,50,1,6,2.78,1.18304346358648,50,1,9,6.24,2.30845827162562,50,1,9,5.78,2.52570458950951,50,1,8,4,2.45780721915504,50,1,8,4.04,2.32080211327454,50,1,9,6.34,1.91247248879773,50,1,9,6.16,2.13197235499173,50,4,15,9.78,2.73518271598003,25,1,4,2.4,0.957427107756338,25,1,9,6.24,2.66583320308429,25,1,9,6.04,2.60576284415908,25,1,8,4.72,2.52520626220249,25,1,8,4.48,2.36502290334223,25,1,9,6.6,1.75594229214212,25,2,9,6.72,2.24573670169353,25,4,15,9.68,2.8095076674274,25,1,6,3.16,1.28062484748657,25,3,9,6.24,1.94250697124446,25,1,9,5.52,2.46846781087648,25,1,8,3.28,2.20831761000692,25,1,7,3.6,2.23606797749979,25,1,9,6.08,2.05993527406405,25,1,8,5.6,1.89296944860009,25,6,14,9.88,2.71293199325011
