word_german,valence_mean,valence_sd,arousal_mean,arousal_sd,concrete_mean,concrete_sd,frequency,length,syllables,valence_mean_female,valence_sd_female,arousal_mean_female,arousal_sd_female,concrete_mean_female,concrete_sd_female,valence_mean_male,valence_sd_mean,arousal_mean_male,arousal_sd_mean,concrete_mean_male,concrete_sd_male
Abdruck,5.03125,0.616409,2.573771,1.839013,4.196721,2.688368,14,7,2,5.121212,0.599874,2.419355,1.857852,4.419355,2.825765,4.935484,0.629046,2.733333,1.837039,3.966667,2.566137
Abend,6.193548,1.948843,3.875,2.346899,4.984127,2.915432,8,5,2,6.03125,2.0238,4.606061,2.524126,5.59375,2.815388,6.366667,1.8842970000000001,3.096774,1.885998,4.354839,2.927438
Abfahrt,5.046875,0.966579,2.096774,1.467793,5.412698,2.60666,11,7,2,5.060606,0.966288,2.096774,1.738866,5.78125,2.459142,5.032258,0.982645,2.096774,1.164899,5.032258,2.738417
Abfall,3.828125,1.847819,3.412698,2.16001,3.467742,2.467612,12,6,2,3.939394,2.164189,3.1875,2.176673,3.46875,2.475485,3.709677,1.465004,3.645161,2.153267,3.466667,2.501494
Ablauf,5.109375,0.669451,1.903226,1.422416,6.83871,2.503725,11,6,2,5.060606,0.78817,1.967742,1.870541,7.4375,2.015064,5.16129,0.522607,1.83871,0.77875,6.2,2.8333
Absatz,4.90625,1.122904,2.612903,2.035382,4.677419,2.895866,10,6,2,5.242424,1.090593,2.75,2.24327,4.40625,2.927725,4.548387,1.059519,2.466667,1.814374,4.966667,2.882568
Abschaum,3.31746,2.354306,5.859375,2.369564,6.032258,2.579667,16,8,2,3.40625,2.298097,5.939394,2.499242,6.65625,2.179218,3.225807,2.445536,5.774194,2.261411,5.366667,2.834314
Abscheu,3.546875,2.308918,5.693548,2.570888,7.709677,1.673194,13,7,2,3.393939,2.474108,6.34375,2.134349,8,1.077632,3.709677,2.147767,5,2.840593,7.4,2.110728
Absicht,4.921875,0.802866,2.725807,2.065877,6.885246,2.367125,10,7,2,4.878788,0.857233,2.83871,2.192362,7.5,1.813925,4.967742,0.752058,2.612903,1.960908,6.206897,2.730506
Abstand,4.921875,0.822399,2.640625,2.002912,5.936508,2.681315,10,7,2,4.909091,0.804815,2.484849,2.048188,6.09375,2.506242,4.935484,0.853834,2.806452,1.97348,5.774194,2.883397
Abstieg,3.890625,2.05571,3.428571,2.360387,6.047619,2.517222,11,7,2,4.272727,2.035202,2.96875,2.132458,5.96875,2.264514,3.483871,2.030943,3.903226,2.521307,6.129032,2.789766
Absturz,3.746032,2.071062,4.68254,2.595439,6.016129,2.595658,11,7,2,3.666667,2.131119,4.393939,2.6213,6.096774,2.624942,3.833333,2.035603,5,2.57307,5.935484,2.606856
Abteil,5.015625,0.967605,1.8,1.350455,2.761905,2.130533,14,6,2,4.969697,0.636634,1.870968,1.648068,2.6875,2.116563,5.064516,1.23654,1.724138,0.959782,2.83871,2.177105
Abzweig,4.875,0.899735,2.3125,1.660704,5.476191,2.428707,16,7,2,4.909091,0.979912,2.272727,1.858641,5.5625,2.242371,4.83871,0.820438,2.354839,1.45025,5.387097,2.641684
Achse,5.140625,1.036894,2.114754,1.732997,2.888889,2.300849,12,5,2,5.121212,0.857233,2.033333,2.008316,2.90625,2.332925,5.16129,1.213721,2.193548,1.447282,2.870968,2.305673
Advent,6.301587,2.060652,4.079365,2.671846,5.306452,2.928597,13,6,2,6.424242,2.208369,4.5625,2.839099,5.875,2.791115,6.166667,1.913353,3.580645,2.432751,4.7,2.995974
Ahorn,5.421875,1.366315,2.603175,2.052062,1.693548,1.249114,15,5,2,5.454546,1.393981,2.6875,2.176673,1.46875,0.87931,5.387097,1.358367,2.516129,1.947151,1.933333,1.529781
Aids,2.714286,2.755807,7.253968,2.08658,5.370968,2.993073,11,4,1,2.90625,2.866485,7.060606,2.524126,5.53125,3.037235,2.516129,2.669219,7.466667,1.47936,5.2,2.98733
Akkord,5.396825,1.465074,3.301587,2.211662,5.677419,2.803828,14,6,2,5.454546,1.3484,3.34375,2.266294,6.03125,2.645561,5.333333,1.604591,3.258065,2.190399,5.3,2.961244
Akne,3.370968,2.299208,5.234375,2.492797,2.349206,1.815336,16,4,2,3.580645,2.432751,5.363636,2.571699,2.53125,2.047569,3.16129,2.177105,5.096774,2.440694,2.16129,1.551274
Akte,4.578125,1.244731,2.491803,2.141829,2.698413,2.182296,12,4,2,4.757576,1.118881,2.866667,2.501494,2.84375,2.370645,4.387097,1.358367,2.129032,1.688035,2.548387,1.99731
Akteur,5.349206,1.018518,3.484375,2.16019,4.777778,2.5806,13,6,2,5.242424,0.86711800000000006,3.515152,2.425402,4.875,2.419677,5.466667,1.166585,3.451613,1.876854,4.677419,2.773531
Akzent,5.421875,1.561488,3.515625,2.145443,6.33871,2.462463,12,6,2,5.363636,1.67366,3.393939,1.818987,6.96875,2.132458,5.483871,1.457646,3.645161,2.470471,5.666667,2.643578
Album,5.328125,1.2731,2.714286,1.852884,2.741936,2.126611,11,5,2,5.121212,1.430856,2.65625,1.842323,2.34375,1.824729,5.548387,1.059519,2.774194,1.892259,3.166667,2.364731
Alge,4.75,1.356934,2.590164,2.147689,2.032258,1.425387,17,4,2,4.636364,1.41019,2.419355,2.094026,2.03125,1.616136,4.870968,1.310011,2.766667,2.223438,2.033333,1.217214
Ampel,4.90625,0.849253,2.387097,2.075263,1.746032,1.469784,12,5,2,4.939394,0.555619,2.16129,2.16174,1.46875,0.841825,4.870968,1.087564,2.612903,1.994616,2.032258,1.888277
Amsel,5.640625,1.483959,2.444444,1.739279,1.492064,0.99795,15,5,2,5.757576,1.820548,2.59375,1.793526,1.25,0.567962,5.516129,1.028623,2.290323,1.69693,1.741936,1.264061
Andrang,4.578125,1.306937,3.253968,1.942465,6.253968,2.299848,12,7,2,4.666667,1.428869,3.515152,2.048188,6.90625,2.115372,4.483871,1.179575,2.966667,1.809617,5.580645,2.320549
Anfahrt,5.111111,0.625045,2.387097,1.994705,5.825397,2.537078,14,7,2,5.03125,0.646797,2.5,2.09454,6.15625,2.384214,5.193548,0.601074,2.266667,1.910648,5.483871,2.681678
Angel,5.0625,1.081959,2.129032,1.498457,1.507937,1.07573,13,5,2,4.969697,1.131505,2.290323,1.865361,1.375,0.707107,5.16129,1.035914,1.967742,1.016001,1.645161,1.355197
