word_chinese_simplified,word_pinyin,age_of_learning,aoa_mean,concrete_mean,familiar_mean,imagine_mean
哀,ai1,7,4.51,4.19,5.06,5.46
埃,ai1,12,5.25,4.67,4.91,3.81
挨,ai1,4,4.34,4.43,5.58,5.25
癌,ai2,16,5.94,5.51,6.43,6.44
矮,ai3,3,3.41,5.3,6.83,6.55
爱,ai4,1,3.35,4.15,6.68,5.39
碍,ai4,7,5.11,3.92,4.97,4
安,an1,2,3.46,3.23,5.77,4.18
鞍,an1,13,5.49,5.38,5.68,4.97
岸,an4,1,3.74,6.06,5.94,6.74
案,an4,3,4.39,4.68,6,5.25
暗,an4,4,3.74,5.23,6.8,6.18
昂,ang2,4,4.77,4.08,5.81,4.94
凹,ao1,9,4.72,5.24,5.48,6.25
熬,ao2,7,5.21,4.69,6.19,5.17
袄,ao3,11,4.26,6.49,6.35,5.68
扒,ba1,2,3.87,5.65,6.52,5.56
疤,ba1,13,4.64,6.47,6.71,6.39
笆,ba1,4,4.92,5.72,5,4.73
拔,ba2,2,3.81,5.54,6.13,6.25
靶,ba3,15,5.56,6.39,6,5.94
坝,ba4,8,4.75,6.31,5.39,6.43
爸,ba4,1,2.21,6.76,7,6.94
罢,ba4,8,5,3.76,5.23,4.04
霸,ba4,15,5.23,4.1,5.5,4.45
掰,bai1,2,5.03,5.51,5.78,5.91
白,bai2,1,2.64,5.78,6.81,6.47
柏,bai3,3,4.5,6.53,6.29,5.55
摆,bai3,2,4.05,5.54,6.48,5.84
败,bai4,5,4.03,4.53,5.65,5.25
拜,bai4,6,4.5,4.72,6.39,5.13
扳,ban1,14,4.9,5.1,5.5,4.77
班,ban1,5,3.63,5.44,6.5,5.45
颁,ban1,19,5.14,4.65,5.45,4.96
斑,ban1,6,4.42,5.38,5.74,5.79
搬,ban1,2,4.05,5.49,6.61,5.48
板,ban3,3,3.77,6.31,6.33,6.26
办,ban4,1,3.67,3.73,5.87,3.82
伴,ban4,3,3.56,4.43,6.23,5.76
扮,ban4,3,4.11,5.13,6.56,5.53
拌,ban4,5,4.36,5.3,6.55,5.71
绊,ban4,11,4.46,5.33,6.55,5.56
瓣,ban4,2,4.46,6.05,6.47,5.44
邦,bang1,8,4.83,3.94,5.58,3.54
帮,bang1,2,3.68,5,6.9,4.94
绑,bang3,4,4.79,5.93,6.48,5.68
榜,bang3,9,4.78,4.82,6.34,5.13
膀,bang3,2,4.64,5.58,5.94,5.18
傍,bang4,2,4.82,4.13,4.87,4.81
棒,bang4,5,4.03,4.51,5.53,5.26
谤,bang4,18,6.1,4.15,5.81,4.03
包,bao1,2,3.18,5.49,6.41,6.12
褒,bao1,15,5.65,3.88,5.16,4.41
雹,bao2,4,5.17,6.39,4.77,6.25
宝,bao3,4,3.05,5.03,6.69,5.03
饱,bao3,3,3.42,5.32,6.68,6.43
保,bao3,6,4.11,3.62,5.94,4.32
堡,bao3,4,5,5.81,5.81,6.11
报,bao4,1,3.79,5.38,6.33,4.38
抱,bao4,2,3.25,5.97,6.74,6.52
豹,bao4,7,4.64,6.79,6.57,6.12
暴,bao4,7,4.88,3.44,6.06,4.42
爆,bao4,5,4.88,4.69,6.28,5.48
悲,bei1,6,4.2,4.85,6.59,5.84
碑,bei1,3,5.05,5.75,6.28,5.41
北,bei3,2,2.68,5.13,6.6,5.58
贝,bei4,2,3.53,6.08,6.39,5.21
狈,bei4,10,5.17,5.33,4.52,3.86
备,bei4,3,4.2,3.67,5.13,4.14
背,bei4,1,3.41,5.95,6.74,6.03
悖,bei4,15,6.03,3.79,5.03,3.53
奔,ben1,4,4.03,5.38,6.55,6.41
笨,ben4,3,3.63,4.87,6.87,5.61
崩,beng1,7,5.09,4.41,5.39,4.82
绷,beng1,7,5.13,4.8,5.94,5.5
泵,beng4,24,5.64,6,5.53,5.29
迸,beng4,9,5.18,4.56,5.53,4.74
蹦,beng4,2,4.15,5.93,6.86,6.61
逼,bi1,7,4.83,4.26,6.44,5.52
鼻,bi2,5,3.03,6.89,6.84,6.67
币,bi4,16,4.08,6.58,6.59,5.9
毕,bi4,5,4.62,3.18,5.84,3.68
闭,bi4,4,3.58,5.46,6.47,6.44
毙,bi4,3,5.39,5.14,5.1,5.68
敝,bi4,10,5.43,3.67,4.22,3.48
痹,bi4,15,5.9,3.13,3.55,3.82
辟,bi4,9,5.42,4.03,5.03,3.39
弊,bi4,18,5.32,4.1,5.84,4.38
碧,bi4,2,4.34,5.03,6.41,5.71
蔽,bi4,5,5.5,4.41,5.28,3.94
壁,bi4,2,4.67,6.05,6.83,5.74
避,bi4,7,4.47,5.43,6.43,5.96
臂,bi4,2,3.8,6.32,6.25,6.38
边,bian1,1,3.18,4.48,6.16,5.41
编,bian1,6,4.31,4.84,6,5.29
鞭,bian1,7,4.5,6.19,5.84,6.43
贬,bian3,15,5.33,4.3,5.81,5.15
扁,bian3,1,3.98,5.1,6.16,5.16
匾,bian3,6,5.3,6.79,5.47,5.81
变,bian4,1,3.45,4.31,6.72,5.16
辨,bian4,4,4.74,4.97,6.29,5.75
辩,bian4,7,5.03,4.7,6.47,5.71
辫,bian4,5,4.2,6.83,6.31,5.65
标,biao1,7,4.21,4.33,6.06,4.76
表,biao3,2,3.46,6.54,6.84,5.76
裱,biao3,14,6.08,5.22,3.61,5.21
憋,bie1,10,5.49,4.94,5.16,6.04
鳖,bie1,18,5.58,6.74,5.25,5.52
蹩,bie2,19,6.33,4.54,4.34,3.87
瘪,bie3,21,5.97,4.35,4.63,5.15
宾,bin1,2,4.32,5.08,6.28,4.68
滨,bin1,7,5.53,5.62,5.69,4.55
殡,bin4,9,6.18,4.15,5,4.24
鬓,bin4,6,5.92,6.06,4.97,6.18
冰,bing1,2,3.03,6.95,6.84,6.6
兵,bing1,3,3.6,6.68,6.71,6.34
柄,bing3,7,5.13,6.26,6,5.26
饼,bing3,3,3.44,6.58,6.42,6.75
病,bing4,3,3.31,5.8,6.62,6.52
拨,bo1,1,4.49,5.45,6.55,5.56
波,bo1,1,3.86,5.54,6.67,6
剥,bo1,4,4.55,5.21,6.52,5.68
脖,bo2,3,3.76,6.65,6.46,7
播,bo1,4,4.75,5.05,6.42,5.2
