word_chinese_simplified,concrete_mean,concrete_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,typicality_mean,typicality_sd,valence_mean,valence_sd
哀愁,4.7143,1.5119,5.5,1.4011,6.3448,1.3168,6.3103,1.1053,-1.8,0.7144
哀伤,3.963,1.698,4.9643,1.9904,6.5714,1.1362,6.3793,1.0493,-1.9667,0.7649
暴怒,4.037,1.7646,6.4643,1.1701,6.2857,1.0131,6.6207,0.6219,-2.3667,1.1885
抱怨,3.4074,2.117,5.3214,1.9255,6.6429,0.9114,5.7931,1.5671,-1.8,0.7144
惆怅,4.5,1.7533,5.1429,1.7366,6.1034,1.5433,5.5172,1.8443,-1.5333,0.8193
打造,3.9286,1.7412,1.5,1,6.3448,1.4947,1.6207,1.2368,0.5,0.7768
愤怒,4.2593,1.9134,5.8214,1.7858,6.8571,0.3563,6.6207,0.7752,-2,0.871
负债,2.8889,1.7394,4.0714,1.8039,6.4286,1.069,3.5172,1.8826,-1.7333,1.0483
改造,3.8571,1.8199,2.0357,1.4268,6.5172,1.0896,1.6207,1.1469,0.4,0.8137
感性,5.5185,1.2821,3.6786,1.9255,5.8571,1.5084,3.5517,1.7441,0.8333,1.1472
高速,3.4074,1.8659,2.2857,1.7608,6.8214,0.6118,1.5172,1.0219,0.3333,0.7581
个性,4.8214,1.7008,2.2143,1.4493,6.5517,0.9851,2.1379,1.6845,0.6,0.7701
沟通,2.9643,1.9338,1.8929,1.0659,6.7931,0.6199,2.0345,1.4996,0.8,0.7611
害怕,4.2593,1.8101,5.4643,1.6439,6.8571,0.3563,6.3448,1.2894,-1.5,1.2526
合适,4.2857,1.6966,1.8571,1.1455,6.8621,0.3509,2.7241,1.8879,1.2,0.8867
怀疑,4.2143,1.9504,4.5,1.7743,6.7586,0.6356,4.7586,1.9208,-1.3,1.0875
检查,3.1111,1.6486,1.8929,1.4489,6.7857,0.6299,1.4138,0.9826,0.4667,0.8996
简短,3.0741,1.8171,1.5357,0.9222,6.75,1.0046,1.6207,0.9416,0.4,0.9322
激昂,4.4815,1.6022,4.8571,2.0676,6.1786,1.5882,5.5517,1.5021,1.7667,1.0063
简朴,3.8929,1.6631,2.2857,1.3294,6.6897,0.6603,2.7241,1.5094,0.9,0.803
简易,3.5556,1.8046,1.75,1.1426,6.5,1.1055,2.1034,1.3976,0.7333,0.8683
焦急,4.2857,1.6297,5.25,1.6245,6.7241,0.8408,6.2069,1.4731,-1.1333,1.1666
激动,4.0714,1.6539,5.1786,2.1952,6.8621,0.4411,5.931,1.5568,1.7,1.0222
接送,3.0714,1.8039,1.8214,1.188,6.5172,1.2427,1.5862,1.0528,0.3333,0.7112
精通,4.1852,1.52,2.9643,1.6663,6.3929,1.6631,2.7931,1.9157,1.6,1.07
紧急,4.1111,1.4233,4.3929,1.8726,6.7857,0.5681,4.1379,1.7873000000000001,-0.8,1.0635
激怒,4,1.8459,5.9643,1.3189,6.6552,1.0446,5.6552,1.7377,-1.5667,1.1943
技巧,3.7037,1.7719,1.8929,1.2864,6.8571,0.4484,1.5172,0.7378,0.5333,1.008
激情,4.3333,1.8187,5.25,1.6915,6.6786,0.8189,5.1379,1.7469,1.4333,1.0063
技术,3.1111,1.7172,1.5,0.8389,6.7857,1.1339,1.1724,0.3844,0.5333,0.8193
角逐,3.6429,1.6151,2.8929,1.6179,5.931,1.5102,2.5172,1.6393,0.1667,0.9499
局面,3.8519,1.875,2.3929,1.931,6.5,1.1055,1.5862,1.2682,0,0.6433
惧怕,4.1852,1.4686,5.4643,1.6439,6.7857,0.4987,6.3103,1.1371,-1.8667,1.1366
开除,2.9259,1.6854,3.5,2.0638,6.5714,1.1031,2.9655,1.88,-1.5333,1.1666
开通,3.1852,1.52,1.6786,1.3348,6.4643,1.2317,1.3448,0.814,0.4667,0.7303
开支,3.0357,1.7739,2.25,1.8384,6.4138,1.1501,1.2069,0.6199,0.1667,0.8339
可耻,4.1852,1.6417,4.4643,1.9338,6.5357,0.8812,5.1034,1.839,-2.0667,0.7849
可怜,3.6667,1.5933,4.2143,1.5719,6.8571,0.3563,5.1379,1.8072,-1.2333,0.7739
快速,3.7778,1.7831,1.8571,1.353,6.8929,0.4163,1.4483,1.1208,0.7,0.8769
困倦,3.8571,1.9382,4.0714,1.9231,6.6207,0.9029,4.7241,1.8302,-1.1333,1.0743
潦倒,4.6296,1.3629,3.7143,1.7397,5.3214,1.9062,4.2759,1.8496,-1.6667,1.0933
疲倦,3.5,1.8954,4.6429,1.7473,6.8276,0.4682,5.2069,1.8004,-1.2667,0.5833
奇怪,4.1852,1.7105,3.3929,1.8123,6.7857,0.4987,3.5517,1.8629,-0.2,0.6103
驱逐,3.8214,1.6789,3.7143,1.8828,6.4483,1.0551,3.2759,1.9253,-1.5333,0.8604
神态,2.963,1.6286,1.9643,1.6884,6.5357,0.9616,1.4483,0.7361,0.3333,0.8841
渗透,4.2857,1.6966,2.4643,1.4525,6.3448,1.4461,1.6552,1.1734,-0.4333,0.7739
侍候,3.0357,1.9528,2.0714,1.3313,6,1.4639,1.931,1.1317,0.0333,0.9643
衰老,3.6667,1.8605,4.3929,2.1831,6.6071,0.9165,3.5862,1.8616,-1.6,0.855
舒适,4.25,1.6694,3.1429,1.7152,6.8276,0.5391,4.0345,1.8024,1.7667,0.9353
思考,4.7037,1.7935,2.0714,1.4383,6.9286,0.2623,1.7241,1.4116,0.7333,0.7397
挑选,2.5556,1.5021,1.7143,0.9372,6.7143,0.7127,1.6897,1.3391,0.3,0.6513
提倡,3.6667,1.5933,2.8929,1.6852,6.5714,0.9595,3.0345,2.0263,1.7,1.1788
危急,4.3214,1.6342,4.8214,1.7008,6.5862,0.9826,3.8966,2.0761,-1.2667,0.9072
相思,4.4074,1.9067,3.3571,1.9093,6.2857,1.3569,4.2759,2.0336,0.6,1.2205
销售,2.6786,1.7225,1.8929,1.1969,6.6897,0.8495,1.3103,0.8906,0.2333,0.7739
血迹,1.5926,0.7971,4.2143,1.9504,6.4286,1.3992,2.2069,1.5671,-1.3667,0.9643
稀罕,4.0741,1.5172,2.9286,1.6762,6.5357,0.9222,4.3103,2.4069,1.2667,0.9803
羞耻,4.1852,1.5698,5.25,1.7132,6.6071,0.994,5.1034,1.655,-1.8333,1.1472
