word_portuguese,imagine_mean,concrete_mean
aborrecimento,2.85,2.32
afeição,2.52,2.02
agonia,2.6,2.12
água,6.23,6
alegria,3.38,2.2
alicate,6.06,6.62
amor,3.06,1.7
ananás,6.48,6.78
ansiedade,2.63,2.06
antitoxina,1.9,4.9
ar,3.77,3.94
aranha,6.52,6.62
árbitro,5.94,5.84
arca,5.85,6.46
arco,5.65,5.86
arte,3.58,2.44
asilo,4.15,5.02
assunto,2.1,2.72
autocarro,6.6,6.66
aventura,3.08,2.7
avestruz,6.46,6.72
avião,6.69,6.64
banana,6.69,6.8
banco,6,6.22
barril,6.08,6.66
barulho,3.33,4.14
bebida,5.54,5.82
bênção,2.71,2.1
besouro,5.15,6.42
bicicleta,6.67,6.68
biombo,4.92,6.3
bisonte,5.42,6.5
bivaque,1.69,4.5
blusa,6.38,6.56
bondade,2.58,2.18
cabelo,6.56,6.46
cabide,6.19,6.7
cabra,6.46,6.7
cadeado,5.96,6.58
cadeirão,6.13,6.24
caderno,6.5,6.62
camada,2.71,4.12
camelo,6.42,6.64
camião,6.46,6.52
candeeiro,6.42,6.56
caneta,6.81,6.68
canguru,6.48,6.72
cão,6.85,6.76
caos,2.88,2.46
cardo,3.42,5.64
carro,6.83,6.64
casa,6.5,6.26
casca,5.38,6.16
cavalo,6.77,6.68
cebola,6.44,6.78
cenoura,6.56,6.86
cérebro,5.75,5.32
cereja,6.63,6.8
cesto,6.12,6.56
cêu,5.83,4.16
charme,3.1,2.38
chave,6.6,6.72
chávena,6.17,6.76
ciume,2.62,1.9
cloreto,2.52,4.92
coelho,6.71,6.72
cólera,2.62,2.54
colher,6.56,6.62
combóio,6.62,6.58
confiança,2.37,2.08
conforto,3.37,2.74
contentamento,2.92,2.42
copo,6.56,6.62
cor,4,3.88
coruja,6.19,6.66
corvo,6.21,6.72
costas,5.38,6.06
criador,3.17,2.88
crocodilo,6.48,6.7
delirio,2.38,2.08
demónio,3.73,2.54
deusa,3.27,2.12
devoção,2.35,2
dia,4.08,4.54
diabo,4.54,2.1
disposição,2.04,2.16
