word_portuguese,translate_word_english,aoa_mean,aoa_sd,syllables,length,familiar_mean,frequency,frequency_log,concrete_mean,imagine_mean
abacate,avocado,5,1.47,4,7,3.45,35,1.54,NA,NA
abacaxi,pineapple,4.62,1.2,4,7,3.35,NA,NA,NA,NA
abelha,bee,2.1,0.62,3,6,1.52,120,2.08,NA,NA
abóbora,pumpkin,3.7,1.51,4,7,2.3,72,1.86,NA,NA
aborrecimento,boredom,4.23,1.21,6,13,3.1,60,1.78,2.32,2.85
abutre,vulture,4.76,1.3,3,6,2.5,36,1.56,NA,NA
acácia,acacia,6.22,1.5,3,6,4.11,57,1.76,NA,NA
acordeão,accordion,3.64,1.2,4,8,1.53,32,1.51,NA,NA
actor,actor,3.71,0.78,2,5,1.7,1419,3.15,NA,NA
açúcar,sugar,2.09,0.65,3,6,NA,524,2.72,NA,NA
açucena,white lily,6,1.1,4,7,3,18,1.26,NA,NA
advogado,lawyer,4.26,1.12,4,8,1.7,1000,3,NA,NA
afeição,affection,5.33,1.65,3,7,3.23,67,1.83,2.02,2.52
agonia,agony,5.35,1.54,4,6,3.27,179,2.25,2.12,2.6
agrafo,staple,3.91,1.16,3,6,1.37,6,0.78,NA,NA
agrião,water-cress,3.68,1.15,3,6,2.85,34,1.53,NA,NA
agricultor,farmer,3.45,1.1,4,10,1.7,527,2.72,NA,NA
água,water,1.29,0.46,2,4,1.5,8340,3.92,6,6.23
águia,eagle,2.95,1.02,2,5,2.1,131,2.12,NA,NA
agulha,needle,2.83,1.18,3,6,1.21,241,2.38,NA,NA
aipo,celery,5.48,1.69,2,4,3.7,56,1.75,NA,NA
albatroz,albatross,5.76,1.61,3,8,3.9,8,0.9,NA,NA
alcachofra,artichoke,5.35,1.63,4,10,3.89,17,1.23,NA,NA
alce,moose,4.87,1.8,2,4,2.89,8,0.9,NA,NA
alegria,joy,3.14,1.53,4,7,2.83,1142,3.06,2.2,3.38
alface,lettuce,2.71,1.23,3,6,1.63,109,2.04,NA,NA
alfaiate,tailor,4.13,1.37,4,8,1.7,80,1.9,NA,NA
alfarroba,carob,5.78,1.74,4,9,3.85,12,1.08,NA,NA
alfinete,pin,2.86,0.91,4,8,1.32,112,2.05,NA,NA
alho,garlic,2.74,1,2,4,2,406,2.61,NA,NA
alicate,pliers,4.14,1.06,4,7,1.47,35,1.54,6.62,6.06
almoço,lunch,1.68,0.58,3,6,1.5,871,2.94,NA,NA
almofada,pillow,1.74,0.77,4,8,1.21,129,2.11,NA,NA
alperce,apricot,3.74,0.79,3,7,2.05,21,1.32,NA,NA
ambulância,ambulance,2.65,0.96,4,10,1.3,167,2.22,NA,NA
ameixa,plum,2.81,1.08,3,6,2.05,29,1.46,NA,NA
amêndoa,nut,2.57,0.81,3,7,2,147,2.17,NA,NA
amendoim,peanut,2.48,0.75,4,8,1.63,39,1.59,NA,NA
amor,love,2.95,1.4,2,4,2.97,3237,3.51,1.7,3.06
amora,blueberry,3.13,1.08,3,5,1.95,59,1.77,NA,NA
ananás,pineapple,2.43,0.81,3,6,1.55,62,1.79,6.78,6.48
anchova,anchovy,5.41,1.8,3,7,2.26,38,1.58,NA,NA
ancinho,rake,3.55,1.63,3,7,2.32,23,1.36,NA,NA
âncora,anchor,4.23,1.35,3,6,1.63,52,1.72,NA,NA
andorinha,swallow,3.13,1.26,4,9,2.05,53,1.72,NA,NA
anel,ring,2.24,0.7,2,4,1.26,369,2.57,NA,NA
anémona,anemone,5.67,1.43,4,7,2.84,14,1.15,NA,NA
anona,bull-heart (tropical fruit),6.5,1.44,3,5,3.85,NA,NA,NA,NA
ansiedade,anxiety,5.3,1.32,4,9,2.7,269,2.43,2.06,2.63
antitoxina,antitoxin,6.95,0.22,5,10,3.67,31,1.49,4.9,1.9
