word_french,translate_word_english,translate_word_german,pos,length,syllables,frequency_films,frequency_books,humans_yes,humans_no,humans_n,human_difficulty,nonhumans_yes,nonhumans_no,nonhumans_n,nonhuman_difficulty,category,concrete_mean,concrete_sd,concrete_n,concrete_difficulty,familiar_mean,familiar_sd,familiar_n,familiar_difficulty,intensity_mean,intensity_sd,intensity_n,intensity_difficulty,temporal_stability_mean,temporal_stability_sd,temporal_stability_n,temporal_stability_difficulty,valence_mean,valence_sd,valence_n,valence_difficulty,visibility_mean,visibility_sd,visibility_n,visibility_difficulty
abasourdi,stunned,benommen,PPADJ,9,4,0.24,2.03,20,0,20,0,0,20,20,0,uniquely human,3.6,1.93,20,0,4.55,1.79,20,0,4.7,1.13,20,0,2.22,0.81,18,0,2.6,0.75,20,0,3.47,0.84,19,0
abattu,downcast,niedergeschlagen,PPADJ,6,3,1.82,3.78,20,0,20,0,13,7,20,4,preferentially human,3.45,1.61,20,1,5,1.72,20,0,4.8,1.24,20,0,3.6,1.39,20,0,2.05,0.83,20,0,4.15,1.46,20,0
abject,despicable,verachtenswert,ADJ,6,2,1.4,1.69,13,7,20,0,12,8,20,5,both,3.37,1.34,19,0,3.42,1.8,19,1,5.15,1.31,20,1,4.24,1.2,17,2,2.17,1.1,18,2,3,1.73,19,1
abondant,abundant,üppig,ADJ,8,3,0.09,1.42,3,17,20,0,18,2,20,0,preferentially non-human,4,2.05,20,1,4.9,1.48,20,0,4.8,0.95,20,0,3.7,1.26,20,0,4.9,1.33,20,0,4.65,1.76,20,0
abrasif,abrasive,(ab)scheuernd,ADJ,7,3,0.04,0.27,11,8,19,4,16,4,20,4,preferentially non-human,3.06,1.73,18,3,2.85,1.9,20,1,4.78,1.35,18,3,4.06,1.73,18,4,2.85,1.18,20,0,3.92,1.32,13,4
absorbant,absorbent,absorbierend,ADJ,9,3,0.08,0.81,5,15,20,2,20,0,20,0,preferentially non-human,4.45,1.73,20,0,4.6,2.16,20,0,3.7,1.38,20,1,4.85,1.27,20,1,4.25,0.64,20,1,3.55,1.64,20,0
abstrait,abstract,abstrakt,ADJ,8,2,0.61,3.85,4,16,20,0,20,0,20,0,preferentially non-human,2.74,1.33,19,1,4.7,1.53,20,0,3.75,1.52,20,1,5.32,1.2,19,1,3.53,0.7,19,2,2.2,1.4,20,2
acariâtre,cantankerous,griesgrämig,ADJ,9,3,0.13,1.22,7,9,16,7,12,8,20,3,preferentially non-human,2.89,1.32,18,2,3,2.27,15,5,5.24,1.09,17,5,5.06,1.3,17,4,2.69,1.14,16,2,3.13,1.55,15,4
accommodant,accommodating,entgegenkommend,ADJ,11,4,0.22,0.14,15,5,20,1,14,6,20,2,both,3.05,1.57,20,1,4.4,1.82,20,0,3.45,1.19,20,2,4.74,1.1,19,1,4.53,1.07,19,1,2.63,1.38,19,2
accroupi,crouched,hockend,ADJ,8,3,0.16,3.24,19,1,20,0,5,15,20,1,preferentially human,3.8,2.26,20,1,4.45,1.93,20,0,3.05,1.67,20,3,2.15,1.39,20,0,3.74,0.45,19,2,6,1.38,20,0
accusateur,accusing,anklagend,ADJ,10,4,0.2,0.81,19,1,20,0,10,10,20,1,preferentially human,3.15,1.95,20,1,4.5,1.93,20,1,4.6,0.94,20,0,4.05,0.91,19,0,2.2,0.89,20,1,3.05,1.54,19,4
acharné,fierce,erbittert,PPADJ,8,3,0.66,1.69,20,0,20,0,3,17,20,0,preferentially human,3.15,1.79,20,2,5.2,1.47,20,0,5.44,0.92,18,1,4.35,1.31,20,0,3.7,1.49,20,0,3.15,1.57,20,0
acide,acidic,säurehaltig,ADJ,5,2,1.86,6.89,2,18,20,0,19,1,20,0,uniquely non-human,5.37,1.12,19,0,4.75,1.77,20,0,4.6,1.57,20,0,5.5,1.32,20,1,2.65,0.67,20,1,2.7,1.45,20,1
acidulé,acidulous,säuerlich,ADJ,7,4,0.02,0.47,1,19,20,0,18,2,20,3,uniquely non-human,4.89,1.56,19,1,3.58,1.95,19,0,4.05,1.15,20,0,5,1.12,20,1,3.61,0.78,18,2,3.68,2.16,19,2
âcre,acrid,beißend,ADJ,4,1,0.45,10.14,3,16,19,4,15,5,20,4,preferentially non-human,3.89,1.7,19,1,3,2.05,20,1,4.44,1.25,18,5,4.65,1.5,17,1,2.68,1.16,19,2,3.47,1.7,17,3
acrylique,acrylic,akrylisch,ADJ,9,3,0.21,0.34,1,19,20,0,18,2,20,1,uniquely non-human,4.35,1.69,20,0,3,1.64,18,3,3.5,1.72,18,7,5.59,1.12,17,3,4,0.37,16,3,4.26,2.16,19,2
adhésif,adhesive,klebend,ADJ,7,3,0.73,0.47,2,18,20,0,18,2,20,0,uniquely non-human,4,1.38,20,0,4.55,1.76,20,0,3.7,1.34,20,1,4.85,0.93,20,2,4.15,0.59,20,1,4.75,1.62,20,0
admiratif,admiring,bewundernd,ADJ,9,4,0.26,2.57,19,1,20,0,3,17,20,0,preferentially human,3.4,1.47,20,2,5.6,1.31,20,0,4.3,1.3,20,0,3.55,1,20,1,5.45,1.1,20,0,4.05,1.67,20,0
adoré,admired,angebetet/vergöttert,PPADJ,5,3,missing,entry,18,2,20,0,15,5,20,2,preferentially human,3.55,1.85,20,0,5.95,1.36,20,0,4.45,1.15,20,0,4.35,1.09,20,1,6.1,0.72,20,0,2.95,1.64,20,1
adroit,skillful,geschickt,ADJ,6,2,1.13,3.51,19,1,20,1,4,16,20,0,preferentially human,2.89,1.29,19,1,5.2,1.2,20,0,4,1.3,20,0,5.21,0.63,19,1,5.61,0.85,18,1,2.75,1.41,20,0
affable,courteous,umgänglich,ADJ,7,2,0.37,3.11,13,5,18,4,4,16,20,4,preferentially human,2.78,1.86,18,4,3.33,1.68,18,3,4.35,1.23,20,5,3.94,1.16,18,3,3.38,1.36,16,2,3.07,1.44,14,4
affecté,affected,affektiert,PPADJ,7,3,0.73,1.28,18,2,20,0,8,12,20,4,preferentially human,3.65,2.06,20,0,4.8,1.7,20,1,3.9,0.91,20,0,3.2,1.58,20,0,3.15,0.93,20,0,3.9,1.59,20,0
affectif,affective,affektiv,ADJ,8,3,0.94,1.28,19,1,20,0,5,15,20,0,preferentially human,3.9,1.89,20,1,5.95,1.18,19,0,3.84,1.12,19,0,4.95,1.1,20,0,5.9,1.07,20,1,3.2,1.44,20,0
affectueux,affectionate,liebevoll,ADJ,10,3,3.56,7.97,20,0,20,0,3,17,20,0,preferentially human,4.05,1.93,20,0,5.9,1.21,20,0,3.8,1.51,20,0,4.63,0.9,19,0,6.21,0.63,19,0,3.95,1.39,20,0
affolé,distraught,verzweifelt,PPADJ,6,3,0.19,4.19,20,0,20,0,1,19,20,0,uniquely human,3.6,1.54,20,0,4.7,1.75,20,0,5.42,0.69,19,0,2.37,1.07,19,0,2.35,0.75,20,0,4.45,1.23,20,0
africain,African,afrikanisch,ADJ,8,3,2.34,3.65,20,0,20,1,14,6,20,1,preferentially human,4.55,1.82,20,1,5.35,1.81,20,0,3.65,1.66,20,1,6.3,0.8,20,2,3.95,0.51,20,0,5.95,1.18,19,1
âgé,old,alt,ADJ,3,2,7.67,14.39,19,0,19,0,17,3,20,2,both,4.1,1.77,20,0,6,1.53,19,0,3.7,1.13,20,0,6,1.2,19,0,3.35,0.88,20,0,6.26,0.81,19,0
agissant,effective,wirksam,ADJ,8,3,0.05,0.14,18,2,20,2,6,14,20,1,preferentially human,3,1.45,20,1,5.4,1.47,20,2,3.5,1.24,20,0,3.47,1.07,19,1,5,0.82,19,4,3.35,1.87,20,2
agréable,pleasant,angenehm,ADJ,8,3,37.71,31.35,20,0,20,0,14,6,20,0,preferentially human,4.15,1.66,20,0,6.3,1.03,20,0,3.3,1.59,20,0,4.4,1.1,20,0,6.2,0.89,20,0,4,1.59,20,1
agressif,aggressive,aggressiv,ADJ,8,3,5.76,6.82,20,0,20,0,8,12,20,1,preferentially human,4.1,1.71,20,0,5.5,1.91,20,0,5.15,0.99,20,0,3.95,1.1,20,0,1.6,0.68,20,0,4.5,1.82,20,0
ahuri,dazed,verblüfft,PPADJ,5,3,0.34,4.46,20,0,20,0,1,19,20,2,uniquely human,3.65,1.76,20,0,4.25,1.97,20,0,5.3,0.92,20,0,2.9,0.79,20,0,2.55,0.76,20,0,4.2,1.32,20,0
aigre,sour,sauer,ADJ,5,1,0.42,8.38,12,8,20,2,18,2,20,0,preferentially non-human,4.82,1.13,17,1,3.7,1.98,20,0,4.3,1.42,20,2,4.26,1.56,19,2,2.2,0.83,20,1,2.67,1.33,18,0
aigrelet,sourish,säuerlich,ADJ,8,3,0,1.35,8,11,19,6,14,6,20,4,preferentially non-human,3.78,1.86,18,1,2.89,1.49,19,3,4.21,0.92,19,2,4.17,0.99,18,2,2.63,0.9,19,1,3.36,1.82,14,3
