word_chinese_traditional,aoa_mean,familiar_mean,imagine_mean,concrete_mean,semantic_radical_trans_mean,frequency_log,number_stroke,number_word_forms,number_homophones,number_meanings,aoa_raw,familiar_raw,imagine_raw,concrete_raw,semantic_radical_trans_raw
憶,4.095238095,6.5,3.636363636,3.1,5.722222222,1.99710246,16,5,3,2,4.095238095,6.5,3.772727273,3.1,5.473684211
僱,4.75,6.421052632,3.454545455,3.25,4.947368421,1.984904704,14,3,4,2,4.857142857,6.25,3.318181818,3.25,4.947368421
茫,4.523809524,6.526315789,2.954545455,2.6,2.842105263,1.204827532,10,6,4,3,4.523809524,6.35,3.090909091,2.6,2.842105263
欺,4.19047619,6.45,3.409090909,3.35,3.736842105,1.632421823,12,6,14,3,4.181818182,6.45,3.5,3.35,3.736842105
涼,2.523809524,6.684210526,4.409090909,4.45,5.526315789,1.634041319,11,2,9,4,2.590909091,6.5,4.227272727,4.45,5.526315789
猜,3.666666667,6.888888889,2.909090909,4,2.578947368,1.483961926,11,9,2,5,3.666666667,6.7,3,4,2.578947368
埔,4.095238095,5.8,2.05,2.1053,4.789473684,1.785752508,10,3,4,1,4.095238095,5.8,2.636363636,2.35,4.789473684
脂,4.333333333,6.789473684,4.090909091,4.6,5.777777778,1.586243475,10,8,17,3,4.333333333,6.65,4.045454545,4.6,5.526315789
雕,4.65,6.1,4.818181818,4.85,3.052631579,1.443291829,10,8,7,1,4.545454545,6.1,4.636363636,4.85,3.052631579
娥,4.45,5.842105263,3.863636364,2.45,6.052631579,1.487751606,11,7,6,5,4.285714286,5.6,3.869565217,2.45,6.052631579
瘦,3.523809524,6.944444444,5.454545455,5.5263,5.052631579,1.605077623,15,6,8,3,3.523809524,6.75,5.318181818,5.3,5.052631579
塗,3.904761905,6.4,4.363636364,4.65,4.263157895,1.5715617,13,7,13,1,3.904761905,6.4,4.090909091,4.65,4.263157895
軌,4.5,6.736842105,5.090909091,5.6316,6.578947368,1.800323754,9,3,2,9,4.333333333,6.6,5,5.4,6.578947368
牢,4.523809524,6.368421053,5.090909091,5.55,4.947368421,1.230815714,7,4,11,2,4.523809524,6.15,5,5.55,4.947368421
竭,5.4,5.9,2.571428571,2.35,3.157894737,1.212717492,14,5,4,6,5.19047619,5.9,2.826086957,2.35,3.157894737
柳,4.333333333,6.35,5.363636364,5.5789,6.555555556,1.330308798,9,9,2,2,4.333333333,6.35,5.318181818,5.35,6.368421053
鍵,4.333333333,6.526315789,4.363636364,4.55,4,1.858682969,17,2,2,1,4.181818182,6.4,4.181818182,4.55,4
鯊,4.333333333,6.15,6.476190476,6.15,6.526315789,1.235562149,18,1,6,1,4.333333333,6.15,6.318181818,6.15,6.526315789
撒,4.714285714,5.9,4.818181818,3.85,4.947368421,1.467673974,15,5,4,1,4.714285714,5.9,4.545454545,3.85,4.947368421
淨,3.857142857,6.789473684,4.318181818,3.3,4.736842105,1.84481178,11,4,3,1,3.857142857,6.65,4.181818182,3.3,4.736842105
茅,4.666666667,5.75,5.045454545,4.2,5.578947368,1.167827881,9,3,1,1,4.666666667,5.75,4.863636364,4.2,5.578947368
崇,4.904761905,5.894736842,2.227272727,2.95,4.210526316,1.577432722,11,7,0,1,4.904761905,5.65,2.260869565,2.95,4.210526316
忽,3.80952381,6.789473684,2.285714286,1.8421,4.421052632,1.893099004,8,6,7,1,3.80952381,6.65,2.590909091,2.05,4.421052632
棚,4.45,6.05,5.363636364,5.15,5.947368421,1.284008778,12,3,5,4,4.285714286,6.05,5.318181818,5.15,5.947368421
龔,5.857142857,4.6,1.35,1.4737,NA,0.88606877,23,0,10,1,5.857142857,4.6,1.5,1.7,NA
泄,4.666666667,6.25,4.318181818,3.15,4.526315789,1.29414377,8,9,8,3,4.590909091,6.25,4.136363636,3.15,4.526315789
摺,4.45,6.05,4.954545455,5.4211,6,1.156650568,14,5,5,1,4.285714286,6.05,4.909090909,5.25,6
扣,3.19047619,6.736842105,5.227272727,4.55,5.421052632,1.985864471,6,4,4,6,3.19047619,6.65,5.043478261,4.55,5.421052632
碳,5,6.368421053,4.772727273,5.1,5.052631579,1.177955386,14,0,3,NA,5,6.15,4.545454545,5.1,5.052631579
櫻,4.523809524,6.526315789,5.363636364,5.75,6.111111111,1.223250615,21,3,8,1,4.523809524,6.4,5.636363636,5.75,5.894736842
譜,3.952380952,6.2,4.636363636,4.2,4.526315789,1.510178902,19,4,4,2,3.952380952,6.2,4.5,4.2,4.526315789
郡,5.333333333,5.85,2.285714286,3.05,3.105263158,1.161476111,10,4,1,1,5.333333333,5.85,2.47826087,3.05,3.105263158
坡,3.857142857,6.1,4.454545455,4.5,6.611111111,2.014611631,8,5,4,1,3.857142857,6.1,4.363636364,4.5,6.421052632
頌,4.476190476,6.368421053,3.045454545,3.3,2.894736842,1.496714148,13,2,4,1,4.476190476,6.2,3,3.3,2.894736842
歧,4.761904762,5.65,2.272727273,2.5,NA,1.811746058,8,7,18,3,4.761904762,5.65,2.181818182,2.5,NA
焗,4.095238095,6.578947368,4.727272727,5.3158,6.555555556,1.289999142,11,0,1,1,4.136363636,6.4,4.541666667,5.1,6.421052632
忘,3.380952381,6.65,3.227272727,3.7,6.105263158,2.041994939,7,4,4,1,3.454545455,6.65,3.136363636,3.7,6.105263158
翠,4.142857143,6.3,4.636363636,3.65,NA,1.80561898,14,8,3,3,4.142857143,6.3,4.608695652,3.65,NA
芳,3.6,6.684210526,3.590909091,2.1111,5.263157895,1.559576052,8,14,6,3,3.761904762,6.55,3.772727273,2.6,5.263157895
昇,4.571428571,6,3.363636364,3.3,5.684210526,1.046812337,8,0,9,NA,4.571428571,6,3.454545455,3.3,5.684210526
哀,4,6.631578947,3.909090909,3.95,NA,1.526702012,9,4,1,2,4,6.5,3.772727273,3.95,NA
嘴,2.142857143,6.894736842,6.090909091,6.4211,6.666666667,2.038505761,16,5,2,2,2.142857143,6.8,6.090909091,6.25,6.526315789
