word_chinese_simplified,translate_word_english,valence_mean,valence_sd,arousal_mean,arousal_sd,concrete_mean,concrete_sd,familiar_mean,familiar_sd,imagine_mean,imagine_sd,avaliability_mean,avaliability_sd,rt_mean,rt_sd,accuracy_mean,accuracy_sd
爱慕,admire,4.89,1.65,3.39,0.79,4.5,1.97,5.07,0.76,4.01,1.55,5.39,1.24,543.88,33.32,0.935,0.032
爱情,love,6.97,1.45,7.43,1.45,5.26,0.84,5,0.68,4.92,1.99,5.43,1.36,524.32,38.03,0.91,0.037
安然,comfortable,6.81,0.75,6.36,1.08,7.58,1.33,7.69,0.59,6.72,1.44,7.05,0.45,520.45,53.82,0.943,0.046
安神,soothing,4.51,2.2,3.41,1.74,5.32,0.54,5.44,1.75,4.52,0.39,5.05,1.19,550.95,40.74,0.881,0.035
安详,serene,6.86,1.37,6.11,0.45,6.83,0.53,6.83,0.81,7.05,1.78,6.35,1.12,505.79,61.24,0.913,0.016
安葬,bury,2.57,0.46,6.21,0.53,3.54,1.86,3.71,1.65,4.67,1.84,5.5,0.79,524.91,50.94,0.906,0.043
案犯,criminal,2.07,1.73,6.93,1.04,3.5,1.58,3.14,1.98,4.84,0.83,5.06,0.41,576.36,31.09,0.923,0.017
暗算,back stabbing,1.87,1.83,6.4,0.44,6.67,0.27,5.53,0.74,7.38,1.43,6.33,0.76,622.43,38.66,0.927,0.049
肮脏,dirty,5.11,1.43,5.64,0.49,5.36,1.7,4.25,1.46,5.49,1.55,5.57,1.3,537.39,38.09,0.939,0.04
芭蕾,ballet,5.32,2.22,5.39,1.85,6.24,1.01,5.66,1.19,6.86,0.9,6.29,1.03,614.74,35.99,0.901,0.023
疤痕,scar,2.49,1.6,6.17,0.74,4.8,1.49,4.25,1.7,5.57,1.28,4.97,1.15,498.36,61.97,0.95,0.029
把握,control,6.12,1.19,5.73,0.56,3.6,1.22,4.85,0.72,3.7,0.52,4.22,1.43,514.1,32.53,0.9,0.048
白鸽,pigeon,5.23,0.59,5.71,0.74,5.09,1.76,5.09,0.6,3.42,1.55,3.95,1.75,512.6,41.81,0.92,0.042
百姓,common people,4.09,1.13,4.23,1.4,5.32,1.88,5.18,1.41,5.76,2,5.56,1.55,518.43,24.35,0.927,0.03
摆设,layout,2.6,2.28,5.41,0.83,4.64,0.46,3.61,0.77,6.61,1.65,5.56,1.87,517.07,60.13,0.883,0.014
摆脱,get rid of,6.78,1.85,6.28,1.84,6.14,0.89,6.03,1.06,7.19,0.42,6.14,0.9,621.57,61.65,0.897,0.012
败类,disgraceful people,2.05,1.33,7.02,1.64,4.9,1.58,4.9,1.87,5.32,2.23,5.35,0.47,523.84,53.31,0.959,0.041
拜堂,perform the formal wedding ceremony,4.96,1.67,3.93,0.96,5.07,1.71,5.47,1.2,5.86,2.09,5.13,1.8,564.63,44.06,0.924,0.031
板凳,stool,5.82,0.72,3.14,2,3.05,1.22,4.55,0.97,3.03,0.98,3.55,0.61,546.37,27.62,0.912,0.036
伴侣,partner,3,0.96,4.47,0.56,5.53,0.54,6.36,1.78,5.67,0.96,5.86,1.37,583.67,31.59,0.897,0.03
伴娘,bride's maid,2.75,1.25,4.79,1.78,5.93,1.17,4.57,1.34,6.55,0.52,5,0.86,637.27,48.66,0.929,0.012
绑匪,kidnapper,2.43,1.48,7.51,1.14,4.03,1.27,4.03,1.64,4.84,1.1,4.89,2,482.08,49.43,0.957,0.044
绑架,kidnap,1.63,1.47,6.8,1.55,4.97,0.46,3.77,2.09,6,0.69,5.89,0.94,566.9,53.87,0.904,0.013
榜样,role model,6.28,0.97,6.19,1.53,6.72,0.71,6.97,1.21,7.28,2.2,7.07,1.47,619.22,41.41,0.946,0.018
包庇,cover up,4.18,0.52,3.36,1.62,3.14,1.44,3.93,1.31,3.61,1.58,4.74,0.9,509.84,49.86,0.957,0.062
包裹,delivery,5.72,1,5.08,1.71,5.81,1.84,5.36,0.67,6.54,1.71,6.22,1.13,630.51,29.5,0.893,0.07
包装,package,3.5,1.64,6.28,1.56,3.83,1.84,5.17,1.61,3.64,0.4,4.94,0.55,506.81,60.37,0.959,0.068
宝贝,baby,2.87,0.7,4.83,0.58,3.27,0.98,5,1.94,4.25,0.88,4.83,1.43,558.18,28.87,0.891,0.048
宝藏,hidden treasure,6.82,1.07,5.61,2.05,4.5,1.69,6.78,0.71,4.67,2.07,4.88,1.64,573.73,39.43,0.905,0.056
宝刀,precious knife,6.37,1.03,5.63,1.2,6.24,0.88,6.12,0.55,6.97,0.66,6.23,0.44,511.64,55.95,0.872,0.01
宝库,treasure,4.5,1.05,4.05,0.45,5.36,1.3,6.23,1.95,3.71,1.05,4,0.83,512.85,27.88,0.913,0.038
宝石,jem,6.82,2.16,6.61,0.93,6.89,1.21,4.68,0.83,7.69,1.01,6.93,0.78,572.93,41.4,0.887,0.024
保安,security guards,4.06,0.93,4.51,1.2,4.54,0.63,4.37,0.74,4.84,1.69,4.84,1.84,519.89,35.32,0.924,0.026
保镖,body guard,4.78,2.07,4.71,0.94,6.9,1.65,5.29,2.1,7.14,0.8,6.22,0.68,549.52,56.8,0.934,0.058
保姆,baby sitter,4.9,1.37,6.33,0.97,3.23,0.98,5.3,0.94,3.46,1.97,3.97,1.54,528.15,27.91,0.937,0.029
报复,revenge,3.41,2.15,6.9,1.17,4.8,1.95,4.71,1.34,5.68,1.74,5.03,1.8,589.81,54.94,0.909,0.057
暴君,tyrant,2.93,1.88,4.03,1.89,5.3,0.53,4.9,0.96,6.09,1.63,5.54,1.01,547.96,52.81,0.936,0.055
暴徒,thud,6.93,1.1,6.71,1.74,4.25,1.94,5.22,0.63,4.86,0.85,5.02,1.22,467.66,43.83,0.888,0.028
暴雨,pouring rain,3.43,1.84,5.17,2.06,4.4,0.37,4.71,0.63,5.05,1.98,5.11,1.01,509.03,43.47,0.887,0.032
暴躁,hot tempered,4.53,0.4,4.3,1.88,6.17,1.06,5.47,1.03,6.29,1.32,6.04,0.33,591.18,30.69,0.871,0.022
卑贱,dispicable,5.39,0.47,3.75,1.46,5.28,1.07,4.83,1.39,5.7,2.24,6.22,1.61,531.89,45.91,0.893,0.033
悲剧,tragedy,6.43,1.44,6.14,1.68,4.63,1.24,4.46,0.67,5.32,1.61,5.35,0.77,568.77,45.39,0.939,0.071
贝壳,seashell,7.06,0.45,7.11,1.45,5.64,1.49,5.25,1.03,6.67,2.14,6.56,1.97,556.58,55.16,0.943,0.041
背叛,betrayed,3.14,2.09,5.57,2.02,3.57,0.41,5.05,1.2,4.53,1.02,5.64,0.27,520.52,38.74,0.893,0.048
奔放,outspoken,4.87,1.57,6.33,0.91,3.3,0.98,6.07,0.79,4.2,1.22,4.71,0.42,486.74,24.8,0.92,0.029
崩溃,collapse,3.22,2.1,5.81,1.65,4.86,1.51,4.32,0.79,3.79,1.86,4.59,0.55,509.01,60.47,0.891,0.065
鼻涕,snot,2.51,0.93,5.85,0.9,4.71,1.03,5.54,1.91,4.63,1.84,4.78,1.27,495.06,22.98,0.91,0.029
匕首,dagger,6.54,1.89,5.39,1.29,5.93,0.94,3.96,0.94,6.66,0.74,5.96,1.51,517.75,56.65,0.943,0.049
鞭炮,fire cracker,5.97,0.44,5.57,1.81,6.5,0.6,6.5,0.56,7.77,1.22,7.07,0.44,537.74,35.6,0.916,0.067
标本,sample,4.51,0.94,3,1.24,6.14,0.65,4.88,1.56,5.94,1.81,5.33,0.41,617.38,29.25,0.908,0.066
飙车,car race,5.19,1.94,6.56,1.87,5.94,0.39,4.67,1.16,5.93,1.24,6.3,0.54,591.52,34.32,0.949,0.041
表扬,compliment,6.32,1.65,6.04,0.89,5.68,1.5,5.67,1.29,5.84,1.76,6.05,1.34,641.57,29.37,0.946,0.042
别墅,villa,4.74,2.12,6.72,1.83,6.23,1.2,4.6,2.03,7.16,0.79,6.09,0.52,587.79,26.52,0.923,0.038
宾馆,hotel,5.86,1.18,4.58,0.58,7.11,0.49,5.42,0.96,6.63,2.2,6.33,1.16,558.7,53.4,0.943,0.06
兵营,military camp,4.45,0.57,4.77,1.43,4.77,0.56,4,1.56,4.13,0.79,4.11,0.89,568.9,47.77,0.948,0.024
病床,sick bed,1.89,0.48,8.11,0.72,3.54,1.59,4.57,1.56,3.86,1.33,4.89,1.45,542.89,33,0.929,0.019
病房,ward,2.64,1.2,6.64,1.12,4.43,0.99,3.64,0.83,7.21,0.42,6.63,0.72,478.3,31.43,0.9,0.012
病历,medical history,2.59,1.16,5.02,1.88,4.78,1.54,5.02,1.17,4.95,1.94,5.34,1.26,510.56,39.99,0.936,0.053
病人,sickman,2.79,0.48,5.11,1.75,5.21,0.24,3.82,1.39,6.16,0.56,5.27,0.63,566.17,43.77,0.95,0.043
病逝,die of illness,3.78,2.26,6.11,1.57,5.67,1.11,5.11,1.53,5.98,0.77,5.91,1.46,603.83,25.73,0.889,0.014
病态,sick,6.2,0.92,5.84,1.94,5.37,0.61,5.37,0.8,6.75,0.75,6.08,1.16,501.71,63.43,0.9,0.043
波浪,waves,5.36,1.58,5.21,1.48,3.32,1.92,5.43,1.57,4.96,1.47,5.69,0.85,537.27,59.34,0.878,0.043
搏斗,fight,1.77,1.13,6.73,0.56,3.13,0.96,6.33,2.03,3.61,1.94,4.25,1.33,509.33,57.38,0.877,0.041
捕杀,killing,1.87,0.44,6.9,0.47,3.53,1.11,3.13,1.84,4.96,1.13,4.97,0.65,561.57,39.64,0.875,0.021
布鞋,cloth shoes,1.82,0.79,6.14,2.03,6.23,1.44,4.54,1.62,6.49,1.12,6.59,0.35,544.23,48.14,0.874,0.024
步伐,tempo,2.75,0.78,4.36,2.03,6.56,0.67,6.73,1.98,6.98,0.69,5.55,1.16,613.55,45.8,0.906,0.071
才华,talent,6.89,0.37,6.39,1.84,7.78,0.3,7.5,0.96,7.6,1.88,7.14,1.31,521.72,23.89,0.919,0.053
彩虹,raibbow,1.8,0.37,7.27,0.56,6.43,0.44,5.88,0.96,6.43,1.21,6.19,1.27,590.56,31.09,0.901,0.055
彩票,lottery,5.39,1.58,4.96,0.59,5.79,0.43,5.11,1.91,7.63,1.45,7.08,1.97,536.91,63.48,0.959,0.014
餐厅,restaurant,7.36,1.99,4.79,2.01,7.11,1.54,6.11,1.56,7.85,0.89,7.3,1.1,611.5,25.35,0.932,0.04
残兵,defeated army,3.63,0.63,5.89,0.99,4.66,1.3,3.94,0.73,5.75,1.77,5.47,1.32,524.99,33.09,0.916,0.065
残骸,wreckage,2,1.86,6.44,1.79,3.78,1.14,4.32,1.92,4.62,1.61,4.43,1.17,478.54,60.79,0.874,0.055
残疾,disabled,6.68,2.23,4.37,0.71,5.83,1.86,4.95,1.36,5.29,1.6,5.54,1.15,597.98,56.03,0.908,0.024
残酷,cruel,1.58,0.87,6.17,1.82,4.92,0.87,4.14,2.1,5.7,0.72,5.37,0.27,528.22,42.11,0.889,0.028
蚕丝,silk,6.15,0.5,6.56,1.25,6.76,0.78,6.51,0.85,7.58,0.45,6.75,0.75,640.66,51.28,0.941,0.021
惭愧,regretful,4.73,2,3.9,1.77,6.56,1.38,6.19,1.23,5.99,2.04,5.51,1.06,522.07,62.72,0.916,0.065
仓库,warehouse,5.43,1.61,6.5,1.8,4.61,0.93,5.78,1.99,4.8,1.53,5.83,1.93,473.91,57.49,0.912,0.056
苍白,pale,3.43,1.52,6.23,1.71,7.1,0.33,5.2,1.44,7.7,1.64,6.71,1.44,537.17,30.89,0.905,0.007
苍蝇,flies,1.45,2.24,6.41,1.43,3.59,0.6,2.32,1.05,5.58,0.46,4.97,0.54,513.34,26.64,0.906,0.052
操场,play ground,5.43,0.37,5.09,0.64,4.57,0.26,4.96,1.37,5.3,1.66,6.27,1.87,510.08,31.95,0.901,0.018
草包,straw bag,2.13,1.01,5.87,1.42,2.93,1.48,5.43,1.26,4.09,0.63,4.97,1.88,575.12,46.4,0.917,0.026
草率,rushed decision,2.82,0.4,4.5,1.78,3.46,1.29,3.75,0.56,4.07,1.64,4.81,1.72,531.03,23.91,0.932,0.05
厕所,toilet,4.94,2.08,3.5,0.49,5.25,1.55,6.22,1.59,5.95,1.05,6.19,1.96,529.51,50.9,0.924,0.038
插花,flower arrangement,5.98,0.72,5.29,2.06,6.59,0.75,6.29,0.64,6.58,0.86,5.49,1.35,532.79,27.21,0.888,0.063
插画,illustration,6.88,2.3,6.37,0.79,5.73,0.28,5.88,2.05,5.15,2.03,4.8,1.58,519.79,63.69,0.95,0.008
茶花,tea flower,5.89,1.32,4.86,1.1,5.71,0.98,5.39,1.02,6.36,0.75,6.46,1.8,602.69,39.44,0.913,0.009
茶叶,tea leaf,5.61,1.17,4.82,0.71,5.32,0.96,3.43,1.79,6.57,2.17,5.83,1.59,516.54,59.05,0.944,0.045
差别,difference,4.27,0.5,3.63,1.64,5.37,1.47,4.83,1.19,6.71,1.09,5.92,0.82,540.49,57.24,0.89,0.054
差异,difference,4.39,1.55,4.69,0.98,5.69,1.2,5.22,1.12,6.88,1.18,6.67,0.71,512.47,33.36,0.915,0.07
禅师,zen master,6.14,1.05,4.87,0.53,5.69,1.62,5.5,1.14,5.53,1.16,6.02,1.59,551.28,41.66,0.926,0.044
忏悔,remorse,3.78,1.08,7.31,1.78,4.83,1.71,5.19,1.7,4.49,0.6,4.95,0.51,534.75,49.54,0.955,0.057
娼妇,slut,1.53,1.79,8.36,0.58,4.53,0.8,5.22,1.46,5.05,0.96,5.3,1.79,495.43,45.5,0.907,0.07
倡导,promote,5.75,2.24,5.36,1.1,6.14,1.24,6.03,0.91,6.65,1.29,6.57,1.15,541.75,25.64,0.883,0.017
钞票,cash,6.82,1.62,6.18,0.55,6.5,1.48,7.23,1.12,6.84,1.37,6.37,0.61,509.85,54.07,0.955,0.07
吵架,quarrel,2,1.14,6.88,1.2,3.92,1.46,4.97,1.75,4.57,0.83,5.54,0.32,556.42,41.26,0.914,0.018
车祸,car crash,3,2.13,3.47,1.12,2.93,1.34,5.57,1.46,4.67,1.51,5.43,1.73,570.44,41.42,0.94,0.037
车裂,broken car,1.85,1.19,8.4,0.68,5.24,1.8,6.46,1.32,6.48,0.51,6.55,1.66,499.78,62.73,0.942,0.03
彻底,thorough,2.34,1.96,7.63,0.84,5.77,1.86,5.34,0.73,7.08,0.98,5.97,1.68,618.72,37.56,0.925,0.039
沉醉,intoxicated,7.33,1.76,6.97,1.08,6.39,1.57,5.22,1.47,6.49,1.88,6.09,1.48,616.97,38.99,0.876,0.035
称赞,praise,6.39,2.13,6.67,0.59,5.08,0.73,5.78,1.11,5.12,1.63,5.86,0.97,586.92,38.87,0.933,0.031
成婚,marriage,5.26,1.37,5.51,0.46,4.74,0.73,4.6,0.71,4.81,2.03,5.16,1.14,578.36,22.7,0.92,0.068
成就,achievement,5.64,2.12,6.12,1.02,6.39,0.89,4.81,1.59,6.42,2.06,5.58,0.21,557.13,44.25,0.923,0.009
成亲,get married,4.53,1.75,4.17,1.94,4.23,1.04,6.18,0.58,4.68,1.65,4.47,1.11,549.01,56.48,0.947,0.023
