word_chinese_simplified,translate_word_english,valence_mean,valence_sd,arousal_mean,arousal_sd,familiar_mean,familiar_sd,concrete_mean,concrete_sd,imagine_mean,imagine_sd,frequency_words_per_million,frequency_log,frequency_zipf,strokes_1st_character_n,strokes_2nd_character_n,strokes_total_n
前途,prospect,3.89,1.07,3.74,1.2,4.76,0.44,3.54,1.14,3.54,1.26,15.23,2.71,3.43,9,10,19
立場,standpoint,3,0,2.93,1.46,4.56,0.51,3.43,1.37,3.43,1.37,15.23,2.71,3.43,5,12,17
意志,will,3.96,0.92,3.14,1.11,4.22,0.89,2.46,1.23,2.96,1.48,15.23,2.71,3.43,13,7,20
本事,capability,3.89,0.83,3.11,1.13,4.12,0.83,2.96,1.23,2.93,1.3,15.17,2.71,3.43,5,8,13
指令,command,2.54,0.69,2.79,1.4,4.38,0.8,4.33,0.62,3.96,1.23,15.08,2.7,3.43,9,5,14
保釋,bail,2.41,0.75,3,1.39,3.86,1.3,4.54,0.65,3.86,1.35,15.02,2.7,3.43,9,20,29
診斷,diagnosis,2.78,0.64,2.37,1.18,4.07,1.05,4.04,0.9,3.14,1.35,14.99,2.7,3.43,12,18,30
姓名,full name,3.39,0.83,1.78,0.97,4.73,0.53,4.78,0.51,4.73,0.45,14.99,2.7,3.43,8,6,14
資源,resource,3.54,0.79,2.25,1.04,4.36,0.62,4.11,0.89,4.04,0.81,14.96,2.7,3.43,13,13,26
叛徒,traitor,1.5,0.51,4.22,0.97,3.86,1.15,4.67,0.55,4.59,0.64,14.96,2.7,3.43,9,10,19
成人,adult,3.11,0.42,2.29,1.24,4.56,0.64,4.7,0.54,4.68,0.55,14.96,2.7,3.43,6,2,8
模式,mode,3,0,2.14,1.24,4.23,0.76,3.36,1.16,2.79,1.17,14.93,2.7,3.43,15,6,21
外表,appearance,3.54,0.84,2.46,1.29,4.69,0.47,4.65,0.56,4.7,0.54,14.85,2.7,3.43,5,8,13
小事,small things,3.59,0.8,1.74,0.76,4.36,0.68,3.64,1.45,3.11,1.42,14.82,2.7,3.43,3,8,11
才華,talent,4.46,0.51,3.18,1.12,4.43,0.63,3.29,1.49,3.46,1.37,14.49,2.69,3.43,3,12,15
貢獻,contribution,4.36,0.49,3.29,1.21,4.44,0.64,3.82,1.16,3.5,1.4,14.31,2.68,3.43,10,20,30
賬戶,account,3,0.82,2.46,1.2,4.5,0.65,4.37,0.84,4.07,1.21,14.25,2.68,3.43,15,4,19
熱線,hotline,3,0.28,2,1.05,4.15,1.05,4.11,1.31,4.41,0.75,14.04,2.67,3.43,15,15,30
政策,policy,2.63,0.56,2.85,1.17,4.44,0.7,4.44,0.7,3.93,1.21,13.95,2.67,3.43,9,12,21
良心,conscience,4.25,0.65,2.96,1.37,4.46,0.64,3.04,1.22,2.71,1.33,13.92,2.67,3.43,7,4,11
尊嚴,dignity,4.23,0.51,4.11,0.85,4.41,0.69,3.29,1.46,2.89,1.42,13.77,2.66,3.43,12,20,32
餘生,rest of the life,2.58,0.7,2.64,1.47,3.58,1.33,3,1.41,2.71,1.36,13.53,2.66,3.42,15,5,20
設置,settings,2.96,0.19,1.93,1.02,4.15,0.91,3.54,1.45,3.36,1.39,13.15,2.64,3.42,11,13,24
約定,agreement,4.12,0.77,3.18,1.39,4.44,0.77,4.42,0.58,4.04,1.23,13,2.64,3.42,9,8,17
榮耀,honor,4.68,0.48,3.61,1.29,4.21,0.92,3.43,1.26,3.36,1.28,12.97,2.64,3.42,14,20,34
腦海,mind,3,0.55,2.25,1.21,3.96,0.94,2.57,1.26,2.79,1.47,12.97,2.64,3.42,13,10,23
時空,time and space,3.32,0.72,2.29,1.05,3.75,1,2.57,1.4,2.75,1.32,12.88,2.64,3.42,10,8,18
信念,belief,4.11,0.74,2.93,1.15,4.38,0.75,2.68,1.33,2.89,1.31,12.73,2.63,3.42,9,8,17
文明,civilization,4,0.86,2.79,1.37,4.25,0.84,3.32,1.36,3.43,1.1,12.46,2.62,3.42,4,8,12
定義,definition,2.89,0.42,1.86,1.01,4.44,0.65,3.32,1.52,2.46,1.37,11.72,2.59,3.41,8,13,21
結構,structure,3,0,1.89,0.92,4.36,0.7,3.79,1.13,3.46,1.32,11.3,2.58,3.41,12,14,26
動靜,movement,3.07,0.47,2.36,1.06,4.04,0.9,3.11,1.07,2.79,1.23,11.24,2.58,3.41,11,16,27
光榮,glory,4.57,0.5,3.68,1.22,4.38,0.64,3.29,1.38,3.61,1.37,10.91,2.56,3.41,6,14,20
邏輯,logic,3.11,0.8,2.25,1.27,4.14,0.8,2.82,1.31,2.46,1.35,10.88,2.56,3.41,22,16,38
人格,personality,3.19,0.56,2.68,1.19,4.18,0.98,2.82,1.36,2.86,1.27,10.79,2.56,3.41,2,10,12
思維,cogitation,3.32,0.72,2.57,1.17,4.11,0.93,2.32,1.09,2.32,1.22,10.73,2.56,3.41,9,14,23
質量,mass,3.31,0.47,2.21,1.17,4.04,0.94,3.14,1.24,2.71,1.33,10.73,2.56,3.41,15,12,27
真理,truth,3.85,0.77,3,1.18,4.19,0.74,2.46,1.48,2.57,1.48,10.67,2.55,3.41,10,11,21
級別,grade,3.04,0.44,2.25,1.24,4.23,0.95,4,1.28,3.75,1.35,10.67,2.55,3.41,10,7,17
