"key","author","year","title","journal","volume","pages","doi","short_cite","full_cite"
"AlvarezMosquera2026","Pedro Álvarez-Mosquera, Alba Marín-Gutiérrez, Miguel Cuevas-Alonso, Alberto Iglesias Álvarez",2026,"Psycholinguistic Norming of Galician Words (NORGAL)","Zenodo (dataset)",NA,NA,"10.5281/zenodo.21224229","Álvarez-Mosquera et al. (2026)","Álvarez-Mosquera, P., Marín-Gutiérrez, A., Cuevas-Alonso, M., & Álvarez, A. I. (2026). Psycholinguistic Norming of Galician Words (NORGAL). Zenodo (dataset)."
"Barca2002","Laura Barca, Cristina Burani, Lisa S. Arduino",2002,"Word naming times and psycholinguistic norms for Italian nouns","Behavior Research Methods, Instruments, & Computers","34","424-434","10.3758/bf03195471","Barca et al. (2002)","Barca, L., Burani, C., & Arduino, L. S. (2002). Word naming times and psycholinguistic norms for Italian nouns. Behavior Research Methods, Instruments, & Computers, 34, 424-434."
"Bonin2018","Patrick Bonin, Alain Méot, Aurélia Bugaiska",2018,"Concreteness norms for 1,659 French words: Relationships with other psycholinguistic variables and word recognition times","Behavior Research Methods","50","2366-2387","10.3758/s13428-018-1014-y","Bonin et al. (2018)","Bonin, P., Méot, A., & Bugaiska, A. (2018). Concreteness norms for 1,659 French words: Relationships with other psycholinguistic variables and word recognition times. Behavior Research Methods, 50, 2366-2387."
"Brysbaert2014a","Marc Brysbaert, Michaël Stevens, Simon De Deyne, Wouter Voorspoels, Gert Storms",2014,"Norms of age of acquisition and concreteness for 30,000 Dutch words","Acta Psychologica","150","80-84","10.1016/j.actpsy.2014.04.010","Brysbaert et al. (2014)","Brysbaert, M., Stevens, M., Deyne, S. D., Voorspoels, W., & Storms, G. (2014). Norms of age of acquisition and concreteness for 30,000 Dutch words. Acta Psychologica, 150, 80-84."
"Cameirao2010","Manuela L. Cameirão, Selene G. Vicente",2010,"Age-of-acquisition norms for a set of 1,749 Portuguese words","Behavior Research Methods","42","474-480","10.3758/brm.42.2.474","Cameirão & Vicente (2010)","Cameirão, M. L. & Vicente, S. G. (2010). Age-of-acquisition norms for a set of 1,749 Portuguese words. Behavior Research Methods, 42, 474-480."
"Davis2005a","Colin J. Davis, Manuel Perea",2005,"BuscaPalabras: A program for deriving orthographic and phonological neighborhood statistics and other psycholinguistic indices in Spanish","Behavior Research Methods","37","665-671","10.3758/bf03192738","Davis & Perea (2005)","Davis, C. J. & Perea, M. (2005). BuscaPalabras: A program for deriving orthographic and phonological neighborhood statistics and other psycholinguistic indices in Spanish. Behavior Research Methods, 37, 665-671."
"DellaRosa2010","Pasquale A. Della Rosa, Eleonora Catricalà, Gabriella Vigliocco, Stefano F. Cappa",2010,"Beyond the abstract—concrete dichotomy: Mode of acquisition, concreteness, imageability, familiarity, age of acquisition, context availability, and abstractness norms for a set of 417 Italian words","Behavior Research Methods","42","1042-1048","10.3758/brm.42.4.1042","Della Rosa et al. (2010)","Della Rosa, P. A., Catricalà, E., Vigliocco, G., & Cappa, S. F. (2010). Beyond the abstract-concrete dichotomy: Mode of acquisition, concreteness, imageability, familiarity, age of acquisition, context availability, and abstractness norms for a set of 417 Italian words. Behavior Research Methods, 42, 1042-1048."
"Diez-Alamo2018a","Antonio M. Díez-Álamo, Emiliano Díez, María Ángeles Alonso, C. Alejandra Vargas, Angel Fernandez",2018,"Normative ratings for perceptual and motor attributes of 750 object concepts in Spanish","Behavior Research Methods","50","1632-1644","10.3758/s13428-017-0970-y","Díez-Álamo et al. (2018)","Díez-Álamo, A. M., Díez, E., Alonso, M. Á., Vargas, C. A., & Fernandez, A. (2018). Normative ratings for perceptual and motor attributes of 750 object concepts in Spanish. Behavior Research Methods, 50, 1632-1644."
"Duchon2013","Andrew Duchon, Manuel Perea, Nuria Sebastián-Gallés, Antonia Martí, Manuel Carreiras",2013,"EsPal: One-stop shopping for Spanish word properties","Behavior Research Methods","45","1246-1258","10.3758/s13428-013-0326-1","Duchon et al. (2013)","Duchon, A., Perea, M., Sebastián-Gallés, N., Martí, A., & Carreiras, M. (2013). EsPal: One-stop shopping for Spanish word properties. Behavior Research Methods, 45, 1246-1258."
"Ferre2012","Pilar Ferré, Marc Guasch, Cornelia Moldovan, Rosa Sánchez-Casas",2012,"Affective norms for 380 Spanish words belonging to three different semantic categories","Behavior Research Methods","44","395-403","10.3758/s13428-011-0165-x","Ferré et al. (2012)","Ferré, P., Guasch, M., Moldovan, C., & Sánchez-Casas, R. (2012). Affective norms for 380 Spanish words belonging to three different semantic categories. Behavior Research Methods, 44, 395-403."
"Goz2017","İlyas Göz, Ali İ. Tekcan, Aslı Aktan Erciyes",2017,"Subjective age-of-acquisition norms for 600 Turkish words from four age groups","Behavior Research Methods","49","1736-1746","10.3758/s13428-016-0817-y","Göz et al. (2017)","Göz, İ., Tekcan, A. İ., & Erciyes, A. A. (2017). Subjective age-of-acquisition norms for 600 Turkish words from four age groups. Behavior Research Methods, 49, 1736-1746."
"Grigoriev2026","Andrei A. Grigoriev, Konstantin V. Sugonyaev, Svetlana A. Pashneva, Ekaterina A. Valueva, Nikolai A. Grigorev",2026,"Subjective age of acquisition norms for 30,849 Russian words","Behavior Research Methods","58","281","10.3758/s13428-026-03138-2","Grigoriev et al. (2026)","Grigoriev, A. A., Sugonyaev, K. V., Pashneva, S. A., Valueva, E. A., & Grigorev, N. A. (2026). Subjective age of acquisition norms for 30,849 Russian words. Behavior Research Methods, 58, 281."
"Guasch2016","Marc Guasch, Pilar Ferré, Isabel Fraga",2016,"Spanish norms for affective and lexico-semantic variables for 1,400 words","Behavior Research Methods","48","1358-1369","10.3758/s13428-015-0684-y","Guasch et al. (2016)","Guasch, M., Ferré, P., & Fraga, I. (2016). Spanish norms for affective and lexico-semantic variables for 1,400 words. Behavior Research Methods, 48, 1358-1369."
"Hinojosa2016a","J. A. Hinojosa, N. Martínez-García, C. Villalba-García, U. Fernández-Folgueiras, A. Sánchez-Carmona, M. A. Pozo, et al.",2016,"Affective norms of 875 Spanish words for five discrete emotional categories and two emotional dimensions","Behavior Research Methods","48","272-284","10.3758/s13428-015-0572-5","Hinojosa et al. (2016)","Hinojosa, J. A., Martínez-García, N., Villalba-García, C., Fernández-Folgueiras, U., Sánchez-Carmona, A., Pozo, M. A., & al., e. (2016). Affective norms of 875 Spanish words for five discrete emotional categories and two emotional dimensions. Behavior Research Methods, 48, 272-284."
"Imbir2016","Kamil K. Imbir",2016,"Affective Norms for 4900 Polish Words Reload (ANPW_R): Assessments for Valence, Arousal, Dominance, Origin, Significance, Concreteness, Imageability and, Age of Acquisition","Frontiers in Psychology","7","1081","10.3389/fpsyg.2016.01081","Imbir (2016)","Imbir, K. K. (2016). Affective Norms for 4900 Polish Words Reload (ANPW_R): Assessments for Valence, Arousal, Dominance, Origin, Significance, Concreteness, Imageability and, Age of Acquisition. Frontiers in Psychology, 7, 1081."
"Jasmin2012","Kyle Jasmin, Daniel Casasanto",2012,"The QWERTY Effect: How typing shapes the meanings of words.","Psychonomic Bulletin & Review","19","499-504","10.3758/s13423-012-0229-7","Jasmin & Casasanto (2012)","Jasmin, K. & Casasanto, D. (2012). The QWERTY Effect: How typing shapes the meanings of words.. Psychonomic Bulletin & Review, 19, 499-504."
"Kanske2010","Philipp Kanske, Sonja A. Kotz",2010,"Leipzig Affective Norms for German: A reliability study","Behavior Research Methods","42","987-991","10.3758/brm.42.4.987","Kanske & Kotz (2010)","Kanske, P. & Kotz, S. A. (2010). Leipzig Affective Norms for German: A reliability study. Behavior Research Methods, 42, 987-991."
"Liu2007","Youyi Liu, Hua Shu, Ping Li",2007,"Word naming and psycholinguistic norms: Chinese","Behavior Research Methods","39","192-198","10.3758/bf03193147","Liu et al. (2007)","Liu, Y., Shu, H., & Li, P. (2007). Word naming and psycholinguistic norms: Chinese. Behavior Research Methods, 39, 192-198."
"Liu2025","Jia Liu, Lin Fan, Xiaokun Zhang, Zeming Xu",2026,"Affective and Psycholinguistic Norms for 1200 Two‐character Chinese Words","International Journal of Applied Linguistics","36","965-978","10.1111/ijal.12829","Liu et al. (2026)","Liu, J., Fan, L., Zhang, X., & Xu, Z. (2026). Affective and Psycholinguistic Norms for 1200 Two‐character Chinese Words. International Journal of Applied Linguistics, 36, 965-978."
"Marques2005","J. F. Marques",2005,"Normas de imagética e concreteza para substantivos comuns [Imageability and concreteness norms for common nouns]","Laboratório de Psicologia","3","65–75",NA,"Marques (2005)","Marques, J. F. (2005). Normas de imagética e concreteza para substantivos comuns [Imageability and concreteness norms for common nouns]. Laboratório de Psicologia, 3, 65–75."
"Marques2007","J. Frederico Marques, Francisca L. Fonseca, Sofia Morais, Inês A. Pinto",2007,"Estimated age of acquisition norms for 834 Portuguese nouns and their relation with other psycholinguistic variables","Behavior Research Methods","39","439-444","10.3758/bf03193013","Marques et al. (2007)","Marques, J. F., Fonseca, F. L., Morais, S., & Pinto, I. A. (2007). Estimated age of acquisition norms for 834 Portuguese nouns and their relation with other psycholinguistic variables. Behavior Research Methods, 39, 439-444."
"Montefinese2014","Maria Montefinese, Ettore Ambrosini, Beth Fairfield, Nicola Mammarella",2014,"The adaptation of the Affective Norms for English Words (ANEW) for Italian","Behavior Research Methods","46","887-903","10.3758/s13428-013-0405-3","Montefinese et al. (2014)","Montefinese, M., Ambrosini, E., Fairfield, B., & Mammarella, N. (2014). The adaptation of the Affective Norms for English Words (ANEW) for Italian. Behavior Research Methods, 46, 887-903."
"Montefinese2023_it","Maria Montefinese, Lorenzo Gregori, Andrea Amelio Ravelli, Rossella Varvara, Daniele Paolo Radicioni",2023,"CONcreTEXT norms: Concreteness ratings for Italian and English words in context","PLOS ONE","18","e0293031","10.1371/journal.pone.0293031","Montefinese et al. (2023)","Montefinese, M., Gregori, L., Ravelli, A. A., Varvara, R., & Radicioni, D. P. (2023). CONcreTEXT norms: Concreteness ratings for Italian and English words in context. PLOS ONE, 18, e0293031."
"Quadflieg2014","Susanne Quadflieg, Caroline Michel, Henryk Bukowski, Dana Samson",2014,"A database of psycholinguistic and lexical properties for French adjectives referring to human and/or nonhuman attributes.","Canadian Journal of Experimental Psychology / Revue canadienne de psychologie expérimentale","68","67-76","10.1037/cep0000001","Quadflieg et al. (2014)","Quadflieg, S., Michel, C., Bukowski, H., & Samson, D. (2014). A database of psycholinguistic and lexical properties for French adjectives referring to human and/or nonhuman attributes.. Canadian Journal of Experimental Psychology / Revue canadienne de psychologie expérimentale, 68, 67-76."
"Soares2017","Ana Paula Soares, Ana Santos Costa, João Machado, Montserrat Comesaña, Helena Mendes Oliveira",2017,"The Minho Word Pool: Norms for imageability, concreteness, and subjective frequency for 3,800 Portuguese words","Behavior Research Methods","49","1065-1081","10.3758/s13428-016-0767-4","Soares et al. (2017)","Soares, A. P., Costa, A. S., Machado, J., Comesaña, M., & Oliveira, H. M. (2017). The Minho Word Pool: Norms for imageability, concreteness, and subjective frequency for 3,800 Portuguese words. Behavior Research Methods, 49, 1065-1081."
"Su2023","I-Fan Su, Yen Na Yum, Dustin Kai-Yan Lau",2022,"Hong Kong Chinese character psycholinguistic norms: ratings of 4376 single Chinese characters on semantic radical transparency, age-of-acquisition, familiarity, imageability, and concreteness","Behavior Research Methods","55","2989-3008","10.3758/s13428-022-01928-y","Su et al. (2022)","Su, I., Yum, Y. N., & Lau, D. K. (2022). Hong Kong Chinese character psycholinguistic norms: ratings of 4376 single Chinese characters on semantic radical transparency, age-of-acquisition, familiarity, imageability, and concreteness. Behavior Research Methods, 55, 2989-3008."
"Yao2017","Zhao Yao, Jia Wu, Yanyan Zhang, Zhenhong Wang",2017,"Norms of valence, arousal, concreteness, familiarity, imageability, and context availability for 1,100 Chinese words","Behavior Research Methods","49","1374-1385","10.3758/s13428-016-0793-2","Yao et al. (2017)","Yao, Z., Wu, J., Zhang, Y., & Wang, Z. (2017). Norms of valence, arousal, concreteness, familiarity, imageability, and context availability for 1,100 Chinese words. Behavior Research Methods, 49, 1374-1385."
"Yee2017","Lydia T. S. Yee",2017,"Valence, arousal, familiarity, concreteness, and imageability ratings for 292 two-character Chinese nouns in Cantonese speakers in Hong Kong","PLOS ONE","12","e0174569","10.1371/journal.pone.0174569","Yee (2017)","Yee, L. T. S. (2017). Valence, arousal, familiarity, concreteness, and imageability ratings for 292 two-character Chinese nouns in Cantonese speakers in Hong Kong. PLOS ONE, 12, e0174569."
