"language","n_sources","pooled_nouns","core_tier","extended_tier_selected","selected","n_with_gloss"
"Dutch",2,14464,8658,0,4000,0
"French",2,1177,714,0,714,714
"Italian",4,1137,661,0,661,660
"Portuguese",4,2872,1712,0,1712,1709
"Chinese_Simplified",4,2581,1560,0,1560,450
"Spanish",6,2199,1294,0,1294,837
"Russian",3,1752,1068,0,1068,1068
"Chinese_Traditional",1,2793,1664,0,1664,0
"Turkish",1,367,221,0,221,221
"German",1,1000,600,0,600,0
"Galician",1,1034,624,0,624,624
"Polish",1,2826,1689,0,1689,1689
