"built_at","slot","word","n_total_at_selection"
2026-09-23 02:19:04.83193,"w01","garbage",28
2026-09-23 02:19:04.83193,"w02","rocket",0
2026-09-23 02:19:04.83193,"w03","dawn",0
2026-09-23 02:19:04.83193,"w04","foothill",0
2026-09-23 02:19:04.83193,"w05","masseur",0
2026-09-23 02:19:04.83193,"w06","milkmaid",0
2026-09-23 02:19:04.83193,"w07","turtledove",0
2026-09-23 02:19:04.83193,"w08","flagstone",0
2026-09-23 02:19:04.83193,"w09","trail",0
2026-09-23 02:19:04.83193,"w10","locust",0
2026-09-23 02:19:04.83193,"w11","observatory",0
2026-09-23 02:19:04.83193,"w12","fox",0
2026-09-23 02:19:04.83193,"w13","gutter",0
2026-09-23 02:19:04.83193,"w14","anaconda",0
2026-09-23 02:19:04.83193,"w15","steed",0
2026-09-23 02:19:04.83193,"w16","monastery",0
2026-09-23 02:19:04.83193,"w17","curve",0
2026-09-23 02:19:04.83193,"w18","chrome",0
2026-09-23 02:19:04.83193,"w19","cove",0
2026-09-23 02:19:04.83193,"w20","oriole",0
2026-09-23 02:19:04.83193,"w21","hunter",0
2026-09-23 02:19:04.83193,"w22","liverwurst",0
2026-09-23 02:19:04.83193,"w23","coastguard",0
2026-09-23 02:19:04.83193,"w24","maze",0
2026-09-23 02:19:04.83193,"w25","vineyard",0
2026-09-23 02:19:04.83193,"w26","orchestra",0
2026-09-23 02:19:04.83193,"w27","vertebra",0
2026-09-23 02:19:04.83193,"w28","shaving",0
2026-09-23 02:19:04.83193,"w29","dome",0
2026-09-23 02:19:04.83193,"w30","stag",0
