"cue","n_previous"
"abdomen",33
"absinthe",26
"accessory",32
"accordion",27
"accountant",28
"acne",29
"acorn",38
"acrobat",26
"actor",28
"actress",32
"acupuncture",35
"adapter",30
"addict",31
"adult",28
"advisor",35
"afro",30
"aftershave",28
"aircraft",26
"airman",28
"airplane",28
"album",35
"alcohol",28
"ale",27
"alfalfa",27
"algae",30
"almond",31
"altar",27
"altarpiece",28
"aluminum",30
"ambulance",27
"ammunition",51
"amphibian",32
"amulet",33
"anchor",25
"anchovy",26
"animal",38
"ankle",25
"anklet",38
"announcer",25
"ant",29
"antenna",36
"antennae",29
"antibiotics",30
"antihistamine",34
"antique",58
"antiseptics",31
"anus",34
"apartment",65
"apparatus",35
"apparel",30
"appendage",28
"appetizer",27
"apple",28
"appliance",37
"applicator",26
"appraiser",33
"apprentice",33
"apricot",37
"apron",38
"aquarium",28
"arachnid",30
"archives",26
"arm",35
"armband",30
"armoire",27
"armor",30
"armpit",26
"arrow",29
"arrowhead",26
"artichoke",27
"artifact",35
"artist",26
"ash",69
"ashcan",31
"ashtray",32
"asparagus",28
"ass",32
"assassin",27
"assemblyman",29
"asshole",33
"astronaut",29
"athlete",25
"atlas",26
"attendant",25
"attire",29
"attorney",32
"auditorium",31
"aunt",33
"author",30
"auto",34
"automobile",26
"automotive",27
"avocado",30
"awning",28
"axe",97
"axle",33
"azalea",28
"babe",28
"baby",28
"backboard",29
"backbone",34
"backdoor",26
"backgammon",28
"backpack",28
"backscratcher",26
"bacon",27
"badge",30
"badminton",26
"bag",24
"baggage",30
"bagpipe",50
"bait",26
"baklava",29
"balcony",35
"ball",33
"ballerina",28
"balloon",34
"balloonist",27
"ballot",27
"ballplayer",28
"balm",33
"bamboo",27
"banana",25
"band",27
"bandage",29
"bangle",33
"banister",27
"banjo",29
"bank",25
"bankbook",26
"banknote",29
"banquet",30
"barbecue",26
"barber",34
"barkeep",25
"barley",26
"barman",29
"barn",27
"barnacle",28
"barrel",26
"barrette",26
"barricade",35
"bartender",39
"baseball",35
"baseboard",27
"basement",28
"basil",27
"basin",29
"basket",27
"basketball",28
"bass",36
"bassinet",25
"bat",39
"bath",27
"bathe",33
"bathroom",38
"bathtub",28
"baton",26
"battery",27
"battleship",30
"bayonet",27
"bazooka",29
"beach",27
"beachwear",27
"bead",34
"beagle",33
"beaker",28
"beanstalk",36
"beard",33
"beautician",30
"bed",26
"bedclothes",24
"bedpost",26
"bedroom",33
"bedspread",39
"beef",32
"beefcake",34
"beefsteak",27
"beer",37
"beet",33
"beetle",26
"beggar",27
"bell",29
"bellboy",29
"bellflower",32
"bellman",29
"belly",32
"belongings",29
"belt",36
"bench",29
"beret",27
"berry",36
"beverage",34
"bib",27
"bible",38
"bicep",34
"bicycle",25
"bifocals",52
"bike",29
"bill",27
"billfold",31
"billiards",31
"bin",35
"binoculars",37
"biologist",30
"bird",34
"birdbath",27
"birdseed",34
"birthmark",28
"biscuit",31
"bistro",26
"blackberry",34
"blackboard",29
"blackhead",46
"blade",38
"blanket",27
"blazer",33
"bleach",28
"bleacher",36
