"cue","n_total","needs_norming"
"abdomen",33,"No"
"absinthe",26,"Yes"
"accessory",32,"No"
"accordion",27,"Yes"
"accountant",28,"Yes"
"acne",29,"Yes"
"acorn",38,"No"
"acrobat",26,"Yes"
"actor",28,"Yes"
"actress",32,"No"
"acupuncture",35,"No"
"adapter",30,"No"
"addict",31,"No"
"adult",28,"Yes"
"advisor",35,"No"
"afro",30,"No"
"aftershave",28,"Yes"
"aircraft",26,"Yes"
"airman",28,"Yes"
"airplane",28,"Yes"
"album",35,"No"
"alcohol",28,"Yes"
"ale",27,"Yes"
"alfalfa",27,"Yes"
"algae",30,"No"
"almond",31,"No"
"altar",27,"Yes"
"altarpiece",28,"Yes"
"aluminum",30,"No"
"ambulance",27,"Yes"
"ammunition",51,"No"
"amphibian",32,"No"
"amulet",33,"No"
"anchor",25,"Yes"
"anchovy",26,"Yes"
"animal",38,"No"
"ankle",25,"Yes"
"anklet",38,"No"
"announcer",25,"Yes"
"ant",29,"Yes"
"antenna",36,"No"
"antennae",29,"Yes"
"antibiotics",30,"No"
"antihistamine",34,"No"
"antique",58,"No"
"antiseptics",31,"No"
"anus",34,"No"
"apartment",65,"No"
"apparatus",35,"No"
"apparel",30,"No"
"appendage",28,"Yes"
"appetizer",27,"Yes"
"apple",28,"Yes"
"appliance",37,"No"
"applicator",26,"Yes"
"appraiser",33,"No"
"apprentice",33,"No"
"apricot",37,"No"
"apron",38,"No"
"aquarium",28,"Yes"
"arachnid",30,"No"
"archives",26,"Yes"
"arm",35,"No"
"armband",30,"No"
"armoire",27,"Yes"
"armor",30,"No"
"armpit",26,"Yes"
"arrow",29,"Yes"
"arrowhead",26,"Yes"
"artichoke",27,"Yes"
"artifact",35,"No"
"artist",26,"Yes"
"ash",69,"No"
"ashcan",31,"No"
"ashtray",32,"No"
"asparagus",28,"Yes"
"ass",32,"No"
"assassin",27,"Yes"
"assemblyman",29,"Yes"
"asshole",33,"No"
"astronaut",29,"Yes"
"athlete",25,"Yes"
"atlas",26,"Yes"
"attendant",25,"Yes"
"attire",29,"Yes"
"attorney",32,"No"
"auditorium",31,"No"
"aunt",33,"No"
"author",30,"No"
"auto",34,"No"
"automobile",26,"Yes"
"automotive",27,"Yes"
"avocado",30,"No"
"awning",28,"Yes"
"axe",97,"No"
"axle",33,"No"
"azalea",28,"Yes"
"babe",28,"Yes"
"baby",28,"Yes"
"backboard",29,"Yes"
"backbone",34,"No"
"backdoor",26,"Yes"
"backgammon",28,"Yes"
"backpack",28,"Yes"
"backscratcher",26,"Yes"
"bacon",27,"Yes"
"badge",30,"No"
"badminton",26,"Yes"
"bag",24,"Yes"
"baggage",30,"No"
"bagpipe",50,"No"
"bait",26,"Yes"
"baklava",29,"Yes"
"balcony",35,"No"
"ball",33,"No"
"ballerina",28,"Yes"
"balloon",34,"No"
"balloonist",27,"Yes"
"ballot",27,"Yes"
"ballplayer",28,"Yes"
"balm",33,"No"
"bamboo",27,"Yes"
"banana",25,"Yes"
"band",27,"Yes"
"bandage",29,"Yes"
"bangle",33,"No"
"banister",27,"Yes"
"banjo",29,"Yes"
"bank",25,"Yes"
"bankbook",26,"Yes"
"banknote",29,"Yes"
"banquet",30,"No"
"barbecue",26,"Yes"
"barber",34,"No"
"barkeep",25,"Yes"
"barley",26,"Yes"
"barman",29,"Yes"
"barn",27,"Yes"
"barnacle",28,"Yes"
"barrel",26,"Yes"
"barrette",26,"Yes"
"barricade",35,"No"
"bartender",39,"No"
"baseball",35,"No"
"baseboard",27,"Yes"
"basement",28,"Yes"
"basil",27,"Yes"
"basin",29,"Yes"
"basket",27,"Yes"
"basketball",28,"Yes"
"bass",36,"No"
"bassinet",25,"Yes"
"bat",39,"No"
"bath",27,"Yes"
"bathe",33,"No"
"bathroom",38,"No"
"bathtub",28,"Yes"
"baton",26,"Yes"
"battery",27,"Yes"
"battleship",30,"No"
"bayonet",27,"Yes"
"bazooka",29,"Yes"
"beach",27,"Yes"
"beachwear",27,"Yes"
"bead",34,"No"
"beagle",33,"No"
"beaker",28,"Yes"
"beanstalk",36,"No"
"beard",33,"No"
"beautician",30,"No"
"bed",26,"Yes"
"bedclothes",24,"Yes"
"bedpost",26,"Yes"
"bedroom",33,"No"
"bedspread",39,"No"
"beef",32,"No"
"beefcake",34,"No"
"beefsteak",27,"Yes"
"beer",37,"No"
"beet",33,"No"
"beetle",26,"Yes"
"beggar",27,"Yes"
"bell",29,"Yes"
"bellboy",29,"Yes"
"bellflower",32,"No"
"bellman",29,"Yes"
"belly",32,"No"
"belongings",29,"Yes"
"belt",36,"No"
"bench",29,"Yes"
"beret",27,"Yes"
"berry",36,"No"
"beverage",34,"No"
"bib",27,"Yes"
"bible",38,"No"
"bicep",34,"No"
"bicycle",25,"Yes"
"bifocals",52,"No"
"bike",29,"Yes"
"bill",27,"Yes"
"billfold",31,"No"
"billiards",31,"No"
"bin",35,"No"
"binoculars",37,"No"
"biologist",30,"No"
"bird",34,"No"
"birdbath",27,"Yes"
"birdseed",34,"No"
"birthmark",28,"Yes"
"biscuit",31,"No"
"bistro",26,"Yes"
"blackberry",34,"No"
"blackboard",29,"Yes"
"blackhead",46,"No"
"blade",38,"No"
"blanket",27,"Yes"
"blazer",33,"No"
"bleach",28,"Yes"
"bleacher",36,"No"
"blender",27,"Yes"
"blindfold",33,"No"
"blister",32,"No"
"block",32,"No"
"bloke",25,"Yes"
"blood",31,"No"
"bloodhound",36,"No"
"bloomers",29,"Yes"
"blouse",32,"No"
"blower",28,"Yes"
"blowgun",27,"Yes"
"blowtorch",27,"Yes"
"blueberry",29,"Yes"
"bluefish",27,"Yes"
"blueprint",25,"Yes"
"boa",32,"No"
"board",27,"Yes"
"boardinghouse",26,"Yes"
"boat",25,"Yes"
"boathouse",33,"No"
"boatman",27,"Yes"
"bobsleigh",29,"Yes"
"bodice",26,"Yes"
"body",28,"Yes"
"bodybuilder",30,"No"
"bodyguard",27,"Yes"
"bolt",33,"No"
"bomb",28,"Yes"
"bonbon",29,"Yes"
"bondsman",29,"Yes"
"bone",34,"No"
"bong",29,"Yes"
"bonnet",27,"Yes"
"book",31,"No"
"bookbinder",26,"Yes"
"bookcase",29,"Yes"
"bookend",28,"Yes"
"bookkeeper",28,"Yes"
"booklet",27,"Yes"
"bookmark",27,"Yes"
"bookmarker",29,"Yes"
"bookseller",28,"Yes"
"bookshelf",27,"Yes"
"boomerang",27,"Yes"
"boot",48,"No"
"booth",34,"No"
"bootlace",36,"No"
"booze",28,"Yes"
"bosom",30,"No"
"bottle",28,"Yes"
"boulder",35,"No"
"bouquet",36,"No"
"bourbon",27,"Yes"
"boutique",26,"Yes"
"bowl",27,"Yes"
"bowling",29,"Yes"
"box",28,"Yes"
"boxer",27,"Yes"
"boy",33,"No"
"boyfriend",37,"No"
"bra",51,"No"
"brace",24,"Yes"
"bracelet",28,"Yes"
"braid",35,"No"
"branch",26,"Yes"
"brandy",26,"Yes"
"brass",34,"No"
"bratwurst",28,"Yes"
"bread",29,"Yes"
"breadbasket",31,"No"
"breakfast",24,"Yes"
"breastbone",34,"No"
"breastplate",27,"Yes"
"breasts",59,"No"
"breeches",27,"Yes"
"brick",30,"No"
"bricklayer",27,"Yes"
"brickwork",35,"No"
"bridegroom",33,"No"
"bridesmaid",28,"Yes"
"bridge",27,"Yes"
"briefcase",28,"Yes"
"briefs",29,"Yes"
"brisket",25,"Yes"
"broach",33,"No"
"broccoli",38,"No"
"brochure",30,"No"
"broiler",28,"Yes"
"broker",27,"Yes"
"brooch",26,"Yes"
"broom",39,"No"
"broomstick",29,"Yes"
"broth",36,"No"
"brother",34,"No"
"brow",26,"Yes"
"brush",50,"No"
"bubble",27,"Yes"
"buck",26,"Yes"
"bucket",30,"No"
"buckle",37,"No"
"buckwheat",29,"Yes"
"buddy",31,"No"
"buffalo",37,"No"
"buffet",25,"Yes"
"bug",36,"No"
"bugle",30,"No"
"builder",29,"Yes"
"building",28,"Yes"
"bulb",39,"No"
"bulldozer",28,"Yes"
"bullet",32,"No"
"bullfighter",25,"Yes"
"bullfrog",29,"Yes"
"bully",37,"No"
"bum",31,"No"
"bun",31,"No"
"bunion",26,"Yes"
"bunk",27,"Yes"
"bunkhouse",34,"No"
"bunkmate",35,"No"
"bunny",28,"Yes"
"buoy",34,"No"
"burger",27,"Yes"
"burglar",27,"Yes"
"burlap",29,"Yes"
"bus",28,"Yes"
"bush",27,"Yes"
"businessman",26,"Yes"
"businesswoman",34,"No"
"busman",29,"Yes"
"butcher",26,"Yes"
"butt",35,"No"
"butter",38,"No"
"buttercup",28,"Yes"
"buttermilk",36,"No"
"butterscotch",27,"Yes"
"buttocks",55,"No"
"button",28,"Yes"
"buttonhole",27,"Yes"
"buttonhook",27,"Yes"
"bystander",31,"No"
"cab",31,"No"
"cabbage",31,"No"
"cabdriver",29,"Yes"
"cabin",36,"No"
"cabinet",35,"No"
"cable",32,"No"
"cactus",53,"No"
