"misspelled","suggestion"
"mache","make"
"oks","ks"
"worrie","worries"
"repot","report"
"hardwork","handwork"
"upcycle","up cycle"
"drumm","drum"
"decontaminat","decontaminate"
"hul","hula"
"ahoop","hoop"
"wate","ware"
"placemat","place mat"
"mssage","message"
"breahte","breathe"
"supress","suppress"
"sutur","suture"
"moore","moore"
"paddleboard","paddle board"
"remae","remade"
"isp","isp"
"gallp","gall"
"quizz","quiz"
"fantisize","fantasize"
"ebfriend","befriend"
"ari","air"
"snwman","snowman"
"annote","an note"
"impregnat","impregnate"
"lawncare","lawn care"
"rle","rel"
"entertainre","entertainer"
"rollerskate","roller skate"
"potteyr","pottery"
"comput","compute"
"scub","sub"
"reecd","reed"
"realx","relax"
"astroid","asteroid"
"ste","sch"
"pon","pin"
"uery","very"
"stre","stare"
"purebreed","purebred"
"elevte","elevate"
"propell","propel"
"crnige","cringe"
"rcycle","cycle"
"bakset","basket"
"roleplay","role play"
"sculp","sculpt"
"unclip","uncle"
"homecom","home com"
"eare","ware"
"caeg","cage"
"machin","machine"
"confin","confine"
"idenfity","identify"
"inhal","inhale"
"birdfeed","birdseed"
"hceap","cheap"
"lubricat","lubricate"
"designe","design"
"lesah","leash"
"dilut","dilute"
"pleate","pleat"
"pikc","pick"
"co-habitate","co-habitat"
"transcrib","transcribe"
"governent","government"
"imbib","imbibe"
"instil","instill"
"tansport","transport"
"elt","let"
"breatge","breathe"
"rak","ark"
"wal","awl"
"upgrad","upgrade"
"ovbserve","observe"
"situp","setup"
"destory","destroy"
"advocat","advocate"
"rollerblad","rollerblading"
"swinn","swine"
"compleemnt","complement"
"scrunchie","scrunchies"
"bloode","blood"
"sinch","sins"
"placehold","place hold"
"unknot","knot"
"trespasse","trespass"
"ebautify","beautify"
"falsiy","falsity"
"de-stress","de-stress"
"waypoint","way point"
"kikc","kick"
"treehouse","tree house"
"scrapp","scrap"
"evok","evoke"
"laryngoscopy","laparoscopy"
"dedica","dedicate"
"commemorat","commemorate"
"resonat","resonate"
"socalize","socialize"
"sensatoinalize","sensationalize"
"chastsie","chastise"
"xclude","exclude"
"de-wrinkle","de-wrinkle"
"plut","put"
"refridgerate","refrigerate"
"patt","part"
"transpot","transport"
"tmble","tumble"
"caffinate","caffeinated"
"fros","fro"
"colore","color"
"ostracise","ostracism"
"suppli","suppl"
"cheerlead","cheer lead"
"spreade","spread"
"los","loci"
"dethaw","thaw"
"uber","tuber"
"relaxe","relax"
"burry","burr"
"interr","inter"
"inect","insect"
"carmelize","caramelize"
"intercoure","intercourse"
"fastforward","fast forward"
"tweeze","tweezers"
"upeep","peep"
"wakeboard","wake board"
"eradicat","eradicate"
"raine","rain"
"excavat","excavate"
"plough","lough"
"woodcarve","woodcarver"
"viamin","vitamin"
"priroitize","prioritize"
"pead","peas"
"swabb","swab"
"confdence","confidence"
"caffeinate","caffeinated"
"ribbit","rabbit"
"orienteer","orienteering"
"photgraoph","photograph"
"photopraph","photograph"
"counterfit","counterfeit"
"graffit","graffiti"
"insiminate","inseminate"
"seesee","see see"
"rseonat","resonate"
"prakour","parkour"
"aruge","argue"
"mulitply","multiply"
"coopreate","cooperate"
"nutur","nurture"
"braide","braise"
"buz","buss"
"itup","it up"
"floure","flour"
"reosnat","resonate"
"felte","fleet"
"sgiht-read","sight-read"
"jumpstart","jump start"
"deand","deans"
"dadict","addict"
"scrathc","scratch"
"liv","lvi"
"feedbcak","feedback"
"filt","flit"
"irone","iron"
"hti","hit"
"deshell","shell"
"deisgn","design"
"mpression","impression"
"wtach","watch"
"floode","flood"
"dissapoint","disappoint"
"paire","pair"
"chapstick","chopstick"
"stubb","stub"
"lighte","lite"
"whitle","white"
"compresse","compress"
"barrele","barrel"
"worshipe","worship"
"smores","snores"
"reced","recd"
"costruct","construct"
"usgar","sugar"
"keepin","keeping"
"rehabilitat","rehabilitate"
"dinn","din"
"caregive","caregiver"
"konw","know"
"c;lean","clean"
"snowangel","snow angel"
"spectat","spectate"
"manscape","mans cape"
"wellbeing","well being"
"clickbait","click bait"
"binn","bin"
"lwo","low"
"handstnd","handstand"
"paraglide","para glide"
"dgi","dig"
"abg","bag"
"photoshop","photo shop"
"thanksgive","thanks give"
"refridgerat","refrigerate"
"excercise","exercise"
"tugge","tugged"
"saftey","safety"
"tigthen","tighten"
"sovlent","solvent"
"ote","och"
"manipulat","manipulate"
"textur","texture"
"rtoubleshoot","troubleshoot"
"ose","ode"
"jayawlk","jaywalk"
"fod","god"
"rever","ever"
"devoure","devour"
"cocnlude","conclude"
"puere","puree"
"exite","exit"
"birdfeeder","bird feeder"
"pullup","pull up"
"achery","archery"
"treasur","treasure"
"masturbat","masturbate"
"iritate","irritate"
"instert","insert"
"ach","ate"
"nai","nail"
"guacaole","guacamole"
"paseurize","pasteurize"
"ohllow","hollow"
"appriase","appraise"
"frightene","frighten"
"unthaw","untruth"
"schdule","schedule"
"birdwatch","bird watch"
"camoflage","camouflage"
"shacke","shack"
"forake","forsake"
"frisbee","frisbee"
"prescrib","prescribe"
"shae","she"
"dizyz","dizzy"
"ignit","ignite"
"dewrinkle","wrinkled"
"starr","starr"
