"session","created","current_position","w01_prompt","w01_use_01","w01_use_02","w01_use_03","w01_use_04","w01_use_05","w01_more","w02_prompt","w02_use_01","w02_use_02","w02_use_03","w02_use_04","w02_use_05","w02_more","w03_prompt","w03_use_01","w03_use_02","w03_use_03","w03_use_04","w03_use_05","w03_more","w04_prompt","w04_use_01","w04_use_02","w04_use_03","w04_use_04","w04_use_05","w04_more","w05_prompt","w05_use_01","w05_use_02","w05_use_03","w05_use_04","w05_use_05","w05_more","w05_use_06","w05_use_07","w05_use_08","w05_use_09","w05_use_10","w06_prompt","w06_use_01","w06_use_02","w06_use_03","w06_use_04","w06_use_05","w06_more","w07_prompt","w07_use_01","w07_use_02","w07_use_03","w07_use_04","w07_use_05","w07_more","w07_use_06","w07_use_07","w07_use_08","w07_use_09","w07_use_10","w08_prompt","w08_use_01","w08_use_02","w08_use_03","w08_use_04","w08_use_05","w08_more","w09_prompt","w09_use_01","w09_use_02","w09_use_03","w09_use_04","w09_use_05","w09_more","w10_prompt","w10_use_01","w10_use_02","w10_use_03","w10_use_04","w10_use_05","w10_more","w03_use_06","w03_use_07","w03_use_08","w03_use_09","w03_use_10","w06_use_06","w06_use_07","w06_use_08","w06_use_09","w06_use_10","w10_use_06","w10_use_07","w10_use_08","w10_use_09","w10_use_10","w01_use_06","w01_use_07","w01_use_08","w01_use_09","w01_use_10","w04_use_06","w04_use_07","w04_use_08","w04_use_09","w04_use_10","w08_use_06","w08_use_07","w08_use_08","w08_use_09","w08_use_10","w02_use_06","w02_use_07","w02_use_08","w02_use_09","w02_use_10","w09_use_06","w09_use_07","w09_use_08","w09_use_09","w09_use_10"
"WERLbHrisM97Sa8njspLxo48hq1D6V8RsVCSTTGotC7HiHvIiUCrNVOlUHbScfKy","2026-09-23 09:08:00",10,1,"socialize","shr","UNFAMILIAR WITH WORD","transcribe",NA,1,1,"costruct","plant","canoe",NA,NA,1,1,"sip","food-fight","service","zzz","swear",1,1,"clickbait","emphasize",NA,NA,NA,1,1,"tumble","plait"," i Don't Know","inseminate","intake",2,"note","chase",NA,NA,NA,1,"clout","imprint","No Clue	",NA,NA,1,1,"climb","wig","advisor","gloat","spray",2,"assort",NA,NA,NA,NA,1,"run company","gnaw","write","exploit",NA,1,1,"tanning","adjust","render",NA,NA,1,1,"frolic","romance",".","agenda","loathe",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lzZBcD4N5WdlEJp4FXc4WDU0QXXMUZa3saiMJqn8EsCLw7dkUMjuSISR0HfCREb4","2026-09-23 09:13:00",10,1,"mend","jaywalk",NA,NA,NA,1,1,"braide","compare",NA,NA,NA,1,1,"calm","juggle","screw","bagel","drip",2,1,"accomplish","outfit","guilt","commune",NA,1,1,"stroller","inhale","usurp","carry out","please",1,NA,NA,NA,NA,NA,1,"struggle","no comment","number","devoure"," dont know ",2,1,"refridgerat","washer","Unfamiliar with Word	"," i Dont Know",NA,1,NA,NA,NA,NA,NA,1,"give away","poo",NA,NA,NA,1,1,"moist","appriase","no idea what this is","tenderize","checkup",1,1,"lol","shae","ship","ice","smck",2," No Idea","scab","arouse",NA,NA,"intimidate","?","reassure",NA,NA,"Im not Sure","wrench","mark","stream","brother",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OQxE9L7Mw12SKUcq9pZmmo3FxWc2uCuUHaraGy5sZW9vGR9PSug2a5hMNwjVlA5c","2026-09-23 09:18:00",10,1,"rob","fort","ice pack","taunt","-",2,1,"retrace","diffuse","snowball fight","replace",NA,1,1,"konw","creep","shell","ground","asdf",2,1,"circus act","quill","measurement","landmark","binn",2,1,"believe","nostalgia","ascend","trot",NA,1,NA,NA,NA,NA,NA,1,"aromatherapy","tear down","nest","no comment","dance",2,1,"startle","augment","buzz","panic",NA,1,NA,NA,NA,NA,NA,1,"shower cap","underwater","gross out","study","expression",1,1,"shred","strap","attain",NA,NA,1,1,"tumble","ovbserve","stability",NA,NA,1,"format","dredge","duel",NA,NA,".",NA,NA,NA,NA,NA,NA,NA,NA,NA,"hook","I'm not Sure	","renew",NA,NA,"trauma","lol","hamburger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VsSi9vBmSPfWlt7NRbLMin20fVJgh5EyxhB0M3tiDqMhDEh6ip526THZdwm0Gup1","2026-09-23 09:23:00",10,1,"gate","aroma","forehead","labor",NA,1,1,"	unfamiliar with word","license","acknowledge",NA,NA,1,1,"puppet","wheel","don't know what this is ","upgrade"," I'm not Sure",1,1,"lwo","promotion","handstnd","thigh",NA,1,1,"build","discomfort","asdfgh",NA,NA,1,NA,NA,NA,NA,NA,1,"clink","shift",NA,NA,NA,1,1,"pull-up","no idea ","achery","dilute","moo",1,NA,NA,NA,NA,NA,1,"amuse","cue","unfamiliar with word ","i don't know what that is","shout",2,1,"asdf","deprive","sue","alcohol",NA,1,1,"sham","immolate","spin","grievance","nothing",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plaster","no idea what this is","sour","cart","dispose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1rQGGdmkluNiDXwCZmvMMjeDbNuEovZX9qG1U4NeMzFi5e2GsTSOsUHnaqrIz503","2026-09-23 09:28:00",10,1,"sing","brunch","tether","relax","braid",2,1," i Dont Knwo","kettle","I'M NOT SURE ",NA,NA,1,1,"orgasm","battle",NA,NA,NA,1,1,"paraglide"," not sure what this is","pickling","rear","dgi",2,1,"graffit","outfit","attire","textur",NA,1,NA,NA,NA,NA,NA,1,"No Idea","scrutinize","swipe","reduce stress",NA,1,1,"herb","treasur","snipe","bulk","explicit",2,"tarp",NA,NA,NA,NA,1,"eat","secret passage","number","outreach","embroider",1,1,"mud","skill","snipe","lease",NA,1,1,"eye exam","pin",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"culture","puree","polo","ingest",NA,"father","bike","despise","ride",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g4JaB1MgPE1r4qjranCAuVoa3se9LFY4Hw7KnJj9jwqdBHzKOMXyzPkYnLVzXN3b","2026-09-23 09:33:00",10,1,"readjust","fist-pump","perform","hurl","potty train",2,1,"airplane","replant","usgar","assort","pottery",2,1,"quilt","laugh","contain","but","disassemble",1,1,"canoe","stub","dream","stub",NA,1,1,"tell","shove","rtoubleshoot","accomplice",NA,1,NA,NA,NA,NA,NA,1,"zzz","plumb","nauseate","donate","alternate",2,1," I DONT KNOW","stink","hire","high",NA,1,NA,NA,NA,NA,NA,1,"corral","self-esteem","rag","ensure","action",2,1,"siphon","thanksgive","thrive","paralyze","grievance",1,1,"pacify","sunbathe","dizyz","wobble","leverage",1,NA,NA,NA,NA,NA,"set up",NA,NA,NA,NA,NA,NA,NA,NA,NA," DONT KNOW ","jiggle",NA,NA,NA,NA,NA,NA,NA,NA,"responsibility",NA,NA,NA,NA,"tug-of-war","refuel","noise","spell",NA,NA,NA,NA,NA,NA
"sxZt1pXLM7kUV1KxULkPh8B0LAjLRoiJMkJRsCZ73YaImMKyBOOpLKcmQuG6iNZP","2026-09-23 09:38:00",10,1,"fluid","gargle","armor",NA,NA,1,1,"saucepan","scout",NA,NA,NA,1,1,"don't know what this is	","asdfgh","hoover","sleep","gel",1,1,"abg","direct","bat",NA,NA,1,1,"trauma","I'm not Sure","buckle","exist","refract",2,"rod","braide","fund","slick","saddle",1,"unravel","modesty","google","sew",NA,1,1,"DONT KNOW ","oven mitt","critique",NA,NA,1,NA,NA,NA,NA,NA,1,"archaeology","stalk","process","plant","parasailing",2,1,"mince","frightene","sift","oven mitt","deal",2,1,"ice pick","glasses","roll in","slip on"," IDK",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"contribute","herb","deodorize","instert",NA,NA,NA,NA,NA,NA,"business",NA,NA,NA,NA
"A8tz7HX3m2x4GAoKlJAZ1XfBrXKxo5dGxhoV1dKkNdDkugAvJvRJp9tFe33unNJk","2026-09-23 09:43:00",10,1,"bedroom","stroll","deposit","flap","colonoscopy",1,1,"splashed","frolic","christen","descend",NA,1,1,"unravel","suction","refridgerate","assemble",NA,1,1,"extinguish"," I DON'T KNOW",NA,NA,NA,1,1,"family","explode","drizzle","asdf",NA,1,NA,NA,NA,NA,NA,1,"-","cocnlude","puere","woodworking","sketchbook",1,1,"launder","leadership","impress","communion"," I DONT KNOW ",2,"asdfgh","turn in","soil",NA,NA,1,"asdf","forget","i Don't Know ",NA,NA,1,1,"career"," No Clue ","shut out","I DON'T KNOW WHAT THAT IS","unthaw",2,1,"shatter","sun bathe","errand","sleeve","	UNFAMILIAR WITH WORD",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"decease","stoke","plunge","schdule",NA
"iiEF3G6d0Zwa6x3NPBYACZUcLOZpqLcroUzNwnZmTBRu5KQktL3KH9QJT3QpUY37","2026-09-23 09:48:00",10,1,"hair clip","kid","control infection",NA,NA,1,1,"advertise","reinvigorate","rebuild"," IDK ","card",1,1," ","scream","drill",NA,NA,1,1,"	IM NOT SURE","swish","lop",NA,NA,1,1,"accomplice","ose","tone","hair tie","quiet",1,NA,NA,NA,NA,NA,1,"skirt","income","aesthetic",NA,NA,1,1,"storage","hair cut","refurbish","oil","send away",2,"soccer",NA,NA,NA,NA,1,"no comment","fellowship","foundation","no comment",NA,1,1,"screech","spar","enemy","peace","sprinkle",2,1,"lessen","secure","film","infer","glaze",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"turn on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"expert"," I DON'T KNOW WHAT THAT IS",NA,NA,NA
"yLAv948rJF5uUpOa1azj6ddWWLX7U3KcGrE4Zl3iQSXxsNsEg2B3M4KSURKG8jYP","2026-09-23 09:53:00",10,1,"invade","zzz","chance","	NOT SURE WHAT THIS IS",NA,1,1,"semaphore","do","subscribe","keepin",NA,1,1,"speech","erection","lather","diary",NA,1,1,"slither","quote","blotch",NA,NA,1,1,"reduce stress","testify","snowangel",NA,NA,1,NA,NA,NA,NA,NA,1,"showdown","i don't know ","","crab",NA,1,1,"snowball","prop","sugar","nut","asdf",1,NA,NA,NA,NA,NA,1,"update","asphyxiate",NA,NA,NA,1,1,"flag","rumor","season","vase","frost",2,1,"swinn","zzz","noodle","griddle",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"beautify",NA,NA,NA,NA
